gene_ID	hgnc_symbol	chr	strand	start	end	TP63_PTC_log2FoldChange	TP63_PTC_pvalue	TP63_PTC_padj
ENSG00000147223	RIPPLY1	chrX	-	106900063	106903341	-2.02	0.32	1
ENSG00000133131	MORC4	chrX	-	106813871	107000212	-0.0397	0.679	1
ENSG00000133135	RNF128	chrX	+	106693794	106797016	0.135	0.307	1
ENSG00000157502	PWWP3B	chrX	+	106168305	106208956	0.179	0.0161	0.602
ENSG00000189108	IL1RAPL2	chrX	+	104566199	105767829	-0.233	0.458	1
ENSG00000269226	TMSB15C	chrX	-	104063871	104076236	0.404	0.42	1
ENSG00000231728	TMSB15B-AS1	chrX	-	103845151	103919548	-0.822	0.765	
ENSG00000172476	RAB40A	chrX	-	103499130	103519489	-0.632	0.546	1
ENSG00000234405		chrX	+	103486461	103517919	0.168	0.821	1
ENSG00000185222	TCEAL9	chrX	+	103356489	103358462	-0.0697	0.52	1
ENSG00000182916	TCEAL7	chrX	+	103330229	103332326	0.508	0.39	1
ENSG00000133134	BEX2	chrX	-	103309346	103311007	0.0257	0.858	1
ENSG00000180964	TCEAL8	chrX	-	103252995	103255192	0.0627	0.522	1
ENSG00000147206	NXF3	chrX	-	103075810	103093143	0.681	0.624	1
ENSG00000286846		chrX	+	102945971	102952039	-0.00373	0.994	1
ENSG00000286237		chrX	+	102712495	102753530	0.06	0.861	1
ENSG00000158301	GPRASP2	chrX	+	102712445	102717733	-0.67	7.77e-05	0.00657
ENSG00000125962	ARMCX5	chrX	+	102599168	102604159	0.0714	0.649	1
ENSG00000184867	ARMCX2	chrX	-	101655281	101659850	0.269	0.0158	0.598
ENSG00000228275	ARMCX3-AS1	chrX	-	101622983	101624164	1	0.521	1
ENSG00000102401	ARMCX3	chrX	+	101622797	101627843	-0.0588	0.391	1
ENSG00000102393	GLA	chrX	-	101393273	101408012	0.0697	0.447	1
ENSG00000010671	BTK	chrX	-	101349338	101390796	0.176	0.378	1
ENSG00000102384	CENPI	chrX	+	101098188	101166126	0.186	0.361	1
ENSG00000102362	SYTL4	chrX	-	100671783	100732123	0.0346	0.957	1
ENSG00000204086	RPA4	chrX	+	96883908	96885467	-2.26	0.0403	0.925
ENSG00000147202	DIAPH2	chrX	+	96684712	97604997	-0.0195	0.85	1
ENSG00000286523		chrX	-	96127747	96372889	0	1	
ENSG00000186310	NAP1L3	chrX	-	93670930	93673578	-0.0662	0.909	1
ENSG00000102290	PCDH11X	chrX	+	91779261	92623230	0.336	0.0125	0.518
ENSG00000184788	SATL1	chrX	-	85092284	85243911	-0.648	0.669	1
ENSG00000072133	RPS6KA6	chrX	-	84058346	84206356	-0.0575	0.649	1
ENSG00000131171	SH3BGRL	chrX	+	81202102	81298547	-0.0756	0.555	1
ENSG00000147255	IGSF1	chrX	-	131273506	131578899	0.00706	0.99	1
ENSG00000198157	HMGN5	chrX	-	81113699	81201913	0.0166	0.966	1
ENSG00000165288	BRWD3	chrX	-	80669503	80809877	-0.0265	0.708	1
ENSG00000122145	TBX22	chrX	+	80014753	80031774	0.449	0.871	
ENSG00000078596	ITM2A	chrX	-	79360384	79367667	-0.291	0.363	1
ENSG00000102158	MAGT1	chrX	-	77825747	77899271	-0.00987	0.9	1
ENSG00000198934	MAGEE1	chrX	+	76427710	76431342	-0.425	0.359	1
ENSG00000102390	PBDC1	chrX	+	76173040	76178314	-0.0888	0.515	1
ENSG00000147100	SLC16A2	chrX	+	74421493	74533917	-0.135	0.459	1
ENSG00000225470	JPX	chrX	+	73944182	74070408	-0.0126	0.943	1
ENSG00000229807	XIST	chrX	-	73820649	73852723	0.0824	0.912	1
ENSG00000186288	PABPC1L2A	chrX	-	73077276	73079512	0.021	0.983	1
ENSG00000269502	DMRTC1	chrX	-	72872025	72943837	3.51	0.00875	0.407
ENSG00000269911	FAM226B	chrX	+	72777608	72779097	0.0588	0.909	1
ENSG00000147099	HDAC8	chrX	-	72329516	72573101	0.117	0.396	1
ENSG00000198034	RPS4X	chrX	-	72255679	72277248	-0.0315	0.696	1
ENSG00000186871	ERCC6L	chrX	-	72204657	72239027	0.159	0.365	1
ENSG00000102309	PIN4	chrX	+	72181353	72302926	-0.178	0.353	1
ENSG00000204131	NHSL2	chrX	+	71910845	72161750	-0.0332	0.899	1
ENSG00000281852	LINC00891	chrX	+	71697196	71706455	0.112	0.916	1
ENSG00000147133	TAF1	chrX	+	71366222	71532374	0.0657	0.427	1
ENSG00000147140	NONO	chrX	+	71254814	71301522	-0.0139	0.814	1
ENSG00000196338	NLGN3	chrX	+	71144821	71175255	-0.232	0.42	1
ENSG00000184634	MED12	chrX	+	71118543	71144103	-0.0685	0.317	1
ENSG00000147168	IL2RG	chrX	-	71107404	71112108	1.28	0.664	
ENSG00000184481	FOXO4	chrX	+	71095851	71103532	-0.104	0.166	1
ENSG00000165349	SLC7A3	chrX	-	70925579	70931125	0.173	0.374	1
ENSG00000120509	PDZD11	chrX	-	70281118	70290514	-0.203	0.204	1
ENSG00000089289	IGBP1	chrX	+	70133447	70166324	-0.144	0.181	1
ENSG00000158813	EDA	chrX	+	69616067	70039472	-0.616	0.0596	1
ENSG00000181704	YIPF6	chrX	+	68498562	68537282	-0.135	0.0675	1
ENSG00000089472	HEPH	chrX	+	66162671	66268867	0.135	0.326	1
ENSG00000274536	MIR223HG	chrX	+	66015414	66020426	0.0771	0.943	1
ENSG00000198881	ASB12	chrX	-	64224194	64230607	0.123	0.947	1
ENSG00000184675	AMER1	chrX	-	64185117	64205708	-0.0356	0.875	1
ENSG00000186767	SPIN4	chrX	-	63347228	63351332	-0.179	0.0499	1
ENSG00000235437	LINC01278	chrX	-	63222993	63561095	-0.0508	0.626	1
ENSG00000198205	ZXDA	chrX	-	57905430	57910458	0.0983	0.7	1
ENSG00000147059	SPIN2A	chrX	-	57134530	57137523	-0.311	0.596	1
ENSG00000186787	SPIN2B	chrX	-	57118551	57121548	0.214	0.482	1
ENSG00000102349	KLF8	chrX	+	56232356	56291531	0.263	0.00161	0.106
ENSG00000227486		chrX	+	55908123	56209271	-0.104	0.73	1
ENSG00000083750	RRAGB	chrX	+	55717749	55758774	0.237	0.216	1
ENSG00000247746	USP51	chrX	-	55484616	55489848	-0.0136	0.965	1
ENSG00000182518	FAM104B	chrX	-	55143102	55161310	-0.166	0.568	1
ENSG00000130119	GNL3L	chrX	+	54530183	54621521	-0.02	0.841	1
ENSG00000196632	WNK3	chrX	-	54192823	54358642	0.0242	0.864	1
ENSG00000184083	FAM120C	chrX	-	54068324	54183281	0.242	0.241	1
ENSG00000158423	RIBC1	chrX	+	53422690	53431120	-0.782	0.568	1
ENSG00000235262	KDM5C-IT1	chrX	-	53212408	53214679	0.633	0.412	1
ENSG00000126012	KDM5C	chrX	-	53176283	53225422	-0.0463	0.488	1
ENSG00000232593	KANTR	chrX	+	53094142	53170914	0.182	0.22	1
ENSG00000184205	TSPYL2	chrX	+	53082367	53088540	-0.0701	0.476	1
ENSG00000179222	MAGED1	chrX	+	51803007	51902354	-0.023	0.683	1
ENSG00000189369	GSPT2	chrX	+	51743442	51746232	-0.0655	0.737	1
ENSG00000224109	CENPVL3	chrX	-	51617020	51618912	-2.45	0.21	
ENSG00000226530		chrX	+	51395915	51465839	0.904	0.658	1
ENSG00000122824	NUDT10	chrX	+	51332231	51337525	0.339	0.0715	1
ENSG00000230317	LINC01284	chrX	-	51095836	51224432	-1.17	0.491	1
ENSG00000158352	SHROOM4	chrX	-	50586796	50814302	-0.314	0.0343	0.864
ENSG00000274588	DGKK	chrX	-	50365409	50470825	-0.0391	0.839	1
ENSG00000147081	AKAP4	chrX	-	50190777	50201007	0.0445	0.988	
ENSG00000270012		chrX	+	49273054	49275768	-0.0207	0.945	1
ENSG00000286181		chrX	-	49262866	49270521	17.9	7.1e-26	3.55e-23
ENSG00000012211	PRICKLE3	chrX	-	49174802	49186528	-0.0336	0.839	1
ENSG00000269313	MAGIX	chrX	+	49162564	49168774	-0.294	0.28	1
ENSG00000243279	PRAF2	chrX	-	49071161	49074002	-0.0765	0.804	1
ENSG00000068400	GRIPAP1	chrX	-	48973720	49002265	-0.077	0.512	1
ENSG00000102100	SLC35A2	chrX	-	48903180	48911958	-0.0652	0.67	1
ENSG00000094631	HDAC6	chrX	+	48801377	48824982	0.0617	0.479	1
ENSG00000015285	WAS	chrX	+	48676596	48691431	-1.42	0.239	1
ENSG00000102317	RBM3	chrX	+	48574449	48581162	0.0685	0.342	1
ENSG00000147155	EBP	chrX	+	48521799	48528716	-0.0154	0.893	1
ENSG00000102312	PORCN	chrX	+	48508959	48520814	0.333	0.322	1
ENSG00000197779	ZNF81	chrX	+	47836902	48002561	0.232	0.372	1
ENSG00000267064	UXT-AS1	chrX	+	47658833	47692326	-0.535	0.389	1
ENSG00000126756	UXT	chrX	-	47651796	47659180	0.0244	0.846	1
ENSG00000078061	ARAF	chrX	+	47561205	47571908	-0.0283	0.756	1
ENSG00000196741	LINC01560	chrX	+	47483571	47484823	-0.799	0.32	1
ENSG00000147124	ZNF41	chrX	-	47445178	47483222	0.28	0.21	1
ENSG00000102226	USP11	chrX	+	47232866	47248328	-0.0827	0.335	1
ENSG00000147123	NDUFB11	chrX	-	47142071	47145466	-0.122	0.187	1
ENSG00000130988	RGN	chrX	+	47078355	47093314	0.438	0.593	1
ENSG00000102221	JADE3	chrX	+	46912276	47061242	0.0823	0.292	1
ENSG00000204904	LINC01545	chrX	-	46887417	46899703	-0.468	0.737	1
ENSG00000065923	SLC9A7	chrX	-	46599251	46759118	-0.0458	0.646	1
ENSG00000251192	ZNF674	chrX	-	46497725	46545457	0.0225	0.904	1
ENSG00000236751	LINC01186	chrX	-	46256759	46327680	1.07	0.442	1
ENSG00000270069	MIR222HG	chrX	-	45745210	45770274	0.198	0.361	1
ENSG00000147050	KDM6A	chrX	+	44873188	45112779	0.0417	0.574	1
ENSG00000224294	PINCR	chrX	+	43176994	43226598	0.644	0.415	1
ENSG00000188937	NYX	chrX	+	41447343	41475710	0.135	0.918	1
ENSG00000126950	TMEM35A	chrX	+	101078879	101096367	1.01	0.537	1
ENSG00000223486	LINC03053	chrX	+	40009276	40012182	0.826	0.552	1
ENSG00000156313	RPGR	chrX	-	38269163	38327544	-0.134	0.468	1
ENSG00000147041	SYTL5	chrX	+	38006553	38128819	0.185	0.0438	0.962
ENSG00000187516	H2AP	chrX	+	37990779	37991314	-0.331	0.615	1
ENSG00000165168	CYBB	chrX	+	37780018	37813461	0.133	0.943	1
ENSG00000147036	LANCL3	chrX	+	37571569	37684463	0.412	0.433	1
ENSG00000130962	PRRG1	chrX	+	37349309	37457292	-0.0271	0.748	1
ENSG00000174016	TENT5D	chrX	+	80335504	80445311	-30	7.58e-49	
ENSG00000165164	CFAP47	chrX	+	35919734	36385317	-0.244	0.685	1
ENSG00000189023	MAGEB16	chrX	+	35798342	35803772	0.0449	0.985	1
ENSG00000233928		chrX	+	33726337	34346527	-0.971	0.785	
ENSG00000198947	DMD	chrX	-	31097677	33339609	0.101	0.416	1
ENSG00000198814	GK	chrX	+	30653359	30731462	-2.05	0.0242	0.736
ENSG00000169297	NR0B1	chrX	-	30304206	30309390	1.4	0.416	1
ENSG00000004848	ARX	chrX	-	25003694	25016420	-1.24	0.402	1
ENSG00000101868	POLA1	chrX	+	24693873	24996986	-0.0405	0.725	1
ENSG00000174010	KLHL15	chrX	-	23983716	24027186	0.0822	0.419	1
ENSG00000165182	CXorf58	chrX	+	23908006	23939509	-2.86	0.325	1
ENSG00000184831	APOO	chrX	-	23833353	23907938	0.0457	0.826	1
ENSG00000123130	ACOT9	chrX	-	23701055	23766475	-0.145	0.373	1
ENSG00000123131	PRDX4	chrX	+	23664262	23686397	0.0452	0.527	1
ENSG00000165186	PTCHD1	chrX	+	23334849	23404374	0.354	0.0676	1
ENSG00000233067	PTCHD1-AS	chrX	-	22191895	22235358	16.8	2.31e-10	
ENSG00000102174	PHEX	chrX	+	22032325	22494713	0.294	0.455	1
ENSG00000149970	CNKSR2	chrX	+	21372801	21654695	-0.351	0.355	1
ENSG00000184368	MAP7D2	chrX	-	20006713	20116907	-0.207	0.272	1
ENSG00000147010	SH3KBP1	chrX	-	19533977	19887600	0.0342	0.629	1
ENSG00000180815	MAP3K15	chrX	-	19360056	19515508	0.109	0.602	1
ENSG00000173698	ADGRG2	chrX	-	18989307	19122637	0.141	0.165	1
ENSG00000044446	PHKA2	chrX	-	18892298	18984114	0.124	0.181	1
ENSG00000237836	PHKA2-AS1	chrX	+	18890296	18894974	-0.127	0.889	1
ENSG00000086717	PPEF1	chrX	+	18675909	18827921	-0.269	0.663	1
ENSG00000008086	CDKL5	chrX	+	18425583	18653629	0.0928	0.201	1
ENSG00000102098	SCML2	chrX	-	18239313	18354688	0.382	0.175	1
ENSG00000225882	LINC01456	chrX	-	17970197	18104644	0.207	0.83	1
ENSG00000047634	SCML1	chrX	+	17737449	17754988	-0.0014	0.994	1
ENSG00000235834		chrX	+	17528435	17587160	-0.449	0.401	1
ENSG00000169891	REPS2	chrX	+	16946658	17153272	0.0747	0.803	1
ENSG00000086712	TXLNG	chrX	+	16786432	16844519	-0.0227	0.819	1
ENSG00000238178		chrX	-	16152941	16170869	1.81	0.289	
ENSG00000126010	GRPR	chrX	+	16123565	16153518	0.685	0.636	1
ENSG00000182287	AP1S2	chrX	-	15825806	15854931	-0.163	0.375	1
ENSG00000147003	CLTRN	chrX	-	15627318	15675012	-0.592	0.22	1
ENSG00000130234	ACE2	chrX	-	15494566	15607236	-0.139	0.35	1
ENSG00000087842	PIR	chrX	-	15384799	15493564	0.0832	0.652	1
ENSG00000046647	GEMIN8	chrX	-	14006726	14029893	0.128	0.483	1
ENSG00000123595	RAB9A	chrX	+	13689128	13710504	-0.0533	0.515	1
ENSG00000176896	TCEANC	chrX	+	13653112	13681964	0.155	0.495	1
ENSG00000101916	TLR8	chrX	+	12906620	12923169	2.5	0.287	1
ENSG00000196664	TLR7	chrX	+	12867072	12890361	-0.142	0.455	1
ENSG00000101911	PRPS2	chrX	+	12791355	12824222	0.105	0.434	1
ENSG00000047648	ARHGAP6	chrX	-	11117651	11665920	0.0345	0.878	1
ENSG00000101871	MID1	chrX	-	10445310	10833654	-0.00221	0.978	1
ENSG00000101850	GPR143	chrX	-	9725346	9786297	-0.15	0.668	1
ENSG00000101849	TBL1X	chrX	+	9463320	9741037	-0.0568	0.45	1
ENSG00000177138	FAM9B	chrX	-	9024232	9295682	2.84	0.124	1
ENSG00000287171		chrX	-	8487165	8504564	-0.985	0.798	
ENSG00000006757	PNPLA4	chrX	-	7898247	7927739	0.0195	0.94	1
ENSG00000101846	STS	chrX	+	7147237	7804358	0.141	0.0782	1
ENSG00000006756	ARSD	chrX	-	2903972	2929349	0.131	0.388	1
ENSG00000169084	DHRSX	chrX	-	2219506	2502805	-0.0223	0.874	1
ENSG00000197976	AKAP17A	chrX	+	1591604	1602520	-0.139	0.173	1
ENSG00000182378	PLCXD1	chrX	+	276322	303356	0.00331	0.973	1
ENSG00000198695	MT-ND6	chrM	-	14149	14673	0.0191	0.898	1
ENSG00000198938	MT-CO3	chrM	+	9207	9990	0.252	0.00236	0.148
ENSG00000228253	MT-ATP8	chrM	+	8366	8572	0.269	0.00255	0.156
ENSG00000198804	MT-CO1	chrM	+	5904	7445	0.128	0.121	1
ENSG00000198763	MT-ND2	chrM	+	4470	5511	0.173	0.279	1
ENSG00000148408	CACNA1B	chr9	+	137877782	138124624	0.851	0.266	1
ENSG00000165724	ZMYND19	chr9	-	137582081	137590512	-0.223	0.0559	1
ENSG00000148399	DPH7	chr9	-	137554444	137578925	0.107	0.314	1
ENSG00000165802	NSMF	chr9	-	137447570	137459334	0.00087	0.995	1
ENSG00000188833	ENTPD8	chr9	-	137434364	137441816	0.177	0.6	1
ENSG00000187609	EXD3	chr9	-	137306896	137423211	-0.0339	0.878	1
ENSG00000188986	NELFB	chr9	+	137255327	137273542	-0.143	0.186	1
ENSG00000188163	FAM166A	chr9	-	137243584	137247770	-0.502	0.843	1
ENSG00000050030	NEXMIF	chrX	-	74732856	74925472	0.215	0.701	1
ENSG00000212864	RNF208	chr9	-	137220247	137222240	-0.132	0.658	1
ENSG00000284976		chr9	+	137217494	137219361	0.109	0.563	1
ENSG00000188566	NDOR1	chr9	+	137205685	137219361	-0.0466	0.756	1
ENSG00000187713	TMEM203	chr9	-	137204082	137205648	0.046	0.78	1
ENSG00000185863	TMEM210	chr9	-	137170858	137172056	0	1	
ENSG00000177239	MAN1B1	chr9	+	137086857	137109189	0.0468	0.57	1
ENSG00000197355	UAP1L1	chr9	+	137077517	137084539	-0.0166	0.893	1
ENSG00000231864		chr9	+	137063535	137064581	3.7	0.0317	0.837
ENSG00000186193	SAPCD2	chr9	-	137062127	137070557	-0.0552	0.527	1
ENSG00000180539	LINC02908	chr9	+	137027464	137037957	-1.63	0.145	1
ENSG00000214402	LCNL1	chr9	+	136981904	136986410	-0.0708	0.636	1
ENSG00000198454	LINC02692	chr9	+	136969243	136971990	-58.8	9.07e-96	
ENSG00000184925	LCN12	chr9	+	136949551	136955497	-0.0247	0.967	1
ENSG00000127191	TRAF2	chr9	+	136881912	136926607	-0.0683	0.51	1
ENSG00000177943	MAMDC4	chr9	+	136850943	136860799	-0.0123	0.946	1
ENSG00000232434	AJM1	chr9	+	136842478	136848801	-0.058	0.809	1
ENSG00000196642	RABL6	chr9	+	136807943	136841187	-0.0113	0.867	1
ENSG00000244187	TMEM141	chr9	+	136791344	136793317	-0.0232	0.818	1
ENSG00000177984	LCN15	chr9	-	136759634	136766255	0.0766	0.872	1
ENSG00000165716	DIPK1B	chr9	+	136712572	136724742	0.242	0.0917	1
ENSG00000172889	EGFL7	chr9	+	136658856	136672678	-0.0212	0.844	1
ENSG00000279141		chr9	-	136612024	136617181	-0.826	0.56	1
ENSG00000148400	NOTCH1	chr9	-	136494433	136546048	-0.0817	0.353	1
ENSG00000196366	C9orf163	chr9	+	136483495	136486067	-0.256	0.721	1
ENSG00000148396	SEC16A	chr9	-	136440096	136483759	-0.0822	0.268	1
ENSG00000148384	INPP5E	chr9	-	136428619	136439845	-0.0953	0.356	1
ENSG00000187796	CARD9	chr9	-	136363956	136373681	0.0581	0.842	1
ENSG00000262075		chr9	-	136322303	136327323	-0.391	0.56	1
ENSG00000260220	CCDC187	chr9	-	136249973	136306901	-0.111	0.82	1
ENSG00000165661	QSOX2	chr9	-	136206333	136245812	0.13	0.503	1
ENSG00000238227	TMEM250	chr9	-	136114581	136118875	0.0404	0.797	1
ENSG00000107147	KCNT1	chr9	+	135702185	135795508	-0.264	0.723	1
ENSG00000165643	SOHLH1	chr9	-	135693407	135704498	0.471	0.843	
ENSG00000226706		chr9	-	135503273	135506447	-17.3	1.12e-08	
ENSG00000122140	MRPS2	chr9	+	135499984	135504673	-0.167	0.109	1
ENSG00000228877		chr9	+	134527182	134545244	-0.425	0.801	1
ENSG00000223795		chr9	+	134505472	134521442	-0.917	0.796	
ENSG00000196363	WDR5	chr9	+	134135365	134159968	-0.00784	0.938	1
ENSG00000160293	VAV2	chr9	-	133761894	133992604	-0.126	0.102	1
ENSG00000123453	SARDH	chr9	-	133663560	133739955	0.889	0.118	1
