gene_ID	hgnc_symbol	chr	strand	start	end	SIX3_PTC_log2FoldChange	SIX3_PTC_pvalue	SIX3_PTC_padj
ENSG00000102309	PIN4	chrX	+	72181353	72302926	-0.177	0.0626	0.274
ENSG00000204131	NHSL2	chrX	+	71910845	72161750	0.00643	0.931	0.982
ENSG00000281852	LINC00891	chrX	+	71697196	71706455	0.145	0.697	0.893
ENSG00000147133	TAF1	chrX	+	71366222	71532374	0.111	0.0337	0.186
ENSG00000147140	NONO	chrX	+	71254814	71301522	-0.116	0.00428	0.0433
ENSG00000196338	NLGN3	chrX	+	71144821	71175255	-0.0905	0.103	0.366
ENSG00000184634	MED12	chrX	+	71118543	71144103	-0.00129	0.982	0.994
ENSG00000184481	FOXO4	chrX	+	71095851	71103532	-0.236	0.0446	0.222
ENSG00000165349	SLC7A3	chrX	-	70925579	70931125	0.000863	0.99	0.998
ENSG00000120509	PDZD11	chrX	-	70281118	70290514	-0.177	0.039	0.204
ENSG00000089289	IGBP1	chrX	+	70133447	70166324	-0.0443	0.515	0.796
ENSG00000158813	EDA	chrX	+	69616067	70039472	0.0498	0.659	0.873
ENSG00000181704	YIPF6	chrX	+	68498562	68537282	0.0797	0.189	0.507
ENSG00000289038		chrX	-	68498309	68498989	1.56	0.099	
ENSG00000089472	HEPH	chrX	+	66162671	66268867	-0.124	0.0124	0.0955
ENSG00000198881	ASB12	chrX	-	64224194	64230607	-1.11	0.46	
ENSG00000184675	AMER1	chrX	-	64185117	64205708	-0.0861	0.214	0.54
ENSG00000186767	SPIN4	chrX	-	63347228	63351332	-0.128	0.131	0.416
ENSG00000235437	LINC01278	chrX	-	63222993	63561095	-0.068	0.381	0.704
ENSG00000198205	ZXDA	chrX	-	57905430	57910458	0.0743	0.514	0.796
ENSG00000147059	SPIN2A	chrX	-	57134530	57137523	-0.0967	0.691	0.89
ENSG00000186787	SPIN2B	chrX	-	57118551	57121548	0.179	0.21	0.535
ENSG00000102349	KLF8	chrX	+	56232356	56291531	0.0986	0.226	0.556
ENSG00000227486		chrX	+	55908123	56209271	-0.0571	0.688	0.889
ENSG00000083750	RRAGB	chrX	+	55717749	55758774	-0.0339	0.747	0.916
ENSG00000247746	USP51	chrX	-	55484616	55489848	0.0911	0.248	0.58
ENSG00000182518	FAM104B	chrX	-	55143102	55161310	-0.187	0.0721	0.3
ENSG00000130119	GNL3L	chrX	+	54530183	54621521	0.0699	0.276	0.612
ENSG00000196632	WNK3	chrX	-	54192823	54358642	0.0418	0.409	0.727
ENSG00000184083	FAM120C	chrX	-	54068324	54183281	0.0768	0.408	0.726
ENSG00000158423	RIBC1	chrX	+	53422690	53431120	-0.199	0.603	0.845
ENSG00000235262	KDM5C-IT1	chrX	-	53212408	53214679	0.576	0.279	
ENSG00000126012	KDM5C	chrX	-	53176283	53225422	-0.0437	0.34	0.673
ENSG00000232593	KANTR	chrX	+	53094142	53170914	0.186	0.0421	0.214
ENSG00000184205	TSPYL2	chrX	+	53082367	53088540	-0.0134	0.876	0.962
ENSG00000287215		chrX	-	52195836	52265919	0.25	0.843	
ENSG00000179222	MAGED1	chrX	+	51803007	51902354	-0.0341	0.441	0.749
ENSG00000189369	GSPT2	chrX	+	51743442	51746232	0.102	0.107	0.372
ENSG00000223591	CENPVL1	chrX	+	51710512	51712131	-1.05	0.633	0.861
ENSG00000224109	CENPVL3	chrX	-	51617020	51618912	0.107	0.61	0.848
ENSG00000226530		chrX	+	51395915	51465839	0.0501	0.764	0.921
ENSG00000230317	LINC01284	chrX	-	51095836	51224432	0.729	0.491	
ENSG00000158352	SHROOM4	chrX	-	50586796	50814302	-0.201	0.162	0.466
ENSG00000274588	DGKK	chrX	-	50365409	50470825	0.284	0.13	0.415
ENSG00000270012		chrX	+	49273054	49275768	0.146	0.282	0.618
ENSG00000286181		chrX	-	49262866	49270521	0.595	0.135	0.424
ENSG00000012211	PRICKLE3	chrX	-	49174802	49186528	0.0672	0.685	0.888
ENSG00000269313	MAGIX	chrX	+	49162564	49168774	-0.181	0.833	
ENSG00000243279	PRAF2	chrX	-	49071161	49074002	-0.0624	0.543	0.813
ENSG00000068400	GRIPAP1	chrX	-	48973720	49002265	0.192	0.00196	0.0236
ENSG00000102100	SLC35A2	chrX	-	48903180	48911958	0.0913	0.379	0.703
ENSG00000187682	ERAS	chrX	+	48826513	48830138	1.05	0.569	
ENSG00000094631	HDAC6	chrX	+	48801377	48824982	-0.157	0.00328	0.0353
ENSG00000015285	WAS	chrX	+	48676596	48691431	-0.0444	0.94	
ENSG00000102317	RBM3	chrX	+	48574449	48581162	0.0743	0.131	0.417
ENSG00000147155	EBP	chrX	+	48521799	48528716	0.00736	0.913	0.975
ENSG00000102312	PORCN	chrX	+	48508959	48520814	0.126	0.352	0.683
ENSG00000287757		chrX	+	48071223	48078721	-0.754	0.457	
ENSG00000197779	ZNF81	chrX	+	47836902	48002561	0.118	0.0989	0.357
ENSG00000267064	UXT-AS1	chrX	+	47658833	47692326	0.0206	0.962	0.989
ENSG00000126756	UXT	chrX	-	47651796	47659180	-0.331	3.23e-05	0.000734
ENSG00000078061	ARAF	chrX	+	47561205	47571908	-0.178	0.00892	0.0759
ENSG00000289890		chrX	-	47555936	47561382	0.305	0.679	
ENSG00000196741	LINC01560	chrX	+	47483571	47484823	0.0412	0.883	0.964
ENSG00000147124	ZNF41	chrX	-	47445178	47483222	0.143	0.16	0.464
ENSG00000102226	USP11	chrX	+	47232866	47248328	-0.0962	0.046	0.226
ENSG00000147123	NDUFB11	chrX	-	47142071	47145466	-0.16	0.00631	0.0585
ENSG00000130988	RGN	chrX	+	47078355	47093314	-0.496	0.238	0.569
ENSG00000102221	JADE3	chrX	+	46912276	47061242	-0.125	0.0301	0.173
ENSG00000204904	LINC01545	chrX	-	46887417	46899703	-0.102	0.853	
ENSG00000065923	SLC9A7	chrX	-	46599251	46759118	-0.306	0.000517	0.00818
ENSG00000251192	ZNF674	chrX	-	46497725	46545457	0.0945	0.44	0.749
ENSG00000270069	MIR222HG	chrX	-	45745210	45770274	0.541	0.00531	0.0514
ENSG00000126950	TMEM35A	chrX	+	101078879	101096367	-0.0884	0.352	0.683
ENSG00000223486	LINC03053	chrX	+	40009276	40012182	-0.753	0.00237	0.0275
ENSG00000156313	RPGR	chrX	-	38269163	38327544	0.0974	0.372	0.698
ENSG00000165168	CYBB	chrX	+	37780018	37813461	0.425	0.662	
ENSG00000147036	LANCL3	chrX	+	37571569	37684463	0.259	0.82	
ENSG00000130962	PRRG1	chrX	+	37349309	37457292	0.16	0.249	0.581
ENSG00000174016	TENT5D	chrX	+	80335504	80445311	0.433	0.674	
ENSG00000165164	CFAP47	chrX	+	35919734	36385317	0.185	0.762	
ENSG00000233928		chrX	+	33726337	34346527	-0.0166	0.984	
ENSG00000198947	DMD	chrX	-	31097677	33339609	-0.0908	0.134	0.422
ENSG00000198814	GK	chrX	+	30653359	30731462	-0.0457	0.76	0.919
ENSG00000237994		chrX	+	28942050	28942568	0.597	0.599	
ENSG00000004848	ARX	chrX	-	25003694	25016420	1.42	0.000447	0.00729
ENSG00000101868	POLA1	chrX	+	24693873	24996986	0.212	0.000265	0.00475
ENSG00000289472		chrX	+	24168659	24169609	0.377	0.362	0.691
ENSG00000174010	KLHL15	chrX	-	23983716	24027186	0.0372	0.558	0.821
ENSG00000184831	APOO	chrX	-	23833353	23907938	-0.0241	0.832	0.945
ENSG00000123130	ACOT9	chrX	-	23701055	23766475	-0.0751	0.384	0.707
ENSG00000123131	PRDX4	chrX	+	23664262	23686397	-0.0184	0.768	0.922
ENSG00000165186	PTCHD1	chrX	+	23334849	23404374	0.741	0.0399	0.207
ENSG00000102174	PHEX	chrX	+	22032325	22494713	-0.815	0.396	
ENSG00000288832		chrX	-	21652655	21654301	0.165	0.876	
ENSG00000149970	CNKSR2	chrX	+	21372801	21654695	-0.105	0.0838	0.325
ENSG00000283380		chrX	-	20769718	21374265	-0.0501	0.962	
ENSG00000184368	MAP7D2	chrX	-	20006713	20116907	0.359	0.00452	0.0451
ENSG00000147010	SH3KBP1	chrX	-	19533977	19887600	-0.106	0.252	0.585
ENSG00000180815	MAP3K15	chrX	-	19360056	19515508	-0.0529	0.83	0.944
ENSG00000173698	ADGRG2	chrX	-	18989307	19122637	-0.0618	0.706	0.897
ENSG00000044446	PHKA2	chrX	-	18892298	18984114	-0.155	0.0133	0.1
ENSG00000086717	PPEF1	chrX	+	18675909	18827921	0.137	0.773	0.923
ENSG00000008086	CDKL5	chrX	+	18425583	18653629	0.226	0.000408	0.00677
ENSG00000102098	SCML2	chrX	-	18239313	18354688	-0.14	0.0278	0.164
ENSG00000225882	LINC01456	chrX	-	17970197	18104644	-0.295	0.635	
ENSG00000047634	SCML1	chrX	+	17737449	17754988	-0.251	0.317	0.652
ENSG00000235834		chrX	+	17528435	17587160	0.624	0.286	
ENSG00000169891	REPS2	chrX	+	16946658	17153272	-0.0836	0.608	0.847
ENSG00000126010	GRPR	chrX	+	16123565	16153518	0.694	0.0283	0.166
ENSG00000182287	AP1S2	chrX	-	15825806	15854931	0.0359	0.586	0.836
ENSG00000147003	CLTRN	chrX	-	15627318	15675012	0.474	0.0281	0.165
ENSG00000130234	ACE2	chrX	-	15494566	15607236	0.564	0.359	
ENSG00000087842	PIR	chrX	-	15384799	15493564	-0.344	0.0693	0.292
ENSG00000046647	GEMIN8	chrX	-	14006726	14029893	-0.0635	0.533	0.807
ENSG00000289449		chrX	+	13773311	13773935	0.766	0.214	
ENSG00000123595	RAB9A	chrX	+	13689128	13710504	0.0444	0.672	0.881
ENSG00000176896	TCEANC	chrX	+	13653112	13681964	-0.155	0.324	0.659
ENSG00000101911	PRPS2	chrX	+	12791355	12824222	0.0275	0.684	0.888
ENSG00000047648	ARHGAP6	chrX	-	11117651	11665920	0.404	0.323	0.658
ENSG00000101871	MID1	chrX	-	10445310	10833654	0.201	0.00058	0.00904
ENSG00000101850	GPR143	chrX	-	9725346	9786297	0.0841	0.393	0.714
ENSG00000101849	TBL1X	chrX	+	9463320	9741037	-0.0847	0.0571	0.259
ENSG00000101846	STS	chrX	+	7147237	7804358	0.291	0.133	0.42
ENSG00000006756	ARSD	chrX	-	2903972	2929349	0.0988	0.442	0.75
ENSG00000169084	DHRSX	chrX	-	2219506	2502805	-0.00141	0.985	0.996
ENSG00000197976	AKAP17A	chrX	+	1591604	1602520	-0.00312	0.969	0.991
ENSG00000182162	P2RY8	chrX	-	1462581	1537185	0.202	0.699	0.894
ENSG00000182378	PLCXD1	chrX	+	276322	303356	-0.152	0.0101	0.0821
ENSG00000198695	MT-ND6	chrM	-	14149	14673	0.0333	0.925	0.98
ENSG00000198938	MT-CO3	chrM	+	9207	9990	0.0692	0.194	0.514
ENSG00000228253	MT-ATP8	chrM	+	8366	8572	0.157	0.39	0.712
ENSG00000198804	MT-CO1	chrM	+	5904	7445	0.152	0.0029	0.0321
ENSG00000198763	MT-ND2	chrM	+	4470	5511	0.193	0.187	0.506
ENSG00000290585		chr9	+	138217068	138252994	-0.169	0.503	0.79
ENSG00000290588		chr9	+	138150075	138177433	-0.195	0.693	0.891
ENSG00000148408	CACNA1B	chr9	+	137877782	138124624	0.596	4.97e-07	1.74e-05
ENSG00000165724	ZMYND19	chr9	-	137582081	137590512	0.0146	0.851	0.951
ENSG00000148399	DPH7	chr9	-	137554444	137578925	0.11	0.197	0.519
ENSG00000165802	NSMF	chr9	-	137447570	137459334	0.174	0.0197	0.131
ENSG00000187609	EXD3	chr9	-	137306896	137423211	0.0657	0.625	0.856
ENSG00000188986	NELFB	chr9	+	137255327	137273542	-0.163	0.0155	0.112
ENSG00000198569	SLC34A3	chr9	+	137230757	137236555	0.633	0.684	
ENSG00000050030	NEXMIF	chrX	-	74732856	74925472	-0.212	0.225	0.554
ENSG00000212864	RNF208	chr9	-	137220247	137222240	0.0246	0.943	0.984
ENSG00000188566	NDOR1	chr9	+	137205685	137219361	0.0731	0.458	0.761
ENSG00000187713	TMEM203	chr9	-	137204082	137205648	-0.0891	0.237	0.567
ENSG00000177239	MAN1B1	chr9	+	137086857	137109189	0.0148	0.803	0.934
ENSG00000197355	UAP1L1	chr9	+	137077517	137084539	1.17	0.0507	
ENSG00000186193	SAPCD2	chr9	-	137062127	137070557	-0.327	0.000514	0.00815
ENSG00000180539	LINC02908	chr9	+	137027464	137037957	1.41	0.269	
ENSG00000184925	LCN12	chr9	+	136949551	136955497	0.908	0.294	
ENSG00000127191	TRAF2	chr9	+	136881912	136926607	0.0406	0.613	0.851
ENSG00000177943	MAMDC4	chr9	+	136850943	136860799	-0.00145	0.995	0.999
ENSG00000232434	AJM1	chr9	+	136842478	136848801	0.437	0.372	0.699
ENSG00000196642	RABL6	chr9	+	136807943	136841187	-0.0289	0.581	0.835
ENSG00000244187	TMEM141	chr9	+	136791344	136793317	0.0476	0.693	0.891
ENSG00000177984	LCN15	chr9	-	136759634	136766255	0.0705	0.975	
ENSG00000165716	DIPK1B	chr9	+	136712572	136724742	-0.0712	0.411	0.728
ENSG00000148400	NOTCH1	chr9	-	136494433	136546048	0.0465	0.43	0.742
ENSG00000196366	C9orf163	chr9	+	136483495	136486067	0.299	0.455	0.759
ENSG00000148396	SEC16A	chr9	-	136440096	136483759	0.0949	0.0766	0.31
ENSG00000148384	INPP5E	chr9	-	136428619	136439845	0.161	0.0751	0.307
ENSG00000187796	CARD9	chr9	-	136363956	136373681	1.28	0.0746	
ENSG00000262075		chr9	-	136322303	136327323	-0.379	0.721	
ENSG00000260220	CCDC187	chr9	-	136249973	136306901	-0.171	0.917	
ENSG00000165661	QSOX2	chr9	-	136206333	136245812	0.0964	0.0952	0.349
ENSG00000238227	TMEM250	chr9	-	136114581	136118875	-0.0352	0.616	0.851
ENSG00000107147	KCNT1	chr9	+	135702185	135795508	1.33	0.245	
ENSG00000226706		chr9	-	135503273	135506447	0.0539	0.981	
ENSG00000122140	MRPS2	chr9	+	135499984	135504673	-0.0684	0.363	0.691
ENSG00000196363	WDR5	chr9	+	134135365	134159968	-0.0411	0.457	0.76
ENSG00000160293	VAV2	chr9	-	133761894	133992604	-0.0482	0.413	0.73
