gene_ID	hgnc_symbol	chr	strand	start	end	PITX1_PTC_log2FoldChange	PITX1_PTC_pvalue	PITX1_PTC_padj
ENSG00000198910	L1CAM	chrX	-	153861514	153886173	0.327	0.209	1
ENSG00000067840	PDZD4	chrX	-	153802166	153830565	-1.81	0.236	1
ENSG00000180879	SSR4	chrX	+	153793516	153798499	-0.0176	0.841	1
ENSG00000067829	IDH3G	chrX	-	153785766	153794512	-0.185	0.0611	1
ENSG00000198753	PLXNB3	chrX	+	153764196	153779346	0.668	0.564	1
ENSG00000185825	BCAP31	chrX	-	153700492	153724565	0.00449	0.948	1
ENSG00000130822	PNCK	chrX	-	153669733	153689010	0.142	0.613	1
ENSG00000067842	ATP2B3	chrX	+	153517642	153582939	0.0835	0.497	1
ENSG00000214897	PNMA6E	chrX	-	153395639	153401392	-1.74	0.146	1
ENSG00000183837	PNMA3	chrX	+	153056409	153060467	1.16	0.323	1
ENSG00000147383	NSDHL	chrX	+	152830967	152869729	-0.0591	0.606	1
ENSG00000147400	CETN2	chrX	-	152826994	152830757	0.115	0.362	1
ENSG00000160131	VMA21	chrX	+	151396515	151409364	0.00173	0.988	1
ENSG00000029993	HMGB3	chrX	+	150980509	150990771	0.101	0.148	1
ENSG00000102181	CD99L2	chrX	-	150766336	150898816	0.404	0.00205	0.167
ENSG00000063601	MTMR1	chrX	+	150692971	150765108	0.1	0.267	1
ENSG00000013619	MAMLD1	chrX	+	150361422	150514178	-0.995	0.657	1
ENSG00000269556	TMEM185A	chrX	-	149596556	149631912	0.074	0.662	1
ENSG00000241769	EOLA1-DT	chrX	-	149527591	149540959	0.365	0.478	1
ENSG00000287796		chrX	+	147879361	147885249	0.266	0.808	1
ENSG00000182195	LDOC1	chrX	-	141111605	141177129	0.245	0.112	1
ENSG00000129682	FGF13	chrX	-	138614727	139222777	0.294	0.271	1
ENSG00000291054		chrX	+	136909369	137069407	0.284	0.714	1
ENSG00000233093	LINC00892	chrX	+	136639535	136642433	1.01	0.41	1
ENSG00000102243	VGLL1	chrX	+	136532215	136556807	-0.0228	0.754	1
ENSG00000165359	INTS6L	chrX	+	135520659	135582510	-0.119	0.525	1
ENSG00000178947	SMIM10L2A	chrX	+	135421944	135428075	0.97	0.12	1
ENSG00000173275	ZNF449	chrX	+	135344796	135363413	0.0226	0.922	1
ENSG00000169551	CT55	chrX	-	135156540	135171398	-0.785	0.733	1
ENSG00000203950	RTL8A	chrX	-	135050932	135052196	-0.0844	0.571	1
ENSG00000184785	SMIM10	chrX	+	134990991	134992473	-0.331	0.666	1
ENSG00000101928	MOSPD1	chrX	-	134887632	134915257	-0.0537	0.579	1
ENSG00000156504	PABIR2	chrX	-	134769566	134797232	0.0168	0.888	1
ENSG00000170965	PLAC1	chrX	-	134565838	134764322	-0.124	0.885	1
ENSG00000156531	PHF6	chrX	+	134373288	134428791	0.0508	0.72	1
ENSG00000147257	GPC3	chrX	-	133535745	133987100	-0.333	0.368	1
ENSG00000076770	MBNL3	chrX	-	132369320	132489968	0.0212	0.809	1
ENSG00000134602	STK26	chrX	+	132023302	132075943	0.0193	0.839	1
ENSG00000213468	FIRRE	chrX	-	131688779	131830862	0.0626	0.547	1
ENSG00000147256	ARHGAP36	chrX	+	131058346	131089885	-0.502	0.711	1
ENSG00000102078	SLC25A14	chrX	+	130339888	130373361	0.0188	0.939	1
ENSG00000085185	BCORL1	chrX	+	129981107	130058071	-0.093	0.175	1
ENSG00000188706	ZDHHC9	chrX	-	129803288	129843909	-0.0319	0.676	1
ENSG00000198354	DCAF12L2	chrX	-	126163499	126166289	-1.35	0.592	1
ENSG00000009694	TENM1	chrX	-	124375903	125204312	0.462	0.517	1
ENSG00000282419	TEX13D	chrX	+	124246249	124336863	-0.69	0.764	1
ENSG00000101966	XIAP	chrX	+	123859712	123913972	0.079	0.228	1
ENSG00000125676	THOC2	chrX	-	123600561	123733056	-0.0655	0.313	1
ENSG00000171155	C1GALT1C1	chrX	-	120625674	120630054	0.0613	0.718	1
ENSG00000158290	CUL4B	chrX	-	120505920	120604074	0.213	0.00385	0.276
ENSG00000005893	LAMP2	chrX	-	120426148	120469365	-0.0253	0.694	1
ENSG00000125355	TMEM255A	chrX	-	120258650	120311556	0.273	0.862	1
ENSG00000258545	RHOXF1-AS1	chrX	+	120036236	120146855	0.0586	0.938	1
ENSG00000125352	RNF113A	chrX	-	119870475	119871733	0.154	0.221	1
ENSG00000286366		chrX	+	119791971	119810949	-1.34	0.261	1
ENSG00000125354	SEPTIN6	chrX	-	119615724	119693370	0.0797	0.39	1
ENSG00000018610	STEEP1	chrX	-	119538149	119565409	0.0311	0.749	1
ENSG00000077721	UBE2A	chrX	+	119474802	119591083	-0.106	0.0991	1
ENSG00000005022	SLC25A5	chrX	+	119468422	119471396	-0.12	0.0698	1
ENSG00000224281	SLC25A5-AS1	chrX	-	119465986	119469128	0.429	0.644	1
ENSG00000237903		chrX	+	119422917	119423547	-16	5.7e-09	
ENSG00000077713	SLC25A43	chrX	+	119399336	119454478	-0.0882	0.686	1
ENSG00000175556	LONRF3	chrX	+	118974614	119018355	0.425	0.359	1
ENSG00000235244	DANT2	chrX	-	115694880	115969148	0.0909	0.782	1
ENSG00000102024	PLS3	chrX	+	115561174	115650861	-0.125	0.0485	1
ENSG00000123496	IL13RA2	chrX	-	115003975	115019977	-0.123	0.973	
ENSG00000288595		chrX	+	114040388	114056276	-1.15	0.434	1
ENSG00000077279	DCX	chrX	-	111293779	111412429	-0.2	0.819	1
ENSG00000224142	AMMECR1-IT1	chrX	-	110305420	110307221	1.8	0.051	1
ENSG00000157600	TMEM164	chrX	+	110002631	110182734	0.101	0.292	1
ENSG00000289365		chrX	+	109733479	109734864	0.787	0.628	1
ENSG00000068366	ACSL4	chrX	-	109624244	109733403	-0.105	0.161	1
ENSG00000101890	GUCY2F	chrX	-	109372906	109482086	-0.321	0.712	1
ENSG00000237863	IRS4-AS1	chrX	+	108736011	108739223	-1.13	0.569	1
ENSG00000197565	COL4A6	chrX	-	108155607	108439497	0.0351	0.74	1
ENSG00000101844	ATG4A	chrX	+	108091668	108154671	-0.109	0.431	1
ENSG00000080561	MID2	chrX	+	107825755	107931637	-0.0759	0.868	1
ENSG00000198088	NUP62CL	chrX	-	107123427	107206433	-0.362	0.514	1
ENSG00000165376	CLDN2	chrX	+	106900164	106930861	-1.5	0.436	1
ENSG00000147223	RIPPLY1	chrX	-	106900063	106903341	-0.803	0.539	1
ENSG00000133131	MORC4	chrX	-	106813871	107000212	-0.0964	0.553	1
ENSG00000133138	TBC1D8B	chrX	+	106802673	106876150	0.0689	0.69	1
ENSG00000133135	RNF128	chrX	+	106693794	106797016	0.0333	0.768	1
ENSG00000157502	PWWP3B	chrX	+	106168305	106208956	-0.122	0.204	1
ENSG00000189108	IL1RAPL2	chrX	+	104566199	105767829	-0.0483	0.913	1
ENSG00000166707	ZCCHC18	chrX	+	104112131	104115842	-0.633	0.772	1
ENSG00000269226	TMSB15C	chrX	-	104063871	104076236	-0.284	0.723	1
ENSG00000231728	TMSB15B-AS1	chrX	-	103845151	103919548	0.949	0.522	1
ENSG00000172476	RAB40A	chrX	-	103499130	103519489	-1.19	0.352	1
ENSG00000234405		chrX	+	103486461	103517919	1.09	0.364	1
ENSG00000185222	TCEAL9	chrX	+	103356489	103358462	0.0625	0.574	1
ENSG00000182916	TCEAL7	chrX	+	103330229	103332326	0.142	0.76	1
ENSG00000133134	BEX2	chrX	-	103309346	103311007	0.0188	0.916	1
ENSG00000286846		chrX	+	102945971	102952039	-0.187	0.692	1
ENSG00000286237		chrX	+	102712495	102753530	0.754	0.784	1
ENSG00000158301	GPRASP2	chrX	+	102712445	102717733	0.254	0.232	1
ENSG00000125962	ARMCX5	chrX	+	102599168	102604159	0.336	0.086	1
ENSG00000184867	ARMCX2	chrX	-	101655281	101659850	0.137	0.248	1
ENSG00000102401	ARMCX3	chrX	+	101622797	101627843	-0.00633	0.935	1
ENSG00000290908		chrX	+	101598017	101598671	3.08	0.0721	1
ENSG00000010671	BTK	chrX	-	101349338	101390796	-0.109	0.484	1
ENSG00000102384	CENPI	chrX	+	101098188	101166126	0.11	0.6	1
ENSG00000204086	RPA4	chrX	+	96883908	96885467	0.376	0.68	1
ENSG00000147202	DIAPH2	chrX	+	96684712	97604997	-0.0924	0.337	1
ENSG00000286523		chrX	-	96127747	96372889	-2.21	0.325	1
ENSG00000186310	NAP1L3	chrX	-	93670930	93673578	1.24	0.0748	1
ENSG00000289479		chrX	-	92100276	92104768	-1.05	0.0184	0.711
ENSG00000234161	PABPC5-AS1	chrX	-	91414878	91434999	1.85	0.519	1
ENSG00000184788	SATL1	chrX	-	85092284	85243911	-1.1	0.529	1
ENSG00000072133	RPS6KA6	chrX	-	84058346	84206356	0.0248	0.838	1
ENSG00000131171	SH3BGRL	chrX	+	81202102	81298547	-0.019	0.884	1
ENSG00000147255	IGSF1	chrX	-	131273506	131578899	-0.016	0.974	1
ENSG00000198157	HMGN5	chrX	-	81113699	81201913	-0.154	0.569	1
ENSG00000165288	BRWD3	chrX	-	80669503	80809877	0.0716	0.271	1
ENSG00000122145	TBX22	chrX	+	80014753	80031774	2.02	0.585	
ENSG00000078596	ITM2A	chrX	-	79360384	79367667	-0.15	0.527	1
ENSG00000102158	MAGT1	chrX	-	77825747	77899271	-0.016	0.799	1
ENSG00000198934	MAGEE1	chrX	+	76427710	76431342	0.436	0.238	1
ENSG00000102390	PBDC1	chrX	+	76173040	76178314	-0.0753	0.506	1
ENSG00000094841	UPRT	chrX	+	75156388	75304885	0.191	0.367	1
ENSG00000147100	SLC16A2	chrX	+	74421493	74533917	0.152	0.543	1
ENSG00000225470	JPX	chrX	+	73944182	74070408	0.37	0.00568	0.361
ENSG00000229807	XIST	chrX	-	73820649	73852723	1.72	0.265	1
ENSG00000186288	PABPC1L2A	chrX	-	73077276	73079512	0.46	0.547	1
ENSG00000269502	DMRTC1	chrX	-	72872025	72943837	1.07	0.828	1
ENSG00000269911	FAM226B	chrX	+	72777608	72779097	-0.0984	0.862	1
ENSG00000147099	HDAC8	chrX	-	72329516	72573101	0.339	0.00555	0.357
ENSG00000198034	RPS4X	chrX	-	72255679	72277248	-0.0924	0.12	1
ENSG00000186871	ERCC6L	chrX	-	72204657	72239027	0.0374	0.823	1
ENSG00000102309	PIN4	chrX	+	72181353	72302926	-0.0231	0.91	1
ENSG00000204131	NHSL2	chrX	+	71910845	72161750	-0.199	0.548	1
ENSG00000281852	LINC00891	chrX	+	71697196	71706455	0.264	0.721	1
ENSG00000283599		chrX	+	71667542	71671527	-2.55	0.295	1
ENSG00000147133	TAF1	chrX	+	71366222	71532374	0.0572	0.48	1
ENSG00000147140	NONO	chrX	+	71254814	71301522	0.0304	0.599	1
ENSG00000196338	NLGN3	chrX	+	71144821	71175255	0.28	0.266	1
ENSG00000184634	MED12	chrX	+	71118543	71144103	-0.0438	0.534	1
ENSG00000184481	FOXO4	chrX	+	71095851	71103532	-0.168	0.0171	0.676
ENSG00000165349	SLC7A3	chrX	-	70925579	70931125	-0.175	0.297	1
ENSG00000120509	PDZD11	chrX	-	70281118	70290514	-0.173	0.356	1
ENSG00000089289	IGBP1	chrX	+	70133447	70166324	0.0359	0.716	1
ENSG00000147160	AWAT2	chrX	-	70040542	70049938	-1.74	0.597	1
ENSG00000158813	EDA	chrX	+	69616067	70039472	0.259	0.519	1
ENSG00000181704	YIPF6	chrX	+	68498562	68537282	-0.0435	0.523	1
ENSG00000289038		chrX	-	68498309	68498989	-1.13	0.33	1
ENSG00000089472	HEPH	chrX	+	66162671	66268867	0.0902	0.434	1
ENSG00000274536	MIR223HG	chrX	+	66015414	66020426	0.217	0.824	1
ENSG00000198881	ASB12	chrX	-	64224194	64230607	1.81	0.316	1
ENSG00000184675	AMER1	chrX	-	64185117	64205708	0.16	0.555	1
ENSG00000186767	SPIN4	chrX	-	63347228	63351332	-0.156	0.237	1
ENSG00000235437	LINC01278	chrX	-	63222993	63561095	0.0429	0.697	1
ENSG00000198205	ZXDA	chrX	-	57905430	57910458	0.27	0.365	1
ENSG00000147059	SPIN2A	chrX	-	57134530	57137523	0.307	0.686	1
ENSG00000186787	SPIN2B	chrX	-	57118551	57121548	0.239	0.499	1
ENSG00000102349	KLF8	chrX	+	56232356	56291531	0.00662	0.941	1
ENSG00000227486		chrX	+	55908123	56209271	-0.184	0.649	1
ENSG00000083750	RRAGB	chrX	+	55717749	55758774	0.0103	0.967	1
ENSG00000247746	USP51	chrX	-	55484616	55489848	0.293	0.355	1
ENSG00000182518	FAM104B	chrX	-	55143102	55161310	-0.104	0.711	1
ENSG00000130119	GNL3L	chrX	+	54530183	54621521	0.0358	0.668	1
ENSG00000196632	WNK3	chrX	-	54192823	54358642	-0.0483	0.772	1
ENSG00000184083	FAM120C	chrX	-	54068324	54183281	-0.0986	0.701	1
ENSG00000158423	RIBC1	chrX	+	53422690	53431120	-1.06	0.426	1
ENSG00000235262	KDM5C-IT1	chrX	-	53212408	53214679	1.12	0.459	1
ENSG00000126012	KDM5C	chrX	-	53176283	53225422	-0.0568	0.463	1
ENSG00000232593	KANTR	chrX	+	53094142	53170914	0.189	0.184	1
ENSG00000184205	TSPYL2	chrX	+	53082367	53088540	-0.185	0.0101	0.522
ENSG00000179222	MAGED1	chrX	+	51803007	51902354	-0.0426	0.481	1
ENSG00000189369	GSPT2	chrX	+	51743442	51746232	-0.0549	0.761	1
ENSG00000223591	CENPVL1	chrX	+	51710512	51712131	-0.641	0.778	1
ENSG00000283093	CENPVL2	chrX	-	51681212	51682831	-1.99	0.497	1
ENSG00000224109	CENPVL3	chrX	-	51617020	51618912	0.117	0.907	1
ENSG00000226530		chrX	+	51395915	51465839	1.66	0.269	1
ENSG00000230317	LINC01284	chrX	-	51095836	51224432	-1.79	0.291	1
ENSG00000130385	BMP15	chrX	+	50910735	50916641	0.409	0.856	1
ENSG00000158352	SHROOM4	chrX	-	50586796	50814302	-0.0493	0.801	1
ENSG00000274588	DGKK	chrX	-	50365409	50470825	-0.0908	0.835	1
ENSG00000147081	AKAP4	chrX	-	50190777	50201007	-1.69	0.606	1
ENSG00000270012		chrX	+	49273054	49275768	-0.475	0.304	1
ENSG00000286181		chrX	-	49262866	49270521	1.26	0.648	1
ENSG00000012211	PRICKLE3	chrX	-	49174802	49186528	-0.0185	0.934	1
ENSG00000269313	MAGIX	chrX	+	49162564	49168774	-0.0539	0.863	1
ENSG00000243279	PRAF2	chrX	-	49071161	49074002	-0.397	0.256	1
ENSG00000068400	GRIPAP1	chrX	-	48973720	49002265	0.13	0.288	1
ENSG00000102100	SLC35A2	chrX	-	48903180	48911958	-0.0697	0.542	1
ENSG00000094631	HDAC6	chrX	+	48801377	48824982	0.18	0.123	1
ENSG00000015285	WAS	chrX	+	48676596	48691431	-2.48	0.255	1
ENSG00000102317	RBM3	chrX	+	48574449	48581162	0.104	0.223	1
ENSG00000147155	EBP	chrX	+	48521799	48528716	0.034	0.786	1
ENSG00000102312	PORCN	chrX	+	48508959	48520814	-0.268	0.527	1
ENSG00000287757		chrX	+	48071223	48078721	1.58	0.669	
ENSG00000197779	ZNF81	chrX	+	47836902	48002561	0.154	0.413	1
ENSG00000267064	UXT-AS1	chrX	+	47658833	47692326	-0.0538	0.906	1
ENSG00000126756	UXT	chrX	-	47651796	47659180	-0.163	0.179	1
ENSG00000078061	ARAF	chrX	+	47561205	47571908	-0.0752	0.413	1
ENSG00000289890		chrX	-	47555936	47561382	-0.213	0.935	
ENSG00000196741	LINC01560	chrX	+	47483571	47484823	0.51	0.622	1
ENSG00000147124	ZNF41	chrX	-	47445178	47483222	0.161	0.49	1
ENSG00000102226	USP11	chrX	+	47232866	47248328	0.00331	0.973	1
ENSG00000147123	NDUFB11	chrX	-	47142071	47145466	-0.0271	0.745	1
ENSG00000130988	RGN	chrX	+	47078355	47093314	-0.129	0.869	1
ENSG00000102221	JADE3	chrX	+	46912276	47061242	-0.07	0.381	1
ENSG00000204904	LINC01545	chrX	-	46887417	46899703	-0.00355	0.998	1
ENSG00000065923	SLC9A7	chrX	-	46599251	46759118	0.0393	0.641	1
ENSG00000251192	ZNF674	chrX	-	46497725	46545457	-0.0878	0.721	1
ENSG00000236751	LINC01186	chrX	-	46256759	46327680	-0.662	0.523	1
ENSG00000270069	MIR222HG	chrX	-	45745210	45770274	0.111	0.63	1
ENSG00000224294	PINCR	chrX	+	43176994	43226598	-0.596	0.53	1
ENSG00000287223		chrX	-	42723209	42755892	0.849	0.538	1
ENSG00000188937	NYX	chrX	+	41447343	41475710	0.796	0.484	1
ENSG00000126950	TMEM35A	chrX	+	101078879	101096367	0.846	0.642	1
ENSG00000223486	LINC03053	chrX	+	40009276	40012182	-0.654	0.721	1
ENSG00000289127		chrX	+	38870767	39019622	0.782	0.805	1
ENSG00000156313	RPGR	chrX	-	38269163	38327544	0.0581	0.79	1
ENSG00000165168	CYBB	chrX	+	37780018	37813461	-0.442	0.82	1
ENSG00000147036	LANCL3	chrX	+	37571569	37684463	0.315	0.63	1
ENSG00000130962	PRRG1	chrX	+	37349309	37457292	0.116	0.289	1
ENSG00000174016	TENT5D	chrX	+	80335504	80445311	-3.17	0.187	1
ENSG00000165164	CFAP47	chrX	+	35919734	36385317	-0.221	0.744	1
ENSG00000189023	MAGEB16	chrX	+	35798342	35803772	-0.296	0.849	1
ENSG00000233928		chrX	+	33726337	34346527	1.81	0.519	1
ENSG00000198947	DMD	chrX	-	31097677	33339609	0.0155	0.918	1
ENSG00000198814	GK	chrX	+	30653359	30731462	0.342	0.556	1
ENSG00000169297	NR0B1	chrX	-	30304206	30309390	-0.296	0.735	1
ENSG00000004848	ARX	chrX	-	25003694	25016420	0.0603	0.975	1
ENSG00000101868	POLA1	chrX	+	24693873	24996986	-0.000665	0.995	1
ENSG00000289472		chrX	+	24168659	24169609	1.92	0.00628	0.39
ENSG00000174010	KLHL15	chrX	-	23983716	24027186	0.0902	0.434	1
ENSG00000184831	APOO	chrX	-	23833353	23907938	-0.181	0.366	1
ENSG00000123130	ACOT9	chrX	-	23701055	23766475	0.194	0.21	1
ENSG00000123131	PRDX4	chrX	+	23664262	23686397	-0.0154	0.834	1
ENSG00000165186	PTCHD1	chrX	+	23334849	23404374	-0.258	0.195	1
ENSG00000102174	PHEX	chrX	+	22032325	22494713	0.666	0.213	1
ENSG00000288832		chrX	-	21652655	21654301	0.143	0.954	1
ENSG00000149970	CNKSR2	chrX	+	21372801	21654695	0.0536	0.867	1
ENSG00000184368	MAP7D2	chrX	-	20006713	20116907	-0.0424	0.817	1
ENSG00000147010	SH3KBP1	chrX	-	19533977	19887600	0.0282	0.695	1
ENSG00000180815	MAP3K15	chrX	-	19360056	19515508	0.128	0.675	1
ENSG00000173698	ADGRG2	chrX	-	18989307	19122637	0.0224	0.918	1
ENSG00000044446	PHKA2	chrX	-	18892298	18984114	0.0663	0.572	1
ENSG00000237836	PHKA2-AS1	chrX	+	18890296	18894974	-0.0538	0.946	1
ENSG00000086717	PPEF1	chrX	+	18675909	18827921	-0.16	0.803	1
ENSG00000008086	CDKL5	chrX	+	18425583	18653629	-0.158	0.0243	0.807
ENSG00000102098	SCML2	chrX	-	18239313	18354688	-0.145	0.508	1
ENSG00000225882	LINC01456	chrX	-	17970197	18104644	0.0724	0.97	1
ENSG00000047634	SCML1	chrX	+	17737449	17754988	0.0319	0.885	1
ENSG00000235834		chrX	+	17528435	17587160	0.0384	0.956	1
ENSG00000169891	REPS2	chrX	+	16946658	17153272	-0.201	0.505	1
ENSG00000238178		chrX	-	16152941	16170869	1.24	0.542	1
ENSG00000126010	GRPR	chrX	+	16123565	16153518	0.311	0.818	1
ENSG00000182287	AP1S2	chrX	-	15825806	15854931	-0.137	0.59	1
ENSG00000147003	CLTRN	chrX	-	15627318	15675012	0.442	0.619	1
ENSG00000130234	ACE2	chrX	-	15494566	15607236	-0.196	0.167	1
ENSG00000087842	PIR	chrX	-	15384799	15493564	0.0311	0.883	1
ENSG00000046647	GEMIN8	chrX	-	14006726	14029893	-0.0143	0.95	1
ENSG00000289449		chrX	+	13773311	13773935	-0.703	0.214	1
ENSG00000123595	RAB9A	chrX	+	13689128	13710504	-0.104	0.202	1
ENSG00000176896	TCEANC	chrX	+	13653112	13681964	0.363	0.105	1
ENSG00000101916	TLR8	chrX	+	12906620	12923169	0.132	0.885	1
ENSG00000196664	TLR7	chrX	+	12867072	12890361	-0.195	0.0719	1
ENSG00000101911	PRPS2	chrX	+	12791355	12824222	-0.12	0.34	1
ENSG00000047648	ARHGAP6	chrX	-	11117651	11665920	0.449	0.0686	1
ENSG00000101871	MID1	chrX	-	10445310	10833654	0.177	0.0625	1
ENSG00000227042		chrX	+	10242339	10365323	15	8.19e-05	
ENSG00000101850	GPR143	chrX	-	9725346	9786297	-0.249	0.637	1
ENSG00000101849	TBL1X	chrX	+	9463320	9741037	0.0475	0.478	1
ENSG00000101846	STS	chrX	+	7147237	7804358	0.0474	0.563	1
ENSG00000006756	ARSD	chrX	-	2903972	2929349	0.0179	0.902	1
ENSG00000169084	DHRSX	chrX	-	2219506	2502805	0.149	0.33	1
ENSG00000197976	AKAP17A	chrX	+	1591604	1602520	-0.181	0.0548	1
ENSG00000182378	PLCXD1	chrX	+	276322	303356	-0.128	0.127	1
ENSG00000198695	MT-ND6	chrM	-	14149	14673	-0.242	0.0279	0.847
ENSG00000198938	MT-CO3	chrM	+	9207	9990	-0.0851	0.453	1
ENSG00000228253	MT-ATP8	chrM	+	8366	8572	-0.319	0.0652	1
ENSG00000198804	MT-CO1	chrM	+	5904	7445	-0.0472	0.58	1
ENSG00000198763	MT-ND2	chrM	+	4470	5511	-0.113	0.565	1
ENSG00000290585		chr9	+	138217068	138252994	1.57	0.272	1
ENSG00000290588		chr9	+	138150075	138177433	1.14	0.228	1
ENSG00000148408	CACNA1B	chr9	+	137877782	138124624	-0.609	0.513	1
ENSG00000165724	ZMYND19	chr9	-	137582081	137590512	-0.241	0.0445	1
ENSG00000148399	DPH7	chr9	-	137554444	137578925	-0.139	0.271	1
ENSG00000165802	NSMF	chr9	-	137447570	137459334	0.0628	0.658	1
ENSG00000188833	ENTPD8	chr9	-	137434364	137441816	1.15	0.0481	1
ENSG00000187609	EXD3	chr9	-	137306896	137423211	-0.159	0.568	1
ENSG00000188986	NELFB	chr9	+	137255327	137273542	-0.0178	0.857	1
ENSG00000188163	FAM166A	chr9	-	137243584	137247770	2.16	0.429	1
ENSG00000050030	NEXMIF	chrX	-	74732856	74925472	0.95	0.158	1
ENSG00000212864	RNF208	chr9	-	137220247	137222240	0.036	0.89	1
ENSG00000188566	NDOR1	chr9	+	137205685	137219361	-0.0101	0.931	1
ENSG00000187713	TMEM203	chr9	-	137204082	137205648	0.227	0.124	1
ENSG00000185863	TMEM210	chr9	-	137170858	137172056	1.2	0.739	1
ENSG00000177239	MAN1B1	chr9	+	137086857	137109189	0.0292	0.724	1
ENSG00000197355	UAP1L1	chr9	+	137077517	137084539	-0.0582	0.684	1
ENSG00000186193	SAPCD2	chr9	-	137062127	137070557	0.0851	0.552	1
ENSG00000180539	LINC02908	chr9	+	137027464	137037957	0.614	0.674	1
ENSG00000214402	LCNL1	chr9	+	136981904	136986410	0.117	0.748	1
ENSG00000198454	LINC02692	chr9	+	136969243	136971990	0.429	0.845	1
ENSG00000184925	LCN12	chr9	+	136949551	136955497	0.493	0.585	1
ENSG00000127191	TRAF2	chr9	+	136881912	136926607	0.0195	0.874	1
ENSG00000177943	MAMDC4	chr9	+	136850943	136860799	0.212	0.468	1
ENSG00000232434	AJM1	chr9	+	136842478	136848801	-0.0917	0.758	1
ENSG00000196642	RABL6	chr9	+	136807943	136841187	0.0219	0.778	1
ENSG00000244187	TMEM141	chr9	+	136791344	136793317	0.146	0.277	1
ENSG00000177984	LCN15	chr9	-	136759634	136766255	-0.359	0.781	1
ENSG00000165716	DIPK1B	chr9	+	136712572	136724742	0.00534	0.974	1
ENSG00000279141		chr9	-	136612024	136617181	-0.64	0.653	1
ENSG00000148400	NOTCH1	chr9	-	136494433	136546048	-0.081	0.419	1
ENSG00000196366	C9orf163	chr9	+	136483495	136486067	0.132	0.841	1
ENSG00000148396	SEC16A	chr9	-	136440096	136483759	-0.0896	0.211	1
ENSG00000148384	INPP5E	chr9	-	136428619	136439845	0.0329	0.816	1
ENSG00000187796	CARD9	chr9	-	136363956	136373681	-0.191	0.528	1
ENSG00000262075		chr9	-	136322303	136327323	0.948	0.357	1
ENSG00000260220	CCDC187	chr9	-	136249973	136306901	-0.306	0.538	1
ENSG00000165661	QSOX2	chr9	-	136206333	136245812	-0.136	0.313	1
ENSG00000238227	TMEM250	chr9	-	136114581	136118875	0.046	0.666	1
ENSG00000107147	KCNT1	chr9	+	135702185	135795508	-0.0768	0.924	1
ENSG00000165643	SOHLH1	chr9	-	135693407	135704498	-1.79	0.361	1
