gene_ID	hgnc_symbol	chr	strand	start	end	POU2F3_CE_log2FoldChange	POU2F3_CE_pvalue	POU2F3_CE_padj	POU2F3_KO_log2FoldChange	POU2F3_KO_pvalue	POU2F3_KO_padj	POU2F3_PTC_log2FoldChange	POU2F3_PTC_pvalue	POU2F3_PTC_padj
ENSG00000130830	MPP1	chrX	-	154778684	154821007	-0.547	0.000514	0.0103	-0.349	0.0236	0.101	-0.284	0.0573	0.318
ENSG00000272681	FAM223B	chrX	-	154632470	154633182	-2.77	0.107		-2.87	0.0893		0.814	0.498	
ENSG00000269335	IKBKG	chrX	+	154541199	154565046	-0.173	0.106	0.226	-0.25	0.0184	0.0893	-0.124	0.229	0.549
ENSG00000160211	G6PD	chrX	-	154517825	154547572	-0.107	0.295	0.458	-0.0366	0.713	0.819	-0.158	0.104	0.398
ENSG00000102178	UBL4A	chrX	-	154483717	154486615	0.244	0.0424	0.119	0.158	0.182	0.34	0.26	0.0235	0.248
ENSG00000130827	PLXNA3	chrX	+	154458281	154477779	-0.317	0.0488	0.131	-0.178	0.259	0.428	-0.185	0.226	0.546
ENSG00000071859	FAM50A	chrX	+	154444141	154450654	-0.38	0.00088	0.013	-0.44	9.07e-05	0.0169	-0.283	0.00916	0.205
ENSG00000013563	DNASE1L1	chrX	-	154401236	154412112	-0.157	0.299	0.462	-0.245	0.102	0.235	-0.107	0.462	0.741
ENSG00000280195		chrX	-	154396878	154398842	-0.428	0.347	0.511	-0.842	0.0728		-0.205	0.629	0.843
ENSG00000169057	MECP2	chrX	-	154021573	154137103	0.498	0.00022	0.00718	0.42	0.00153	0.0349	0.381	0.0031	0.176
ENSG00000177854	TMEM187	chrX	+	153972754	153983194	-0.341	0.294	0.457	-0.00393	0.99	0.995	-0.736	0.0246	0.253
ENSG00000102032	RENBP	chrX	-	153935269	153944687	-1.65	0.195		-0.598	0.589		-0.19	0.856	0.946
ENSG00000089820	ARHGAP4	chrX	-	153907367	153934999	-0.247	0.504	0.656	-0.835	0.0282	0.111	-0.39	0.276	0.597
ENSG00000198910	L1CAM	chrX	-	153861514	153886173	1.75	0.0177	0.0663	1.17	0.105	0.241	0.466	0.506	0.771
ENSG00000067840	PDZD4	chrX	-	153802166	153830565	0.942	0.508		1.17	0.4		0.448	0.753	
ENSG00000180879	SSR4	chrX	+	153793516	153798499	-0.537	0.000105	0.00527	-0.469	0.000537	0.0255	-0.427	0.00115	0.145
ENSG00000067829	IDH3G	chrX	-	153785766	153794512	-0.108	0.268	0.431	-0.0941	0.327	0.498	-0.0075	0.936	0.976
ENSG00000198753	PLXNB3	chrX	+	153764196	153779346	-0.794	0.402		-1	0.279		-2.18	0.0401	0.285
ENSG00000185825	BCAP31	chrX	-	153700492	153724565	-0.381	0.00032	0.00849	-0.275	0.00797	0.0611	-0.268	0.00774	0.201
ENSG00000130822	PNCK	chrX	-	153669733	153689010	-1.57	0.033	0.1	-1.26	0.0784	0.2	-0.737	0.285	0.606
ENSG00000067842	ATP2B3	chrX	+	153517642	153582939	-0.852	0.0098	0.0453	-0.442	0.169	0.324	-0.193	0.533	0.785
ENSG00000214897	PNMA6E	chrX	-	153395639	153401392	-1.01	0.681		-0.155	0.946		0.176	0.935	
ENSG00000183837	PNMA3	chrX	+	153056409	153060467	-0.14	0.868	0.92	-0.33	0.694		-0.458	0.578	0.813
ENSG00000147383	NSDHL	chrX	+	152830967	152869729	0.276	0.104	0.224	0.09	0.59	0.728	0.0468	0.773	0.909
ENSG00000147400	CETN2	chrX	-	152826994	152830757	0.185	0.111	0.233	0.0435	0.705	0.813	0.055	0.625	0.84
ENSG00000160131	VMA21	chrX	+	151396515	151409364	0.268	0.0349	0.104	0.191	0.125	0.269	0.216	0.0735	0.347
ENSG00000029993	HMGB3	chrX	+	150980509	150990771	-0.906	0.00251	0.0208	-0.6	0.0409	0.136	-0.449	0.114	0.412
ENSG00000102181	CD99L2	chrX	-	150766336	150898816	-0.466	0.0218	0.0761	-0.176	0.375	0.545	-0.0859	0.654	0.856
ENSG00000063601	MTMR1	chrX	+	150692971	150765108	0.0515	0.493	0.646	-0.0435	0.558	0.702	-0.000612	0.993	0.997
ENSG00000013619	MAMLD1	chrX	+	150361422	150514178	-1.95	0.41		-0.276	0.902		-2.25	0.315	
ENSG00000269556	TMEM185A	chrX	-	149596556	149631912	0.26	0.0637	0.157	0.4	0.00363	0.0458	0.403	0.00274	0.171
ENSG00000241769	EOLA1-DT	chrX	-	149527591	149540959	-0.149	0.692	0.801	-0.0641	0.862	0.918	-0.0145	0.968	0.987
ENSG00000287796		chrX	+	147879361	147885249	0.0704	0.979		0.0429	0.987		0.0275	0.992	
ENSG00000277215	SPANXA2-OT1	chrX	+	141177284	141649927	-1.38	0.525		1.81	0.324		0.476	0.798	
ENSG00000182195	LDOC1	chrX	-	141111605	141177129	0.121	0.355	0.519	0.0457	0.725	0.827	-0.0389	0.76	0.903
ENSG00000129682	FGF13	chrX	-	138614727	139222777	0.769	0.00468	0.0289	0.614	0.0218	0.0971	0.508	0.0516	0.306
ENSG00000291054		chrX	+	136909369	137069407	0.978	0.066	0.162	0.814	0.122		-0.35	0.537	0.788
ENSG00000233093	LINC00892	chrX	+	136639535	136642433	-1.15	0.501		0.824	0.568		1.67	0.216	0.536
ENSG00000102243	VGLL1	chrX	+	136532215	136556807	-0.0772	0.459	0.616	-0.0642	0.529	0.68	-0.0579	0.558	0.802
ENSG00000165359	INTS6L	chrX	+	135520659	135582510	-0.367	0.155	0.296	-0.25	0.321	0.493	-0.144	0.555	0.8
ENSG00000178947	SMIM10L2A	chrX	+	135421944	135428075	-0.371	0.449	0.608	-0.557	0.258		-0.934	0.0648	0.332
ENSG00000173275	ZNF449	chrX	+	135344796	135363413	0.704	0.000916	0.0132	0.598	0.00437	0.0493	0.396	0.0549	0.314
ENSG00000169551	CT55	chrX	-	135156540	135171398	0.498	0.857		0.767	0.777		0.0821	0.976	
ENSG00000203950	RTL8A	chrX	-	135050932	135052196	0.405	0.00275	0.0216	0.288	0.0315	0.118	0.156	0.234	0.554
ENSG00000184785	SMIM10	chrX	+	134990991	134992473	-0.00851	0.985	0.99	0.166	0.698	0.808	-0.0885	0.838	0.937
ENSG00000101928	MOSPD1	chrX	-	134887632	134915257	-0.949	0.00145	0.016	-0.789	0.00683	0.0573	-0.446	0.114	0.412
ENSG00000156504	PABIR2	chrX	-	134769566	134797232	0.122	0.251	0.412	0.155	0.136	0.283	0.0843	0.407	0.703
ENSG00000170965	PLAC1	chrX	-	134565838	134764322	-1.71	0.0279	0.0896	-0.885	0.208		0.0818	0.897	0.963
ENSG00000156531	PHF6	chrX	+	134373288	134428791	0.383	0.00147	0.016	0.308	0.00924	0.0658	0.356	0.00194	0.163
ENSG00000147257	GPC3	chrX	-	133535745	133987100	0.0557	0.897	0.939	0.263	0.533	0.684	-0.11	0.794	0.918
ENSG00000076770	MBNL3	chrX	-	132369320	132489968	-0.222	0.142	0.278	-0.182	0.218	0.381	-0.0554	0.699	0.876
ENSG00000134602	STK26	chrX	+	132023302	132075943	0.0877	0.375	0.538	0.0674	0.487	0.645	0.133	0.158	0.473
ENSG00000213468	FIRRE	chrX	-	131688779	131830862	-0.561	0.0339	0.102	-0.243	0.347	0.519	-0.252	0.313	0.631
ENSG00000286060		chrX	+	131578681	131611684	0.645	0.822		1.24	0.652		-1.09	0.695	
ENSG00000147256	ARHGAP36	chrX	+	131058346	131089885	-0.0461	0.977		-0.914	0.598		1.01	0.49	
ENSG00000102078	SLC25A14	chrX	+	130339888	130373361	-0.00252	0.99	0.994	-0.194	0.32	0.491	-0.552	0.00519	0.193
ENSG00000085185	BCORL1	chrX	+	129981107	130058071	-0.578	0.00125	0.015	-0.408	0.0199	0.0927	-0.409	0.016	0.226
ENSG00000235189		chrX	-	129869064	129957528	-3.7	0.433		-3.61	0.435		-1.19	0.787	
ENSG00000188706	ZDHHC9	chrX	-	129803288	129843909	-0.249	0.0298	0.0937	-0.208	0.0639	0.176	-0.232	0.0335	0.273
ENSG00000198354	DCAF12L2	chrX	-	126163499	126166289	-0.908	0.668		1.5	0.433		0.923	0.636	
ENSG00000009694	TENM1	chrX	-	124375903	125204312	0.439	0.441	0.6	1.12	0.039		0.296	0.596	0.824
ENSG00000282419	TEX13D	chrX	+	124246249	124336863	-0.91	0.849		-1.88	0.687		0.591	0.894	
ENSG00000101966	XIAP	chrX	+	123859712	123913972	-0.289	0.00872	0.0421	-0.205	0.0574	0.165	-0.135	0.196	0.516
ENSG00000125676	THOC2	chrX	-	123600561	123733056	-0.355	0.00867	0.042	-0.378	0.00429	0.049	-0.145	0.257	0.577
ENSG00000125675	GRIA3	chrX	+	123184153	123490915	2.22	0.323		2.17	0.325		-0.101	0.965	
ENSG00000171155	C1GALT1C1	chrX	-	120625674	120630054	0.231	0.121	0.247	-0.000193	0.999	0.999	0.0491	0.731	0.891
ENSG00000158290	CUL4B	chrX	-	120505920	120604074	-0.0355	0.675	0.789	-0.0931	0.263	0.433	-0.0691	0.392	0.693
ENSG00000005893	LAMP2	chrX	-	120426148	120469365	-0.0315	0.652	0.772	-0.0802	0.242	0.41	-0.0917	0.168	0.485
ENSG00000125355	TMEM255A	chrX	-	120258650	120311556	-0.839	0.415		-0.348	0.723		-0.461	0.637	0.847
ENSG00000258545	RHOXF1-AS1	chrX	+	120036236	120146855	1.07	0.233	0.391	1.53	0.0769		1.56	0.0651	0.332
ENSG00000125352	RNF113A	chrX	-	119870475	119871733	-0.607	0.0392	0.113	-0.582	0.0436	0.141	-0.227	0.415	0.709
ENSG00000286366		chrX	+	119791971	119810949	0.317	0.774		0.371	0.733		1.23	0.219	0.539
ENSG00000125354	SEPTIN6	chrX	-	119615724	119693370	-0.00184	0.983	0.99	-0.0236	0.78	0.864	0.0198	0.809	0.924
ENSG00000018610	STEEP1	chrX	-	119538149	119565409	-0.546	1.16e-05	0.00212	-0.485	7.13e-05	0.016	-0.345	0.00347	0.181
ENSG00000077721	UBE2A	chrX	+	119474802	119591083	-0.426	0.00276	0.0216	-0.378	0.00658	0.0565	-0.265	0.0493	0.302
ENSG00000005022	SLC25A5	chrX	+	119468422	119471396	-0.227	0.0101	0.0462	-0.2	0.0205	0.0941	-0.244	0.00353	0.181
ENSG00000224281	SLC25A5-AS1	chrX	-	119465986	119469128	-0.0133	0.98	0.989	-0.632	0.26		-0.166	0.755	0.901
ENSG00000237903		chrX	+	119422917	119423547	1.08	0.622		0.792	0.72		0.632	0.773	
ENSG00000077713	SLC25A43	chrX	+	119399336	119454478	-0.118	0.592	0.728	0.131	0.542	0.69	0.127	0.543	0.792
ENSG00000175556	LONRF3	chrX	+	118974614	119018355	-0.79	0.125	0.254	-0.641	0.203	0.364	-0.635	0.195	0.516
ENSG00000235244	DANT2	chrX	-	115694880	115969148	-0.232	0.455	0.613	0.628	0.033	0.121	-0.188	0.524	0.781
ENSG00000102024	PLS3	chrX	+	115561174	115650861	-0.0355	0.684	0.795	-0.144	0.0918	0.22	-0.112	0.175	0.494
ENSG00000288595		chrX	+	114040388	114056276	0.467	0.787		-1.7	0.374		-1.2	0.495	
ENSG00000077279	DCX	chrX	-	111293779	111412429	0.023	0.977		0.588	0.428		-1.07	0.2	0.521
ENSG00000224142	AMMECR1-IT1	chrX	-	110305420	110307221	0.974	0.223	0.379	0.181	0.82		-0.295	0.704	0.878
ENSG00000157600	TMEM164	chrX	+	110002631	110182734	0.374	0.015	0.0593	0.302	0.0455	0.144	0.208	0.156	0.471
ENSG00000289365		chrX	+	109733479	109734864	-1.08	0.424		0.131	0.912		0.0507	0.965	0.987
ENSG00000068366	ACSL4	chrX	-	109624244	109733403	-0.473	0.0179	0.0668	-0.435	0.0262	0.107	-0.342	0.071	0.343
ENSG00000101890	GUCY2F	chrX	-	109372906	109482086	-1.02	0.344		-0.205	0.833		-1.16	0.259	0.579
ENSG00000237863	IRS4-AS1	chrX	+	108736011	108739223	1.02	0.585		2.3	0.176		-1.69	0.387	
ENSG00000197565	COL4A6	chrX	-	108155607	108439497	0.0754	0.579	0.717	-0.00547	0.967	0.981	-0.14	0.281	0.601
ENSG00000101844	ATG4A	chrX	+	108091668	108154671	-0.326	0.0473	0.128	-0.202	0.209	0.37	-0.136	0.384	0.687
ENSG00000080561	MID2	chrX	+	107825755	107931637	0.25	0.515	0.664	-0.193	0.622	0.751	0.0981	0.794	0.918
ENSG00000198088	NUP62CL	chrX	-	107123427	107206433	0.456	0.175	0.321	0.156	0.644	0.769	0.161	0.625	0.841
ENSG00000165376	CLDN2	chrX	+	106900164	106930861	-3.34	0.139		-2.5	0.256		-3.69	0.0829	
ENSG00000147223	RIPPLY1	chrX	-	106900063	106903341	-3.97	0.02		-2.04	0.194		-0.277	0.827	0.933
ENSG00000133131	MORC4	chrX	-	106813871	107000212	-0.894	0.000141	0.00588	-0.74	0.00129	0.0324	-0.625	0.00495	0.191
ENSG00000133138	TBC1D8B	chrX	+	106802673	106876150	0.188	0.283	0.445	0.0164	0.925	0.958	0.251	0.132	0.439
ENSG00000133135	RNF128	chrX	+	106693794	106797016	-0.278	0.0519	0.137	-0.314	0.0252	0.105	-0.274	0.0433	0.291
ENSG00000157502	PWWP3B	chrX	+	106168305	106208956	-0.203	0.128	0.257	-0.239	0.0669	0.181	-0.156	0.218	0.537
ENSG00000189108	IL1RAPL2	chrX	+	104566199	105767829	-0.797	0.0453	0.124	-1.07	0.00802	0.0613	-0.177	0.62	0.837
ENSG00000166707	ZCCHC18	chrX	+	104112131	104115842	1.55	0.387		2.18	0.21		1.72	0.326	
ENSG00000269226	TMSB15C	chrX	-	104063871	104076236	1.12	0.13	0.26	0.112	0.881		-0.091	0.902	0.964
ENSG00000231728	TMSB15B-AS1	chrX	-	103845151	103919548	1.48	0.156		1.66	0.102		0.901	0.384	0.687
ENSG00000172476	RAB40A	chrX	-	103499130	103519489	-0.51	0.674		-0.307	0.798		-0.0468	0.968	0.988
ENSG00000234405		chrX	+	103486461	103517919	0.547	0.445	0.604	0.671	0.336		1.16	0.0785	0.354
ENSG00000185222	TCEAL9	chrX	+	103356489	103358462	0.583	0.000129	0.00578	0.387	0.00972	0.0671	0.281	0.0533	0.31
ENSG00000182916	TCEAL7	chrX	+	103330229	103332326	1.53	0.00092	0.0132	0.811	0.0771	0.198	0.533	0.236	0.556
ENSG00000133134	BEX2	chrX	-	103309346	103311007	0.158	0.308	0.472	0.0924	0.547	0.694	0.0705	0.64	0.848
ENSG00000286846		chrX	+	102945971	102952039	0.455	0.297	0.46	0.345	0.421	0.588	0.469	0.257	0.577
ENSG00000286237		chrX	+	102712495	102753530	0.342	0.784	0.865	-0.997	0.424	0.59	0.905	0.441	0.727
ENSG00000158301	GPRASP2	chrX	+	102712445	102717733	0.346	0.0608	0.153	0.362	0.0459	0.145	0.227	0.203	0.523
ENSG00000125962	ARMCX5	chrX	+	102599168	102604159	0.0211	0.888	0.933	0.0169	0.909	0.948	0.125	0.381	0.685
ENSG00000184867	ARMCX2	chrX	-	101655281	101659850	0.0065	0.947	0.969	0.0669	0.489	0.646	0.0597	0.527	0.782
ENSG00000228275	ARMCX3-AS1	chrX	-	101622983	101624164	2.36	0.426		0.891	0.768		-0.0325	0.991	
ENSG00000102401	ARMCX3	chrX	+	101622797	101627843	-0.0411	0.552	0.694	-0.144	0.0341	0.123	-0.0805	0.224	0.544
ENSG00000010671	BTK	chrX	-	101349338	101390796	-0.548	0.0215	0.0753	-0.632	0.00693	0.0576	-0.323	0.151	0.465
ENSG00000102384	CENPI	chrX	+	101098188	101166126	0.739	0.00124	0.015	0.656	0.00349	0.0454	0.531	0.0151	0.223
ENSG00000204086	RPA4	chrX	+	96883908	96885467	-1.13	0.161	0.303	0.163	0.809		0.652	0.301	0.62
ENSG00000147202	DIAPH2	chrX	+	96684712	97604997	-0.508	0.0306	0.0954	-0.314	0.172	0.328	-0.105	0.635	0.846
ENSG00000286523		chrX	-	96127747	96372889	-0.961	0.842		-0.0143	0.998		-0.964	0.833	
ENSG00000186310	NAP1L3	chrX	-	93670930	93673578	0.368	0.382	0.544	0.308	0.462	0.623	0.329	0.426	0.717
ENSG00000289479		chrX	-	92100276	92104768	-0.615	0.22	0.376	-0.439	0.372	0.543	-0.591	0.226	0.546
ENSG00000184788	SATL1	chrX	-	85092284	85243911	2.39	0.192		1.6	0.4		-0.403	0.841	
ENSG00000072133	RPS6KA6	chrX	-	84058346	84206356	-0.423	0.00384	0.0259	-0.276	0.0536	0.158	-0.19	0.171	0.49
ENSG00000131171	SH3BGRL	chrX	+	81202102	81298547	-0.0575	0.642	0.765	-0.0618	0.611	0.744	0.00888	0.94	0.977
ENSG00000147255	IGSF1	chrX	-	131273506	131578899	-0.585	0.347	0.511	-1.02	0.112		-1.66	0.017	0.229
ENSG00000198157	HMGN5	chrX	-	81113699	81201913	0.197	0.411	0.574	-0.0185	0.938	0.966	0.27	0.238	0.558
ENSG00000165288	BRWD3	chrX	-	80669503	80809877	-0.163	0.197	0.348	-0.181	0.144	0.293	-0.181	0.131	0.439
ENSG00000122145	TBX22	chrX	+	80014753	80031774	-1.04	0.813		-1.13	0.793		-2.45	0.56	
ENSG00000078596	ITM2A	chrX	-	79360384	79367667	-0.418	0.0428	0.119	-0.361	0.0762	0.196	-0.399	0.0476	0.299
ENSG00000102158	MAGT1	chrX	-	77825747	77899271	-0.344	0.00117	0.0146	-0.273	0.00846	0.0629	-0.189	0.0602	0.324
ENSG00000198934	MAGEE1	chrX	+	76427710	76431342	0.457	0.115	0.239	0.599	0.0348	0.124	0.0578	0.841	0.939
ENSG00000102390	PBDC1	chrX	+	76173040	76178314	0.149	0.234	0.392	-0.00731	0.953	0.973	0.0941	0.435	0.722
ENSG00000094841	UPRT	chrX	+	75156388	75304885	0.000718	0.997	0.998	0.0516	0.756	0.848	0.0884	0.585	0.819
ENSG00000147100	SLC16A2	chrX	+	74421493	74533917	-0.287	0.278	0.441	-0.211	0.415	0.584	-0.173	0.491	0.761
ENSG00000225470	JPX	chrX	+	73944182	74070408	0.3	0.127	0.257	0.631	0.00103	0.031	0.344	0.0652	0.332
ENSG00000229807	XIST	chrX	-	73820649	73852723	-1.68	0.327		-1.1	0.485		-1.61	0.318	
ENSG00000186288	PABPC1L2A	chrX	-	73077276	73079512	-1.23	0.153	0.293	-0.712	0.385		-2.21	0.0153	0.224
ENSG00000269502	DMRTC1	chrX	-	72872025	72943837	-0.705	0.836		-0.592	0.859		-0.306	0.925	
ENSG00000269911	FAM226B	chrX	+	72777608	72779097	0.282	0.539	0.683	0.38	0.398	0.568	-0.296	0.529	0.783
ENSG00000147099	HDAC8	chrX	-	72329516	72573101	0.211	0.144	0.281	0.438	0.00189	0.0376	0.235	0.0878	0.37
ENSG00000198034	RPS4X	chrX	-	72255679	72277248	-0.209	0.0243	0.0817	-0.194	0.0327	0.12	-0.185	0.0353	0.276
ENSG00000186871	ERCC6L	chrX	-	72204657	72239027	0.35	0.0343	0.103	0.211	0.197	0.358	0.0959	0.55	0.796
ENSG00000102309	PIN4	chrX	+	72181353	72302926	0.159	0.283	0.446	0.06	0.684	0.798	-0.0463	0.752	0.899
ENSG00000204131	NHSL2	chrX	+	71910845	72161750	1.45	3.27e-05	0.00351	1.31	0.000142	0.0186	0.635	0.0607	0.325
ENSG00000215113	CXorf49B	chrX	+	71763349	71767204	0.584	0.807		1.55	0.495		0.796	0.727	
ENSG00000281852	LINC00891	chrX	+	71697196	71706455	-0.475	0.324	0.488	-0.625	0.198		0.193	0.663	0.86
ENSG00000283599		chrX	+	71667542	71671527	-0.801	0.757		-1.79	0.48		0.0339	0.989	
ENSG00000147133	TAF1	chrX	+	71366222	71532374	0.152	0.043	0.12	0.101	0.17	0.325	0.11	0.126	0.431
ENSG00000147140	NONO	chrX	+	71254814	71301522	0.0419	0.304	0.468	-0.0115	0.773	0.86	0.00444	0.909	0.967
ENSG00000196338	NLGN3	chrX	+	71144821	71175255	-0.773	0.0215	0.0751	-0.3	0.354	0.525	-0.148	0.635	0.846
ENSG00000184634	MED12	chrX	+	71118543	71144103	-0.159	0.0673	0.164	-0.0462	0.588	0.726	-0.0423	0.609	0.831
ENSG00000147168	IL2RG	chrX	-	71107404	71112108	-2.33	0.63		-2.28	0.631		-1.17	0.8	
ENSG00000184481	FOXO4	chrX	+	71095851	71103532	-0.502	0.00165	0.0169	-0.346	0.0268	0.109	-0.29	0.055	0.314
ENSG00000165349	SLC7A3	chrX	-	70925579	70931125	-0.562	0.0159	0.0617	-0.223	0.323	0.494	-0.122	0.578	0.814
ENSG00000120509	PDZD11	chrX	-	70281118	70290514	0.274	0.041	0.116	0.102	0.445	0.608	0.199	0.125	0.429
ENSG00000089289	IGBP1	chrX	+	70133447	70166324	-0.222	0.114	0.237	-0.261	0.0589	0.168	-0.156	0.243	0.562
ENSG00000158813	EDA	chrX	+	69616067	70039472	-0.828	0.00598	0.0333	-0.311	0.273	0.443	-0.369	0.188	0.508
ENSG00000181704	YIPF6	chrX	+	68498562	68537282	-0.18	0.0396	0.113	-0.189	0.0279	0.11	-0.0894	0.282	0.603
ENSG00000289038		chrX	-	68498309	68498989	-0.82	0.324	0.487	-0.239	0.757		-0.296	0.693	0.873
ENSG00000089472	HEPH	chrX	+	66162671	66268867	-0.0888	0.586	0.723	0.0707	0.658	0.779	-0.0159	0.918	0.97
ENSG00000274536	MIR223HG	chrX	+	66015414	66020426	0.573	0.631		0.0314	0.979		-0.197	0.868	0.951
ENSG00000198881	ASB12	chrX	-	64224194	64230607	0.326	0.832		-0.951	0.58		-1.57	0.371	
ENSG00000184675	AMER1	chrX	-	64185117	64205708	0.81	4.76e-05	0.00391	0.721	0.000238	0.0199	0.489	0.0109	0.211
ENSG00000186767	SPIN4	chrX	-	63347228	63351332	0.46	0.00883	0.0425	0.416	0.0157	0.0834	0.388	0.0202	0.237
ENSG00000235437	LINC01278	chrX	-	63222993	63561095	0.36	0.0148	0.0588	0.448	0.00196	0.0379	0.25	0.0769	0.352
ENSG00000198205	ZXDA	chrX	-	57905430	57910458	0.0129	0.959	0.977	0.00818	0.974	0.985	-0.0728	0.768	0.907
ENSG00000147059	SPIN2A	chrX	-	57134530	57137523	0.159	0.77	0.857	1.29	0.00994		0.626	0.215	0.535
ENSG00000186787	SPIN2B	chrX	-	57118551	57121548	-0.308	0.155	0.295	-0.432	0.0453	0.144	-0.0376	0.854	0.945
ENSG00000102349	KLF8	chrX	+	56232356	56291531	0.263	0.105	0.224	0.221	0.164	0.318	0.054	0.726	0.889
ENSG00000227486		chrX	+	55908123	56209271	0.538	0.19	0.341	0.00929	0.982	0.99	-0.0999	0.804	0.923
ENSG00000083750	RRAGB	chrX	+	55717749	55758774	0.339	0.099	0.215	0.454	0.0242	0.103	0.45	0.0227	0.246
ENSG00000247746	USP51	chrX	-	55484616	55489848	0.656	0.00684	0.0361	0.358	0.142	0.29	0.273	0.257	0.577
ENSG00000182518	FAM104B	chrX	-	55143102	55161310	0.0799	0.76	0.85	-0.034	0.896	0.94	0.233	0.352	0.663
ENSG00000130119	GNL3L	chrX	+	54530183	54621521	0.0987	0.405	0.567	0.161	0.166	0.32	0.136	0.226	0.545
ENSG00000196632	WNK3	chrX	-	54192823	54358642	0.185	0.132	0.263	0.158	0.193	0.352	0.307	0.00926	0.205
ENSG00000184083	FAM120C	chrX	-	54068324	54183281	0.665	0.00221	0.0195	0.419	0.0519	0.155	0.31	0.142	0.453
ENSG00000158423	RIBC1	chrX	+	53422690	53431120	-0.19	0.825		-1.05	0.252		-1.79	0.0756	
ENSG00000235262	KDM5C-IT1	chrX	-	53212408	53214679	-1.66	0.145		-1.41	0.199		-2.05	0.0705	
ENSG00000126012	KDM5C	chrX	-	53176283	53225422	-0.22	0.00726	0.0375	-0.168	0.0365	0.127	-0.1	0.196	0.516
ENSG00000232593	KANTR	chrX	+	53094142	53170914	0.0583	0.715	0.817	0.387	0.0129	0.0761	0.229	0.129	0.435
ENSG00000184205	TSPYL2	chrX	+	53082367	53088540	-0.69	0.00509	0.0304	-0.566	0.0188	0.0904	-0.382	0.101	0.393
ENSG00000179222	MAGED1	chrX	+	51803007	51902354	-0.162	0.032	0.0982	-0.118	0.112	0.251	-0.127	0.0773	0.352
ENSG00000189369	GSPT2	chrX	+	51743442	51746232	0.383	0.0297	0.0935	0.0318	0.856	0.913	0.204	0.228	0.549
ENSG00000223591	CENPVL1	chrX	+	51710512	51712131	-0.511	0.808		0.127	0.951		1.07	0.585	
ENSG00000283093	CENPVL2	chrX	-	51681212	51682831	1.54	0.452		1.63	0.411		-2.88	0.189	
ENSG00000224109	CENPVL3	chrX	-	51617020	51618912	1.25	0.0266	0.0869	0.286	0.625	0.754	0.753	0.177	0.495
