gene_ID	hgnc_symbol	chr	strand	start	end	PPARG_CE_log2FoldChange	PPARG_CE_pvalue	PPARG_CE_padj	PPARG_KO_log2FoldChange	PPARG_KO_pvalue	PPARG_KO_padj	PPARG_PTC_log2FoldChange	PPARG_PTC_pvalue	PPARG_PTC_padj
ENSG00000169057	MECP2	chrX	-	154021573	154137103	0.517	3.2e-05	0.000218	0.363	0.00388	0.0174	0.282	0.0234	0.0616
ENSG00000177854	TMEM187	chrX	+	153972754	153983194	-0.656	0.0378	0.0857	-0.15	0.615	0.755	-0.695	0.0268	0.0688
ENSG00000102032	RENBP	chrX	-	153935269	153944687	-0.479	0.61	0.723	-0.326	0.723	0.833	-1.11	0.264	0.41
ENSG00000089820	ARHGAP4	chrX	-	153907367	153934999	-0.487	0.163	0.273	-0.847	0.0178	0.0582	-1.09	0.00292	0.0109
ENSG00000198910	L1CAM	chrX	-	153861514	153886173	1.98	0.0041	0.0136	0.791	0.258	0.423	2.45	0.000371	0.00194
ENSG00000067840	PDZD4	chrX	-	153802166	153830565	0.697	0.559		-0.177	0.887		0.454	0.705	
ENSG00000180879	SSR4	chrX	+	153793516	153798499	-0.584	7.67e-06	6.28e-05	-0.298	0.0233	0.0715	-0.431	0.000904	0.00411
ENSG00000067829	IDH3G	chrX	-	153785766	153794512	-0.358	0.000156	0.000848	-0.228	0.0151	0.0512	-0.322	0.000595	0.00289
ENSG00000198753	PLXNB3	chrX	+	153764196	153779346	-0.547	0.512	0.64	-1.35	0.181	0.329	-1.03	0.254	0.398
ENSG00000185825	BCAP31	chrX	-	153700492	153724565	-0.704	1.98e-12	7.59e-11	-0.541	7.79e-08	1.53e-06	-0.583	4.63e-09	1.05e-07
ENSG00000130822	PNCK	chrX	-	153669733	153689010	-2.73	0.000139	0.000769	-2.67	0.000209	0.00159	-3.15	1.57e-05	0.000135
ENSG00000067842	ATP2B3	chrX	+	153517642	153582939	-1.85	2.67e-09	5.41e-08	-1.44	4.41e-06	5.54e-05	-1.95	2.98e-10	8.8e-09
ENSG00000214897	PNMA6E	chrX	-	153395639	153401392	-1.67	0.464		1.28	0.536		-0.731	0.74	
ENSG00000183837	PNMA3	chrX	+	153056409	153060467	0.571	0.587	0.705	1.39	0.156	0.296	1.14	0.252	0.396
ENSG00000147383	NSDHL	chrX	+	152830967	152869729	0.166	0.302	0.437	-0.0447	0.783	0.873	0.345	0.0308	0.0768
ENSG00000147400	CETN2	chrX	-	152826994	152830757	0.167	0.119	0.216	0.112	0.296	0.464	0.275	0.00941	0.0291
ENSG00000160131	VMA21	chrX	+	151396515	151409364	0.417	0.000483	0.00224	0.329	0.00639	0.0262	0.533	7.12e-06	6.85e-05
ENSG00000029993	HMGB3	chrX	+	150980509	150990771	-0.968	0.000577	0.00261	-0.729	0.0104	0.0384	-1.15	4.22e-05	0.00031
ENSG00000102181	CD99L2	chrX	-	150766336	150898816	-0.656	0.000711	0.00311	-0.602	0.00199	0.0102	-0.87	7.56e-06	7.21e-05
ENSG00000063601	MTMR1	chrX	+	150692971	150765108	0.25	0.000378	0.00182	0.149	0.0353	0.0984	0.225	0.00133	0.00568
ENSG00000013619	MAMLD1	chrX	+	150361422	150514178	-2.17	0.317		-2.8	0.204		-1.17	0.576	
ENSG00000269556	TMEM185A	chrX	-	149596556	149631912	0.0699	0.594	0.711	0.052	0.689	0.808	-0.000115	0.999	1
ENSG00000241769	EOLA1-DT	chrX	-	149527591	149540959	1.09	0.00128	0.00512	1.05	0.00206	0.0104	0.755	0.0282	0.0716
ENSG00000287796		chrX	+	147879361	147885249	-3.19	0.183		-0.71	0.755		-3.16	0.184	
ENSG00000277215	SPANXA2-OT1	chrX	+	141177284	141649927	0.37	0.821		1.32	0.419		-0.191	0.909	
ENSG00000182195	LDOC1	chrX	-	141111605	141177129	0.365	0.00257	0.00921	0.235	0.053	0.134	0.315	0.00909	0.0283
ENSG00000129682	FGF13	chrX	-	138614727	139222777	2.16	1.23e-17	1.08e-15	1.89	1.38e-13	8.21e-12	2.26	2.32e-19	3.2e-17
ENSG00000291054		chrX	+	136909369	137069407	0.856	0.091	0.174	0.772	0.131	0.261	0.336	0.522	0.661
ENSG00000233093	LINC00892	chrX	+	136639535	136642433	-1.51	0.289		-0.453	0.727	0.836	-2.12	0.168	
ENSG00000102243	VGLL1	chrX	+	136532215	136556807	-1.06	1.12e-26	3.09e-24	-0.948	2.05e-21	3.9e-19	-0.767	5.92e-15	4e-13
ENSG00000165359	INTS6L	chrX	+	135520659	135582510	0.271	0.255	0.384	0.37	0.122	0.247	-0.0537	0.823	0.888
ENSG00000178947	SMIM10L2A	chrX	+	135421944	135428075	-2.62	9.92e-05	0.000573	-2.85	1.12e-05	0.000126	-2.37	0.000137	0.000847
ENSG00000173275	ZNF449	chrX	+	135344796	135363413	0.529	0.00496	0.0159	0.397	0.037	0.102	0.299	0.113	0.216
ENSG00000169551	CT55	chrX	-	135156540	135171398	1.09	0.697		-0.347	0.903		0.00537	0.998	
ENSG00000203950	RTL8A	chrX	-	135050932	135052196	0.121	0.336	0.472	0.0809	0.521	0.68	0.168	0.178	0.306
ENSG00000184785	SMIM10	chrX	+	134990991	134992473	0.722	0.0785	0.154	0.236	0.579	0.726	0.869	0.0308	0.0769
ENSG00000101928	MOSPD1	chrX	-	134887632	134915257	-0.551	0.0485	0.105	-0.0173	0.951	0.973	-0.627	0.0244	0.0637
ENSG00000156504	PABIR2	chrX	-	134769566	134797232	0.254	0.0109	0.0309	0.0228	0.821	0.896	0.265	0.0076	0.0244
ENSG00000170965	PLAC1	chrX	-	134565838	134764322	-1.99	0.0206	0.0521	-1.79	0.0241	0.0735	-2.39	0.00919	0.0285
ENSG00000156531	PHF6	chrX	+	134373288	134428791	0.514	5.45e-06	4.68e-05	0.341	0.00283	0.0134	0.454	5.66e-05	0.000398
ENSG00000147257	GPC3	chrX	-	133535745	133987100	0.225	0.529	0.654	0.354	0.324	0.493	-0.985	0.00809	0.0257
ENSG00000076770	MBNL3	chrX	-	132369320	132489968	-0.502	0.000398	0.0019	-0.373	0.00933	0.0352	-0.314	0.0261	0.0672
ENSG00000134602	STK26	chrX	+	132023302	132075943	0.325	0.000433	0.00204	0.366	8.24e-05	0.000706	0.159	0.0839	0.171
ENSG00000213468	FIRRE	chrX	-	131688779	131830862	-0.851	0.000632	0.00281	-0.981	9.82e-05	0.000822	-1.16	3.41e-06	3.61e-05
ENSG00000286060		chrX	+	131578681	131611684	0.948	0.724		-1.12	0.687		1.49	0.569	
ENSG00000147256	ARHGAP36	chrX	+	131058346	131089885	0.55	0.654		0.744	0.54		0.849	0.479	
ENSG00000102078	SLC25A14	chrX	+	130339888	130373361	0.0694	0.709	0.8	0.184	0.314	0.483	0.275	0.13	0.24
ENSG00000085185	BCORL1	chrX	+	129981107	130058071	-0.778	3.71e-06	3.34e-05	-0.39	0.0217	0.0679	-0.692	3.62e-05	0.000273
ENSG00000235189		chrX	-	129869064	129957528	-2.16	0.629		-0.697	0.876		-1.31	0.769	
ENSG00000188706	ZDHHC9	chrX	-	129803288	129843909	-0.632	5.89e-09	1.09e-07	-0.643	3.81e-09	9.89e-08	-0.543	4.65e-07	6.42e-06
ENSG00000198354	DCAF12L2	chrX	-	126163499	126166289	0.572	0.744		0.589	0.739		1	0.553	
ENSG00000009694	TENM1	chrX	-	124375903	125204312	1.17	0.0122	0.0338	0.845	0.0754	0.173	1.09	0.0191	0.0521
ENSG00000282419	TEX13D	chrX	+	124246249	124336863	-0.965	0.831		-0.997	0.827		-0.96	0.831	
ENSG00000101966	XIAP	chrX	+	123859712	123913972	0.00405	0.969	0.983	0.231	0.0272	0.0802	0.0449	0.664	0.777
ENSG00000125676	THOC2	chrX	-	123600561	123733056	-0.492	0.000108	0.000616	-0.392	0.00229	0.0114	-0.459	0.000288	0.00157
ENSG00000125675	GRIA3	chrX	+	123184153	123490915	3.9	0.0524		2.29	0.284		0.00299	0.999	
ENSG00000171155	C1GALT1C1	chrX	-	120625674	120630054	0.215	0.133	0.234	0.106	0.462	0.631	0.325	0.0218	0.0581
ENSG00000158290	CUL4B	chrX	-	120505920	120604074	0.0968	0.22	0.343	0.106	0.181	0.329	0.0837	0.287	0.434
ENSG00000005893	LAMP2	chrX	-	120426148	120469365	-0.0639	0.329	0.466	-0.00385	0.953	0.975	0.0839	0.197	0.33
ENSG00000125355	TMEM255A	chrX	-	120258650	120311556	0.716	0.473	0.604	0.124	0.904	0.947	1.83	0.0479	0.11
ENSG00000258545	RHOXF1-AS1	chrX	+	120036236	120146855	1.17	0.0219	0.0548	1.64	0.00128	0.00715	-0.211	0.704	0.805
ENSG00000125352	RNF113A	chrX	-	119870475	119871733	-0.979	0.000421	0.00199	-0.635	0.0224	0.0696	-0.941	0.000652	0.00311
ENSG00000286366		chrX	+	119791971	119810949	-1.76	0.0661	0.134	-1.17	0.162	0.305	-2.22	0.0325	0.0802
ENSG00000125354	SEPTIN6	chrX	-	119615724	119693370	-0.218	0.00766	0.0229	-0.188	0.0216	0.0675	-0.243	0.0028	0.0106
ENSG00000018610	STEEP1	chrX	-	119538149	119565409	-1.06	1.58e-17	1.36e-15	-0.928	3.26e-14	2.18e-12	-0.887	3.16e-13	1.62e-11
ENSG00000077721	UBE2A	chrX	+	119474802	119591083	-1.43	2.58e-26	6.64e-24	-1.16	1.14e-17	1.34e-15	-1.33	2.95e-23	6.51e-21
ENSG00000005022	SLC25A5	chrX	+	119468422	119471396	-0.448	6.56e-08	9.46e-07	-0.448	8.49e-08	1.64e-06	-0.325	8.1e-05	0.000539
ENSG00000224281	SLC25A5-AS1	chrX	-	119465986	119469128	0.126	0.84	0.896	0.939	0.093	0.202	0.824	0.149	0.267
ENSG00000237903		chrX	+	119422917	119423547	1.6	0.45		-0.459	0.841		1.59	0.446	
ENSG00000077713	SLC25A43	chrX	+	119399336	119454478	-0.734	0.000441	0.00207	-0.556	0.00624	0.0257	-0.874	3.16e-05	0.000244
ENSG00000175556	LONRF3	chrX	+	118974614	119018355	-0.88	0.116	0.211	-0.651	0.228	0.387	-0.961	0.0862	0.174
ENSG00000235244	DANT2	chrX	-	115694880	115969148	1.41	8.13e-07	8.84e-06	0.91	0.00189	0.00978	0.852	0.00332	0.0121
ENSG00000102024	PLS3	chrX	+	115561174	115650861	0.0484	0.553	0.676	0.0627	0.447	0.618	0.173	0.0335	0.0822
ENSG00000288595		chrX	+	114040388	114056276	-3.56	0.0647		0.0457	0.978		-2.54	0.187	
ENSG00000077279	DCX	chrX	-	111293779	111412429	-0.0749	0.932	0.961	0.825	0.323	0.492	0.701	0.392	0.545
ENSG00000224142	AMMECR1-IT1	chrX	-	110305420	110307221	-0.23	0.798	0.865	0.561	0.528	0.686	-0.045	0.96	0.979
ENSG00000157600	TMEM164	chrX	+	110002631	110182734	-0.0625	0.665	0.766	-0.112	0.441	0.611	-0.185	0.198	0.332
ENSG00000289365		chrX	+	109733479	109734864	-2.77	0.0776		0.605	0.609	0.75	0.31	0.8	0.872
ENSG00000068366	ACSL4	chrX	-	109624244	109733403	-0.731	9.66e-05	0.000561	-0.608	0.00135	0.00747	-0.585	0.00172	0.00708
ENSG00000101890	GUCY2F	chrX	-	109372906	109482086	-2.85	0.0262	0.0635	-3.63	0.0106	0.0388	-2.21	0.0512	0.116
ENSG00000237863	IRS4-AS1	chrX	+	108736011	108739223	-0.0905	0.964		1.08	0.581		1.91	0.287	
ENSG00000197565	COL4A6	chrX	-	108155607	108439497	0.535	2.08e-05	0.000149	0.387	0.00236	0.0116	0.513	4.24e-05	0.000311
ENSG00000101844	ATG4A	chrX	+	108091668	108154671	0.171	0.263	0.394	0.369	0.015	0.051	0.251	0.0966	0.191
ENSG00000080561	MID2	chrX	+	107825755	107931637	0.582	0.0758	0.15	0.231	0.487	0.652	-0.435	0.211	0.348
ENSG00000198088	NUP62CL	chrX	-	107123427	107206433	0.782	0.0129	0.0354	0.387	0.234	0.394	0.457	0.154	0.275
ENSG00000165376	CLDN2	chrX	+	106900164	106930861	-1.01	0.609		-0.611	0.76		-0.841	0.667	
ENSG00000147223	RIPPLY1	chrX	-	106900063	106903341	0.0597	0.961	0.978	0.843	0.474		-1.42	0.303	0.452
ENSG00000133131	MORC4	chrX	-	106813871	107000212	-0.954	1.45e-05	0.000109	-0.403	0.0703	0.165	-0.778	0.00039	0.00202
ENSG00000133138	TBC1D8B	chrX	+	106802673	106876150	-0.386	0.0235	0.0579	-0.423	0.0126	0.0444	-0.0466	0.778	0.857
ENSG00000133135	RNF128	chrX	+	106693794	106797016	-1.55	3.84e-28	1.16e-25	-1.33	1.91e-21	3.66e-19	-1.36	9.22e-23	1.91e-20
ENSG00000157502	PWWP3B	chrX	+	106168305	106208956	-2.86	2.63e-89	1.33e-85	-2.89	1.96e-93	9.5e-90	-2.55	5.28e-76	1.79e-72
ENSG00000189108	IL1RAPL2	chrX	+	104566199	105767829	1.06	0.00472	0.0153	0.895	0.0186	0.06	0.811	0.0321	0.0793
ENSG00000166707	ZCCHC18	chrX	+	104112131	104115842	1.72	0.197		0.436	0.753		1.52	0.254	
ENSG00000269226	TMSB15C	chrX	-	104063871	104076236	0.0895	0.894	0.935	0.886	0.181	0.329	0.473	0.474	0.621
ENSG00000231728	TMSB15B-AS1	chrX	-	103845151	103919548	0.468	0.592	0.709	0.51	0.565	0.715	1	0.235	0.377
ENSG00000172476	RAB40A	chrX	-	103499130	103519489	2.27	0.0484	0.105	0.293	0.811	0.889	0.854	0.482	0.628
ENSG00000234405		chrX	+	103486461	103517919	2.77	0.000148	0.000813	2.04	0.00659	0.0267	2.27	0.00212	0.00842
ENSG00000185222	TCEAL9	chrX	+	103356489	103358462	0.996	2.54e-12	9.56e-11	0.946	4.78e-11	1.79e-09	1.2	2.38e-17	2.48e-15
ENSG00000182916	TCEAL7	chrX	+	103330229	103332326	2.83	3.28e-11	9.81e-10	2.23	2.44e-07	4.21e-06	3.14	1.55e-13	8.41e-12
ENSG00000133134	BEX2	chrX	-	103309346	103311007	0.482	0.000805	0.00344	0.487	0.00063	0.00397	0.818	4.9e-09	1.1e-07
ENSG00000286846		chrX	+	102945971	102952039	0.229	0.582	0.7	-0.129	0.765	0.86	0.0299	0.943	0.968
ENSG00000286237		chrX	+	102712495	102753530	-1.91	0.11	0.202	-1.32	0.263	0.427	0.364	0.75	0.838
ENSG00000158301	GPRASP2	chrX	+	102712445	102717733	0.39	0.0204	0.0515	0.245	0.148	0.285	0.35	0.0368	0.0886
ENSG00000125962	ARMCX5	chrX	+	102599168	102604159	0.295	0.037	0.084	0.206	0.145	0.281	0.403	0.00381	0.0136
ENSG00000184867	ARMCX2	chrX	-	101655281	101659850	0.526	3.77e-09	7.37e-08	0.411	4.57e-06	5.71e-05	0.446	5.35e-07	7.32e-06
ENSG00000228275	ARMCX3-AS1	chrX	-	101622983	101624164	-1.83	0.518		0.54	0.844		-0.877	0.757	
ENSG00000102401	ARMCX3	chrX	+	101622797	101627843	0.438	1.21e-11	3.95e-10	0.501	9.7e-15	7.05e-13	0.538	4.5e-17	4.46e-15
ENSG00000010671	BTK	chrX	-	101349338	101390796	-0.862	0.00017	0.000915	-0.467	0.0395	0.107	-0.634	0.00494	0.0171
ENSG00000102384	CENPI	chrX	+	101098188	101166126	0.853	5.73e-05	0.00036	0.449	0.0367	0.101	0.937	8.94e-06	8.34e-05
ENSG00000204086	RPA4	chrX	+	96883908	96885467	0.628	0.329	0.466	0.958	0.128	0.256	0.873	0.164	0.288
ENSG00000147202	DIAPH2	chrX	+	96684712	97604997	0.193	0.376	0.513	0.308	0.164	0.306	-0.173	0.428	0.579
ENSG00000286523		chrX	-	96127747	96372889	-0.434	0.921		-1.92	0.669		-0.994	0.821	
ENSG00000186310	NAP1L3	chrX	-	93670930	93673578	1.46	0.000116	0.000657	1.52	5.1e-05	0.000471	1.48	8.03e-05	0.000535
ENSG00000289479		chrX	-	92100276	92104768	-1.67	0.000901	0.00379	-1.66	0.000576	0.0037	-1.16	0.0133	0.0386
ENSG00000184788	SATL1	chrX	-	85092284	85243911	0.912	0.531		-0.283	0.853		1.78	0.2	
ENSG00000072133	RPS6KA6	chrX	-	84058346	84206356	-0.274	0.0458	0.1	-0.338	0.0141	0.0485	-0.387	0.00475	0.0165
ENSG00000131171	SH3BGRL	chrX	+	81202102	81298547	0.267	0.0205	0.0517	0.387	0.000795	0.00481	0.237	0.0393	0.0937
ENSG00000147255	IGSF1	chrX	-	131273506	131578899	-0.257	0.65	0.754	-0.0794	0.886	0.937	-1.55	0.0192	0.0524
ENSG00000198157	HMGN5	chrX	-	81113699	81201913	0.481	0.0463	0.101	0.44	0.0658	0.157	0.771	0.00107	0.00472
ENSG00000165288	BRWD3	chrX	-	80669503	80809877	0.0778	0.51	0.637	0.0623	0.601	0.744	-0.0296	0.802	0.873
ENSG00000122145	TBX22	chrX	+	80014753	80031774	-0.596	0.887		-1.1	0.795		0.28	0.946	
ENSG00000078596	ITM2A	chrX	-	79360384	79367667	0.0202	0.914	0.949	0.165	0.363	0.535	0.277	0.126	0.235
ENSG00000102158	MAGT1	chrX	-	77825747	77899271	-0.283	0.0046	0.015	-0.19	0.0598	0.147	-0.21	0.0346	0.0842
ENSG00000198934	MAGEE1	chrX	+	76427710	76431342	0.758	0.00527	0.0168	0.711	0.00882	0.0336	0.635	0.0195	0.053
ENSG00000102390	PBDC1	chrX	+	76173040	76178314	0.164	0.164	0.276	0.0945	0.423	0.595	0.247	0.0342	0.0836
ENSG00000094841	UPRT	chrX	+	75156388	75304885	0.167	0.304	0.439	0.275	0.0847	0.188	0.253	0.113	0.216
ENSG00000147100	SLC16A2	chrX	+	74421493	74533917	0.152	0.508	0.635	0.264	0.252	0.415	-0.444	0.0567	0.126
ENSG00000225470	JPX	chrX	+	73944182	74070408	0.74	6.06e-05	0.000378	0.537	0.00408	0.0181	0.329	0.0752	0.157
ENSG00000229807	XIST	chrX	-	73820649	73852723	2.24	0.193		2.83	0.0956		1.9	0.276	
ENSG00000186288	PABPC1L2A	chrX	-	73077276	73079512	-1.36	0.109	0.201	0.284	0.708	0.822	-1.9	0.0325	0.0802
ENSG00000269502	DMRTC1	chrX	-	72872025	72943837	-2.07	0.476		-1.21	0.673		-0.644	0.819	
ENSG00000269911	FAM226B	chrX	+	72777608	72779097	0.0411	0.92	0.953	0.164	0.684	0.804	0.262	0.511	0.652
ENSG00000147099	HDAC8	chrX	-	72329516	72573101	0.435	0.00131	0.00522	0.252	0.0666	0.159	0.17	0.21	0.346
ENSG00000198034	RPS4X	chrX	-	72255679	72277248	-0.246	0.00467	0.0152	-0.124	0.157	0.299	-0.233	0.00718	0.0233
ENSG00000186871	ERCC6L	chrX	-	72204657	72239027	0.487	0.00161	0.0062	0.52	0.00075	0.00458	0.729	1.63e-06	1.94e-05
ENSG00000102309	PIN4	chrX	+	72181353	72302926	0.441	0.00155	0.00601	0.46	0.000839	0.00503	0.45	0.00112	0.0049
ENSG00000204131	NHSL2	chrX	+	71910845	72161750	1.89	1.23e-09	2.67e-08	1.82	7.39e-09	1.79e-07	1.38	9.53e-06	8.79e-05
ENSG00000215113	CXorf49B	chrX	+	71763349	71767204	-0.891	0.694		1.25	0.556		1.48	0.481	
ENSG00000281852	LINC00891	chrX	+	71697196	71706455	0.92	0.062	0.128	0.256	0.616	0.755	0.431	0.398	0.55
ENSG00000283599		chrX	+	71667542	71671527	-1.87	0.441		1.02	0.654		0.993	0.657	
ENSG00000147133	TAF1	chrX	+	71366222	71532374	0.267	0.000163	0.000883	0.139	0.0511	0.131	0.223	0.00158	0.00658
ENSG00000147140	NONO	chrX	+	71254814	71301522	0.132	0.000515	0.00237	0.0588	0.125	0.252	0.122	0.00127	0.00547
ENSG00000196338	NLGN3	chrX	+	71144821	71175255	-0.416	0.196	0.315	-0.563	0.0831	0.186	-0.762	0.0198	0.0537
ENSG00000184634	MED12	chrX	+	71118543	71144103	-0.313	0.000138	0.000767	-0.37	7.8e-06	9.13e-05	-0.498	1.28e-09	3.32e-08
ENSG00000147168	IL2RG	chrX	-	71107404	71112108	1.03	0.823		1.63	0.724		0.00374	0.999	
ENSG00000184481	FOXO4	chrX	+	71095851	71103532	-1.3	5.2e-18	4.94e-16	-1.16	1.82e-14	1.29e-12	-1.21	6.04e-16	4.86e-14
ENSG00000165349	SLC7A3	chrX	-	70925579	70931125	-1.95	1.01e-15	6.6e-14	-1.97	1.45e-16	1.41e-14	-1.79	3.55e-14	2.15e-12
ENSG00000120509	PDZD11	chrX	-	70281118	70290514	0.255	0.0406	0.0908	0.217	0.082	0.184	0.367	0.0029	0.0109
ENSG00000089289	IGBP1	chrX	+	70133447	70166324	-0.205	0.119	0.215	-0.197	0.136	0.268	-0.398	0.00245	0.0095
ENSG00000158813	EDA	chrX	+	69616067	70039472	-0.224	0.431	0.567	-0.423	0.135	0.266	-0.337	0.237	0.379
ENSG00000181704	YIPF6	chrX	+	68498562	68537282	-0.356	1.86e-05	0.000136	-0.296	0.000398	0.00274	-0.283	0.000597	0.00289
ENSG00000289038		chrX	-	68498309	68498989	-0.317	0.714	0.804	0.419	0.603	0.745	0.263	0.745	0.835
ENSG00000089472	HEPH	chrX	+	66162671	66268867	0.56	0.000171	0.000921	0.507	0.000741	0.00454	0.0727	0.626	0.748
ENSG00000274536	MIR223HG	chrX	+	66015414	66020426	-4.05	0.00812		-2.18	0.127	0.255	-2.18	0.123	0.23
ENSG00000198881	ASB12	chrX	-	64224194	64230607	-0.08	0.951		-0.216	0.867		-0.487	0.715	
ENSG00000184675	AMER1	chrX	-	64185117	64205708	1.09	1.74e-09	3.66e-08	0.944	2.36e-07	4.08e-06	1.01	1.98e-08	3.85e-07
ENSG00000186767	SPIN4	chrX	-	63347228	63351332	1.06	1.19e-10	3.16e-09	0.784	2.51e-06	3.35e-05	1.17	8.18e-13	3.93e-11
ENSG00000235437	LINC01278	chrX	-	63222993	63561095	0.642	2e-06	1.95e-05	0.505	0.000218	0.00164	0.328	0.0155	0.0438
ENSG00000198205	ZXDA	chrX	-	57905430	57910458	0.396	0.0979	0.184	0.201	0.401	0.572	0.133	0.58	0.71
ENSG00000147059	SPIN2A	chrX	-	57134530	57137523	0.331	0.46	0.593	-0.406	0.394	0.565	0.157	0.728	0.822
ENSG00000186787	SPIN2B	chrX	-	57118551	57121548	0.269	0.187	0.304	0.0292	0.887	0.938	0.178	0.381	0.534
ENSG00000102349	KLF8	chrX	+	56232356	56291531	0.271	0.0733	0.146	0.102	0.504	0.666	0.251	0.0959	0.19
ENSG00000227486		chrX	+	55908123	56209271	1.22	0.000757	0.00328	0.754	0.0415	0.111	0.284	0.443	0.593
ENSG00000083750	RRAGB	chrX	+	55717749	55758774	0.395	0.0307	0.0723	0.218	0.236	0.397	0.162	0.378	0.531
ENSG00000247746	USP51	chrX	-	55484616	55489848	0.665	0.0018	0.00679	0.789	0.000183	0.0014	0.535	0.0119	0.0354
ENSG00000182518	FAM104B	chrX	-	55143102	55161310	0.372	0.126	0.225	0.11	0.654	0.783	0.375	0.12	0.226
ENSG00000130119	GNL3L	chrX	+	54530183	54621521	0.254	0.0229	0.0567	0.0838	0.458	0.628	0.329	0.00315	0.0116
ENSG00000196632	WNK3	chrX	-	54192823	54358642	0.643	5.24e-09	9.83e-08	0.406	0.000252	0.00186	0.445	5.73e-05	0.000403
