gene_ID	hgnc_symbol	chr	strand	start	end	EOMES_KO_log2FoldChange	EOMES_KO_pvalue	EOMES_KO_padj
ENSG00000182195	LDOC1	chrX	-	141111605	141177129	-0.0796	0.274	0.36
ENSG00000134595	SOX3	chrX	-	140502985	140505069	-1.15	0.207	0.283
ENSG00000129682	FGF13	chrX	-	138614727	139222777	-2.7	5.56e-292	4.06e-290
ENSG00000283692		chrX	+	137573752	137981780	-1.26	0.154	0.22
ENSG00000291054		chrX	+	136909369	137069407	-0.467	0.283	0.371
ENSG00000102239	BRS3	chrX	+	136487947	136493780	-2.5	0.334	
ENSG00000165359	INTS6L	chrX	+	135520659	135582510	1.05	2.04e-19	1.04e-18
ENSG00000178947	SMIM10L2A	chrX	+	135421944	135428075	-2.18	1.43e-70	1.92e-69
ENSG00000173275	ZNF449	chrX	+	135344796	135363413	-0.241	0.02	0.035
ENSG00000169551	CT55	chrX	-	135156540	135171398	1.37	0.443	0.536
ENSG00000203950	RTL8A	chrX	-	135050932	135052196	-0.221	0.00849	0.0158
ENSG00000184785	SMIM10	chrX	+	134990991	134992473	0.146	0.734	0.797
ENSG00000101928	MOSPD1	chrX	-	134887632	134915257	0.389	4.17e-05	0.000101
ENSG00000156504	PABIR2	chrX	-	134769566	134797232	-0.688	1.6e-14	6.76e-14
ENSG00000170965	PLAC1	chrX	-	134565838	134764322	2.79	0.0243	0.0419
ENSG00000156531	PHF6	chrX	+	134373288	134428791	0.536	1.77e-26	1.12e-25
ENSG00000147257	GPC3	chrX	-	133535745	133987100	2.46	6.87e-96	1.27e-94
ENSG00000076770	MBNL3	chrX	-	132369320	132489968	-1.76	3.47e-81	5.39e-80
ENSG00000134602	STK26	chrX	+	132023302	132075943	-1.11	1.7e-67	2.19e-66
ENSG00000213468	FIRRE	chrX	-	131688779	131830862	0.049	0.413	0.507
ENSG00000286060		chrX	+	131578681	131611684	-0.367	0.787	0.84
ENSG00000147256	ARHGAP36	chrX	+	131058346	131089885	5.12	0.00111	0.00232
ENSG00000102078	SLC25A14	chrX	+	130339888	130373361	0.447	0.00119	0.00247
ENSG00000085185	BCORL1	chrX	+	129981107	130058071	-0.423	3.12e-13	1.25e-12
ENSG00000188706	ZDHHC9	chrX	-	129803288	129843909	-0.2	0.00177	0.00361
ENSG00000198354	DCAF12L2	chrX	-	126163499	126166289	-0.63	0.00191	0.00389
ENSG00000009694	TENM1	chrX	-	124375903	125204312	3.36	5.73e-45	5.33e-44
ENSG00000101966	XIAP	chrX	+	123859712	123913972	-0.77	3.05e-46	2.89e-45
ENSG00000125676	THOC2	chrX	-	123600561	123733056	0.506	4.92e-14	2.04e-13
ENSG00000125675	GRIA3	chrX	+	123184153	123490915	3.99	2.99e-52	3.09e-51
ENSG00000171155	C1GALT1C1	chrX	-	120625674	120630054	-0.188	0.0636	0.101
ENSG00000158290	CUL4B	chrX	-	120505920	120604074	0.609	2.24e-25	1.37e-24
ENSG00000005893	LAMP2	chrX	-	120426148	120469365	0.708	4.45e-43	4.01e-42
ENSG00000125355	TMEM255A	chrX	-	120258650	120311556	-2.12	1.49e-11	5.47e-11
ENSG00000125352	RNF113A	chrX	-	119870475	119871733	0.00665	0.958	0.973
ENSG00000286366		chrX	+	119791971	119810949	0.302	0.67	0.743
ENSG00000125354	SEPTIN6	chrX	-	119615724	119693370	1.78	1.38e-155	4.16e-154
ENSG00000018610	STEEP1	chrX	-	119538149	119565409	0.24	0.0133	0.0241
ENSG00000077721	UBE2A	chrX	+	119474802	119591083	-0.393	1.25e-10	4.37e-10
ENSG00000005022	SLC25A5	chrX	+	119468422	119471396	-0.0211	0.656	0.732
ENSG00000224281	SLC25A5-AS1	chrX	-	119465986	119469128	-0.432	0.237	0.319
ENSG00000237903		chrX	+	119422917	119423547	-0.054	0.982	
ENSG00000077713	SLC25A43	chrX	+	119399336	119454478	-0.244	0.048	0.078
ENSG00000175556	LONRF3	chrX	+	118974614	119018355	2.36	3.36e-10	1.15e-09
ENSG00000235244	DANT2	chrX	-	115694880	115969148	-0.409	0.132	0.193
ENSG00000102024	PLS3	chrX	+	115561174	115650861	1.62	2.06e-149	5.95e-148
ENSG00000288595		chrX	+	114040388	114056276	-3.4	2.09e-05	5.21e-05
ENSG00000077279	DCX	chrX	-	111293779	111412429	3.12	2.52e-35	1.96e-34
ENSG00000133136	GNG5B	chrX	-	110346103	110440372	1.52	0.382	0.476
ENSG00000157600	TMEM164	chrX	+	110002631	110182734	1.01	2.18e-54	2.32e-53
ENSG00000289365		chrX	+	109733479	109734864	1.65	0.0639	0.101
ENSG00000068366	ACSL4	chrX	-	109624244	109733403	0.456	9.01e-10	3.01e-09
ENSG00000237863	IRS4-AS1	chrX	+	108736011	108739223	2.75	0.0283	0.0483
ENSG00000197565	COL4A6	chrX	-	108155607	108439497	0.594	1.01e-23	5.92e-23
ENSG00000101844	ATG4A	chrX	+	108091668	108154671	1.01	8.88e-12	3.29e-11
ENSG00000080561	MID2	chrX	+	107825755	107931637	-0.214	0.0462	0.0753
ENSG00000198088	NUP62CL	chrX	-	107123427	107206433	0.671	0.0363	0.0606
ENSG00000165376	CLDN2	chrX	+	106900164	106930861	0.848	0.169	0.238
ENSG00000147223	RIPPLY1	chrX	-	106900063	106903341	-6.89	5.64e-08	1.7e-07
ENSG00000133131	MORC4	chrX	-	106813871	107000212	1.86	3.06e-36	2.42e-35
ENSG00000133138	TBC1D8B	chrX	+	106802673	106876150	-0.0318	0.811	0.86
ENSG00000133135	RNF128	chrX	+	106693794	106797016	3.23	1.95e-06	5.28e-06
ENSG00000157502	PWWP3B	chrX	+	106168305	106208956	0.134	0.29	0.378
ENSG00000166707	ZCCHC18	chrX	+	104112131	104115842	-1.5	2.73e-09	8.87e-09
ENSG00000269226	TMSB15C	chrX	-	104063871	104076236	-1.58	1.75e-05	4.38e-05
ENSG00000231728	TMSB15B-AS1	chrX	-	103845151	103919548	0.505	0.361	0.454
ENSG00000172476	RAB40A	chrX	-	103499130	103519489	-2.23	0.00446	0.00866
ENSG00000234405		chrX	+	103486461	103517919	-3.25	5.44e-42	4.83e-41
ENSG00000185222	TCEAL9	chrX	+	103356489	103358462	-0.669	9.06e-31	6.42e-30
ENSG00000182916	TCEAL7	chrX	+	103330229	103332326	2.67	1.56e-122	3.7e-121
ENSG00000133134	BEX2	chrX	-	103309346	103311007	-0.631	7.48e-11	2.64e-10
ENSG00000147206	NXF3	chrX	-	103075810	103093143	5.75	6.64e-05	0.000158
ENSG00000286846		chrX	+	102945971	102952039	-0.0491	0.959	0.974
ENSG00000286237		chrX	+	102712495	102753530	-0.601	0.415	0.508
ENSG00000158301	GPRASP2	chrX	+	102712445	102717733	-0.755	4.37e-29	2.97e-28
ENSG00000125962	ARMCX5	chrX	+	102599168	102604159	-0.411	2.17e-06	5.85e-06
ENSG00000215029	TCP11X2	chrX	-	102456862	102471842	-0.494	0.339	0.431
ENSG00000269405	NXF2	chrX	+	102247167	102326722	-0.906	0.442	0.534
ENSG00000184905	TCEAL2	chrX	+	102125679	102140426	-0.734	2e-06	5.39e-06
ENSG00000184867	ARMCX2	chrX	-	101655281	101659850	0.19	0.000306	0.000681
ENSG00000102401	ARMCX3	chrX	+	101622797	101627843	0.723	1.44e-31	1.04e-30
ENSG00000290908		chrX	+	101598017	101598671	-5.29	0.0603	
ENSG00000010671	BTK	chrX	-	101349338	101390796	3.65	5.24e-80	7.97e-79
ENSG00000102384	CENPI	chrX	+	101098188	101166126	0.477	2.09e-08	6.44e-08
ENSG00000204086	RPA4	chrX	+	96883908	96885467	-3.72	0.00959	0.0177
ENSG00000147202	DIAPH2	chrX	+	96684712	97604997	-1.76	9.02e-101	1.75e-99
ENSG00000286523		chrX	-	96127747	96372889	-2.3	0.269	0.355
ENSG00000186310	NAP1L3	chrX	-	93670930	93673578	1.35	1.16e-37	9.43e-37
ENSG00000289479		chrX	-	92100276	92104768	-1.95	1.55e-05	3.9e-05
ENSG00000234161	PABPC5-AS1	chrX	-	91414878	91434999	2.25	0.0975	0.147
ENSG00000184788	SATL1	chrX	-	85092284	85243911	-1	0.0143	0.0256
ENSG00000072133	RPS6KA6	chrX	-	84058346	84206356	-0.869	4.11e-29	2.79e-28
ENSG00000196767	POU3F4	chrX	+	83508290	83512127	2.4	0.232	0.313
ENSG00000131171	SH3BGRL	chrX	+	81202102	81298547	1.18	4.17e-57	4.62e-56
ENSG00000147255	IGSF1	chrX	-	131273506	131578899	1.26	7.32e-10	2.46e-09
ENSG00000198157	HMGN5	chrX	-	81113699	81201913	0.899	4.08e-10	1.38e-09
ENSG00000165288	BRWD3	chrX	-	80669503	80809877	0.353	3.21e-11	1.16e-10
ENSG00000122145	TBX22	chrX	+	80014753	80031774	3.06	2.53e-20	1.33e-19
ENSG00000078596	ITM2A	chrX	-	79360384	79367667	-0.14	0.124	0.182
ENSG00000102158	MAGT1	chrX	-	77825747	77899271	-0.134	0.0174	0.0308
ENSG00000198934	MAGEE1	chrX	+	76427710	76431342	-1.13	1.92e-25	1.18e-24
ENSG00000102390	PBDC1	chrX	+	76173040	76178314	-0.134	0.0848	0.13
ENSG00000094841	UPRT	chrX	+	75156388	75304885	-0.16	0.0917	0.14
ENSG00000147100	SLC16A2	chrX	+	74421493	74533917	1.33	4.42e-50	4.41e-49
ENSG00000225470	JPX	chrX	+	73944182	74070408	-0.57	3.02e-15	1.32e-14
ENSG00000186288	PABPC1L2A	chrX	-	73077276	73079512	1.93	0.0537	0.0863
ENSG00000269502	DMRTC1	chrX	-	72872025	72943837	-0.565	0.569	0.654
ENSG00000269911	FAM226B	chrX	+	72777608	72779097	-0.903	0.00849	0.0158
ENSG00000147099	HDAC8	chrX	-	72329516	72573101	0.492	7.06e-08	2.11e-07
ENSG00000198034	RPS4X	chrX	-	72255679	72277248	0.0394	0.341	0.433
ENSG00000186871	ERCC6L	chrX	-	72204657	72239027	0.0448	0.561	0.646
ENSG00000102309	PIN4	chrX	+	72181353	72302926	0.22	0.0126	0.0228
ENSG00000204131	NHSL2	chrX	+	71910845	72161750	2.54	1.25e-125	3.04e-124
ENSG00000215113	CXorf49B	chrX	+	71763349	71767204	-5.94	0.0438	
ENSG00000290713		chrX	+	71719925	71720800	-4.45	0.00355	0.00697
ENSG00000281852	LINC00891	chrX	+	71697196	71706455	-0.38	0.471	0.563
ENSG00000147133	TAF1	chrX	+	71366222	71532374	0.147	0.0103	0.0189
ENSG00000147140	NONO	chrX	+	71254814	71301522	0.28	1.28e-11	4.72e-11
ENSG00000196338	NLGN3	chrX	+	71144821	71175255	0.0261	0.894	0.924
ENSG00000184634	MED12	chrX	+	71118543	71144103	0.64	5.31e-30	3.7e-29
ENSG00000184481	FOXO4	chrX	+	71095851	71103532	0.49	3.79e-06	1e-05
ENSG00000165349	SLC7A3	chrX	-	70925579	70931125	-3.85	0	0
ENSG00000120509	PDZD11	chrX	-	70281118	70290514	-0.0419	0.624	0.705
ENSG00000089289	IGBP1	chrX	+	70133447	70166324	-0.234	0.000561	0.00121
ENSG00000189401	OTUD6A	chrX	+	70062457	70064179	-2.5	0.338	
ENSG00000286077		chrX	-	70037840	70039325	-4.35	0.00426	0.00829
ENSG00000158813	EDA	chrX	+	69616067	70039472	-5.47	0	0
ENSG00000181704	YIPF6	chrX	+	68498562	68537282	-0.216	0.000258	0.00058
ENSG00000289038		chrX	-	68498309	68498989	-0.72	0.433	0.526
ENSG00000089472	HEPH	chrX	+	66162671	66268867	1.1	5.03e-81	7.77e-80
ENSG00000198881	ASB12	chrX	-	64224194	64230607	1.01	0.275	0.361
ENSG00000184675	AMER1	chrX	-	64185117	64205708	-0.244	0.000759	0.00162
ENSG00000186767	SPIN4	chrX	-	63347228	63351332	4.05	0	0
ENSG00000235437	LINC01278	chrX	-	63222993	63561095	0.728	4.15e-20	2.17e-19
ENSG00000198205	ZXDA	chrX	-	57905430	57910458	-0.854	2.38e-09	7.76e-09
ENSG00000147059	SPIN2A	chrX	-	57134530	57137523	0.605	0.168	0.237
ENSG00000186787	SPIN2B	chrX	-	57118551	57121548	0.229	0.145	0.209
ENSG00000102349	KLF8	chrX	+	56232356	56291531	-3.47	5.54e-69	7.34e-68
ENSG00000227486		chrX	+	55908123	56209271	-1.34	2.09e-18	1.03e-17
ENSG00000083750	RRAGB	chrX	+	55717749	55758774	-0.0756	0.44	0.533
ENSG00000247746	USP51	chrX	-	55484616	55489848	-1.41	2.03e-96	3.77e-95
ENSG00000182518	FAM104B	chrX	-	55143102	55161310	-1.27	6.73e-42	5.95e-41
ENSG00000130119	GNL3L	chrX	+	54530183	54621521	0.907	1.24e-58	1.4e-57
ENSG00000196632	WNK3	chrX	-	54192823	54358642	-0.762	1.88e-41	1.65e-40
ENSG00000184083	FAM120C	chrX	-	54068324	54183281	0.725	5.35e-09	1.71e-08
ENSG00000158423	RIBC1	chrX	+	53422690	53431120	-1.71	4.58e-09	1.47e-08
ENSG00000235262	KDM5C-IT1	chrX	-	53212408	53214679	-3.92	0.0336	0.0564
ENSG00000126012	KDM5C	chrX	-	53176283	53225422	0.0941	0.057	0.0912
ENSG00000232593	KANTR	chrX	+	53094142	53170914	0.00468	0.973	0.983
ENSG00000184205	TSPYL2	chrX	+	53082367	53088540	-0.54	3.15e-08	9.62e-08
ENSG00000179222	MAGED1	chrX	+	51803007	51902354	0.0832	0.119	0.175
ENSG00000189369	GSPT2	chrX	+	51743442	51746232	0.0808	0.237	0.319
ENSG00000223591	CENPVL1	chrX	+	51710512	51712131	0.6	0.873	
ENSG00000283093	CENPVL2	chrX	-	51681212	51682831	0.425	0.888	0.92
ENSG00000224109	CENPVL3	chrX	-	51617020	51618912	0.341	0.0583	0.0932
ENSG00000226530		chrX	+	51395915	51465839	-2.4	3.92e-17	1.84e-16
ENSG00000230317	LINC01284	chrX	-	51095836	51224432	-2.29	0.0218	0.038
ENSG00000158352	SHROOM4	chrX	-	50586796	50814302	-0.579	4.33e-19	2.18e-18
ENSG00000274588	DGKK	chrX	-	50365409	50470825	1.61	6.65e-24	3.93e-23
ENSG00000270012		chrX	+	49273054	49275768	-0.143	0.628	0.708
ENSG00000286181		chrX	-	49262866	49270521	-0.828	0.104	0.156
ENSG00000012211	PRICKLE3	chrX	-	49174802	49186528	-0.639	1e-05	2.57e-05
ENSG00000269313	MAGIX	chrX	+	49162564	49168774	0.615	0.349	0.441
ENSG00000243279	PRAF2	chrX	-	49071161	49074002	1.09	6.04e-26	3.77e-25
ENSG00000068400	GRIPAP1	chrX	-	48973720	49002265	-0.291	9.38e-06	2.41e-05
ENSG00000102100	SLC35A2	chrX	-	48903180	48911958	-0.0176	0.851	0.891
ENSG00000187682	ERAS	chrX	+	48826513	48830138	-0.208	0.901	0.93
ENSG00000094631	HDAC6	chrX	+	48801377	48824982	0.639	8.32e-24	4.89e-23
ENSG00000015285	WAS	chrX	+	48676596	48691431	-0.752	0.3	0.389
ENSG00000102317	RBM3	chrX	+	48574449	48581162	0.445	3.96e-16	1.78e-15
ENSG00000147155	EBP	chrX	+	48521799	48528716	-0.88	4.62e-31	3.3e-30
ENSG00000102312	PORCN	chrX	+	48508959	48520814	-2.08	3.26e-104	6.57e-103
ENSG00000268009	SSX4	chrX	+	48383516	48393347	-9.35	5.12e-15	2.21e-14
ENSG00000290734		chrX	+	48117084	48120210	-4.7	0.00188	0.00383
ENSG00000287757		chrX	+	48071223	48078721	-0.282	0.525	0.613
ENSG00000277541	ZNF630-AS1	chrX	+	48056310	48066583	2.15	0.292	0.38
ENSG00000197779	ZNF81	chrX	+	47836902	48002561	-0.00903	0.913	0.939
ENSG00000267064	UXT-AS1	chrX	+	47658833	47692326	-0.11	0.83	0.875
ENSG00000126756	UXT	chrX	-	47651796	47659180	0.214	0.00464	0.00899
ENSG00000078061	ARAF	chrX	+	47561205	47571908	-0.00181	0.979	0.986
ENSG00000289890		chrX	-	47555936	47561382	-0.0629	0.953	0.97
ENSG00000196741	LINC01560	chrX	+	47483571	47484823	-0.172	0.59	0.673
ENSG00000147124	ZNF41	chrX	-	47445178	47483222	1.66	2.49e-50	2.5e-49
ENSG00000102226	USP11	chrX	+	47232866	47248328	0.0774	0.0964	0.146
ENSG00000147123	NDUFB11	chrX	-	47142071	47145466	0.0331	0.568	0.653
ENSG00000130988	RGN	chrX	+	47078355	47093314	-0.493	0.0108	0.0197
ENSG00000102221	JADE3	chrX	+	46912276	47061242	-0.0754	0.239	0.322
ENSG00000204904	LINC01545	chrX	-	46887417	46899703	-0.0393	0.954	0.97
ENSG00000065923	SLC9A7	chrX	-	46599251	46759118	-1.8	1.01e-100	1.95e-99
ENSG00000251192	ZNF674	chrX	-	46497725	46545457	0.456	0.00461	0.00893
ENSG00000236751	LINC01186	chrX	-	46256759	46327680	-4.51	0.00335	0.00661
ENSG00000270069	MIR222HG	chrX	-	45745210	45770274	-0.55	0.517	0.606
ENSG00000126950	TMEM35A	chrX	+	101078879	101096367	2.78	8.81e-16	3.91e-15
ENSG00000223486	LINC03053	chrX	+	40009276	40012182	0.274	0.703	0.771
ENSG00000238123	MID1IP1-AS1	chrX	-	38801568	38803883	0.8	0.651	0.728
ENSG00000156313	RPGR	chrX	-	38269163	38327544	-0.0281	0.828	0.873
ENSG00000165168	CYBB	chrX	+	37780018	37813461	3.76	0.0432	0.0711
ENSG00000147036	LANCL3	chrX	+	37571569	37684463	5.4	7.15e-05	0.00017
ENSG00000130962	PRRG1	chrX	+	37349309	37457292	2.01	1.92e-65	2.39e-64
ENSG00000174016	TENT5D	chrX	+	80335504	80445311	0.862	0.26	0.345
ENSG00000165164	CFAP47	chrX	+	35919734	36385317	-1.38	0.00444	0.00863
ENSG00000189023	MAGEB16	chrX	+	35798342	35803772	-1.01	0.708	
ENSG00000233928		chrX	+	33726337	34346527	-3.17	3.43e-06	9.11e-06
ENSG00000287700		chrX	-	33718958	33726957	-4.41	0.00173	0.00354
ENSG00000198947	DMD	chrX	-	31097677	33339609	-1.34	1.11e-37	9.04e-37
ENSG00000198814	GK	chrX	+	30653359	30731462	-0.188	0.3	0.389
ENSG00000169297	NR0B1	chrX	-	30304206	30309390	-5.71	8.78e-39	7.3e-38
ENSG00000198798	MAGEB3	chrX	+	30230657	30237495	-2.29	0.0483	0.0785
ENSG00000004848	ARX	chrX	-	25003694	25016420	-6.9	3.82e-08	1.16e-07
ENSG00000101868	POLA1	chrX	+	24693873	24996986	1.05	1.67e-48	1.63e-47
ENSG00000289472		chrX	+	24168659	24169609	-0.229	0.842	0.885
ENSG00000174010	KLHL15	chrX	-	23983716	24027186	-0.123	0.149	0.213
ENSG00000184831	APOO	chrX	-	23833353	23907938	-0.468	3.09e-06	8.23e-06
ENSG00000123130	ACOT9	chrX	-	23701055	23766475	0.144	0.0619	0.0983
ENSG00000123131	PRDX4	chrX	+	23664262	23686397	0.371	1.63e-10	5.66e-10
ENSG00000165186	PTCHD1	chrX	+	23334849	23404374	1.09	5.89e-07	1.66e-06
ENSG00000102174	PHEX	chrX	+	22032325	22494713	-0.61	0.406	0.5
ENSG00000288832		chrX	-	21652655	21654301	-0.143	0.944	0.963
ENSG00000149970	CNKSR2	chrX	+	21372801	21654695	0.608	0.000341	0.000755
ENSG00000184368	MAP7D2	chrX	-	20006713	20116907	-0.393	0.221	0.301
ENSG00000147010	SH3KBP1	chrX	-	19533977	19887600	0.381	4.5e-07	1.28e-06
ENSG00000180815	MAP3K15	chrX	-	19360056	19515508	-0.163	0.498	0.588
ENSG00000173698	ADGRG2	chrX	-	18989307	19122637	-4.59	7.45e-65	9.18e-64
ENSG00000044446	PHKA2	chrX	-	18892298	18984114	0.219	0.0118	0.0215
ENSG00000237836	PHKA2-AS1	chrX	+	18890296	18894974	0.00809	0.996	0.997
ENSG00000086717	PPEF1	chrX	+	18675909	18827921	1.28	0.024	0.0415
ENSG00000008086	CDKL5	chrX	+	18425583	18653629	-0.36	1.23e-09	4.08e-09
ENSG00000102098	SCML2	chrX	-	18239313	18354688	-0.294	8.63e-05	0.000203
ENSG00000225882	LINC01456	chrX	-	17970197	18104644	0.147	0.899	0.928
ENSG00000047634	SCML1	chrX	+	17737449	17754988	1.71	2.38e-09	7.76e-09
ENSG00000235834		chrX	+	17528435	17587160	1.58	0.436	0.529
ENSG00000169891	REPS2	chrX	+	16946658	17153272	-0.174	0.0988	0.149
ENSG00000238178		chrX	-	16152941	16170869	-5.99	1.23e-71	1.68e-70
ENSG00000126010	GRPR	chrX	+	16123565	16153518	-2.26	7.12e-104	1.43e-102
ENSG00000182287	AP1S2	chrX	-	15825806	15854931	-0.362	7.04e-08	2.1e-07
ENSG00000147003	CLTRN	chrX	-	15627318	15675012	-1.09	5.33e-05	0.000128
ENSG00000130234	ACE2	chrX	-	15494566	15607236	-0.335	0.0772	0.12
ENSG00000087842	PIR	chrX	-	15384799	15493564	0.402	0.000797	0.00169
ENSG00000046647	GEMIN8	chrX	-	14006726	14029893	-0.285	0.012	0.0219
ENSG00000289449		chrX	+	13773311	13773935	0.563	0.71	0.776
ENSG00000123595	RAB9A	chrX	+	13689128	13710504	-1.16	3.09e-38	2.54e-37
ENSG00000176896	TCEANC	chrX	+	13653112	13681964	-0.669	0.000426	0.000931
ENSG00000233338	TLR8-AS1	chrX	-	12902817	12908333	-6.17	2.03e-06	5.49e-06
ENSG00000101911	PRPS2	chrX	+	12791355	12824222	1.31	2.02e-32	1.48e-31
ENSG00000047648	ARHGAP6	chrX	-	11117651	11665920	8.27	1.49e-15	6.57e-15
ENSG00000101871	MID1	chrX	-	10445310	10833654	3.18	2.62e-93	4.69e-92
ENSG00000101850	GPR143	chrX	-	9725346	9786297	0.395	0.00128	0.00266
ENSG00000101849	TBL1X	chrX	+	9463320	9741037	0.062	0.423	0.516
ENSG00000287171		chrX	-	8487165	8504564	-3.72	0.0337	
ENSG00000101846	STS	chrX	+	7147237	7804358	0.0722	0.537	0.624
ENSG00000006756	ARSD	chrX	-	2903972	2929349	0.946	2.35e-13	9.44e-13
ENSG00000198695	MT-ND6	chrM	-	14149	14673	-0.242	0.0703	0.11
ENSG00000198938	MT-CO3	chrM	+	9207	9990	0.493	4.51e-34	3.43e-33
ENSG00000228253	MT-ATP8	chrM	+	8366	8572	0.227	0.00771	0.0145
ENSG00000198804	MT-CO1	chrM	+	5904	7445	0.104	0.0149	0.0267
ENSG00000198763	MT-ND2	chrM	+	4470	5511	0.0434	0.373	0.466
ENSG00000290585		chr9	+	138217068	138252994	0.94	0.527	0.615
ENSG00000290588		chr9	+	138150075	138177433	-0.408	0.041	0.0676
ENSG00000148408	CACNA1B	chr9	+	137877782	138124624	-0.599	2.21e-07	6.39e-07
ENSG00000165724	ZMYND19	chr9	-	137582081	137590512	-0.242	0.00571	0.0109
ENSG00000148399	DPH7	chr9	-	137554444	137578925	0.327	0.00547	0.0105
ENSG00000165802	NSMF	chr9	-	137447570	137459334	0.567	4.46e-18	2.17e-17
ENSG00000187609	EXD3	chr9	-	137306896	137423211	-0.343	0.0726	0.113
ENSG00000188986	NELFB	chr9	+	137255327	137273542	-0.242	8.81e-06	2.27e-05
ENSG00000188163	FAM166A	chr9	-	137243584	137247770	-0.619	0.669	0.742
ENSG00000050030	NEXMIF	chrX	-	74732856	74925472	-5.05	6.87e-88	1.15e-86
ENSG00000212864	RNF208	chr9	-	137220247	137222240	-1.88	2.39e-26	1.51e-25
ENSG00000284976		chr9	+	137217494	137219361	-9.25	1.99e-14	8.4e-14
ENSG00000188566	NDOR1	chr9	+	137205685	137219361	0.202	0.0457	0.0747
ENSG00000187713	TMEM203	chr9	-	137204082	137205648	-0.346	2.52e-05	6.24e-05
ENSG00000177239	MAN1B1	chr9	+	137086857	137109189	0.737	3.37e-28	2.24e-27
ENSG00000197355	UAP1L1	chr9	+	137077517	137084539	3.8	1.15e-29	7.93e-29
ENSG00000186193	SAPCD2	chr9	-	137062127	137070557	0.143	0.143	0.206
