gene_ID	hgnc_symbol	chr	strand	start	end	PAX6_CE_log2FoldChange	PAX6_CE_pvalue	PAX6_CE_padj	PAX6_KO_log2FoldChange	PAX6_KO_pvalue	PAX6_KO_padj	PAX6_PTC_log2FoldChange	PAX6_PTC_pvalue	PAX6_PTC_padj
ENSG00000130827	PLXNA3	chrX	+	154458281	154477779	0.131	0.53	1	0.145	0.485	1	0.26	0.211	1
ENSG00000071859	FAM50A	chrX	+	154444141	154450654	0.0566	0.765	1	0.0609	0.748	1	0.0303	0.873	1
ENSG00000013563	DNASE1L1	chrX	-	154401236	154412112	0.224	0.242	1	0.148	0.442	1	0.214	0.264	1
ENSG00000280195		chrX	-	154396878	154398842	-0.203	0.674	1	-0.09	0.852	1	-0.435	0.37	1
ENSG00000007350	TKTL1	chrX	+	154295795	154330350	0.311	0.88	1	1.28	0.528	1	-2.62	0.25	
ENSG00000169057	MECP2	chrX	-	154021573	154137103	-0.144	0.245	1	-0.00882	0.943	1	-0.0333	0.788	1
ENSG00000177854	TMEM187	chrX	+	153972754	153983194	0.148	0.72	1	0.609	0.137	1	0.537	0.189	1
ENSG00000102032	RENBP	chrX	-	153935269	153944687	0.217	0.518	1	0.265	0.431	1	0.516	0.123	1
ENSG00000089820	ARHGAP4	chrX	-	153907367	153934999	0.221	0.275	1	0.235	0.246	1	0.309	0.126	1
ENSG00000198910	L1CAM	chrX	-	153861514	153886173	0.0384	0.834	1	0.15	0.414	1	0.0849	0.643	1
ENSG00000067840	PDZD4	chrX	-	153802166	153830565	0.285	0.269	1	0.456	0.0766	1	0.195	0.45	1
ENSG00000180879	SSR4	chrX	+	153793516	153798499	0.322	0.0965	1	0.349	0.0718	1	0.26	0.179	1
ENSG00000067829	IDH3G	chrX	-	153785766	153794512	0.274	0.131	1	0.338	0.0628	1	0.26	0.153	1
ENSG00000198753	PLXNB3	chrX	+	153764196	153779346	0.378	0.658	1	0.68	0.426	1	-0.488	0.577	1
ENSG00000185825	BCAP31	chrX	-	153700492	153724565	0.068	0.696	1	0.122	0.483	1	-0.0735	0.673	1
ENSG00000130822	PNCK	chrX	-	153669733	153689010	0.219	0.47	1	-0.118	0.698	1	0.142	0.64	1
ENSG00000067842	ATP2B3	chrX	+	153517642	153582939	0.653	0.309	1	0.291	0.656	1	0.8	0.21	1
ENSG00000183837	PNMA3	chrX	+	153056409	153060467	0.359	0.131	1	0.605	0.0109	1	0.381	0.108	1
ENSG00000147383	NSDHL	chrX	+	152830967	152869729	0.0526	0.754	1	0.0754	0.654	1	0.0216	0.897	1
ENSG00000147400	CETN2	chrX	-	152826994	152830757	0.0517	0.791	1	0.0988	0.612	1	-0.11	0.571	1
ENSG00000268916	CSAG3	chrX	+	152753921	152760222	0.825	0.795		0.0431	0.989		1.72	0.581	1
ENSG00000160131	VMA21	chrX	+	151396515	151409364	0.0469	0.774	1	0.0516	0.752	1	-0.0326	0.842	1
ENSG00000234696	GPR50-AS1	chrX	-	151175192	151177836	-0.733	0.738	1	1.93	0.331	1	-0.171	0.935	1
ENSG00000029993	HMGB3	chrX	+	150980509	150990771	-0.155	0.227	1	-0.0942	0.462	1	-0.258	0.0438	1
ENSG00000102181	CD99L2	chrX	-	150766336	150898816	0.175	0.255	1	0.436	0.00459	1	0.153	0.321	1
ENSG00000063601	MTMR1	chrX	+	150692971	150765108	-0.113	0.314	1	-0.166	0.138	1	-0.121	0.277	1
ENSG00000013619	MAMLD1	chrX	+	150361422	150514178	0.239	0.84	1	-1.43	0.232	1	1.34	0.259	1
ENSG00000269556	TMEM185A	chrX	-	149596556	149631912	0.0592	0.726	1	-0.0184	0.913	1	-0.0137	0.935	1
ENSG00000241769	EOLA1-DT	chrX	-	149527591	149540959	0.0929	0.822	1	0.0428	0.918	1	-0.0119	0.977	1
ENSG00000277215	SPANXA2-OT1	chrX	+	141177284	141649927	-0.573	0.283	1	-1.03	0.0643	1	-0.272	0.605	1
ENSG00000182195	LDOC1	chrX	-	141111605	141177129	0.113	0.52	1	0.0156	0.929	1	0.104	0.554	1
ENSG00000134595	SOX3	chrX	-	140502985	140505069	0.0789	0.784	1	-0.434	0.135	1	0.345	0.231	1
ENSG00000129682	FGF13	chrX	-	138614727	139222777	0.0647	0.734	1	0.113	0.552	1	-0.0398	0.835	1
ENSG00000283692		chrX	+	137573752	137981780	-1.34	0.215	1	-1.08	0.316	1	-0.538	0.608	1
ENSG00000291054		chrX	+	136909369	137069407	0.0958	0.796	1	0.167	0.653	1	-0.00657	0.986	1
ENSG00000165359	INTS6L	chrX	+	135520659	135582510	-0.0372	0.837	1	-0.121	0.503	1	-0.111	0.54	1
ENSG00000178947	SMIM10L2A	chrX	+	135421944	135428075	-0.0572	0.927	1	-0.513	0.414	1	0.523	0.404	1
ENSG00000173275	ZNF449	chrX	+	135344796	135363413	-0.0778	0.691	1	-0.102	0.604	1	0.0179	0.927	1
ENSG00000169551	CT55	chrX	-	135156540	135171398	0.255	0.922	1	1.61	0.523	1	2.02	0.421	1
ENSG00000203950	RTL8A	chrX	-	135050932	135052196	0.174	0.442	1	0.241	0.288	1	0.306	0.175	1
ENSG00000184785	SMIM10	chrX	+	134990991	134992473	-0.162	0.797	1	-0.526	0.409	1	-0.112	0.858	1
ENSG00000101928	MOSPD1	chrX	-	134887632	134915257	-0.0271	0.885	1	-0.126	0.503	1	-0.0759	0.686	1
ENSG00000156504	PABIR2	chrX	-	134769566	134797232	0.0278	0.845	1	0.0388	0.785	1	-0.0415	0.77	1
ENSG00000170965	PLAC1	chrX	-	134565838	134764322	-0.126	0.867	1	-0.0308	0.967	1	-0.133	0.859	1
ENSG00000156531	PHF6	chrX	+	134373288	134428791	-0.075	0.678	1	-0.138	0.445	1	-0.163	0.365	1
ENSG00000147257	GPC3	chrX	-	133535745	133987100	0.214	0.448	1	-0.119	0.674	1	-0.0277	0.922	1
ENSG00000076770	MBNL3	chrX	-	132369320	132489968	-0.229	0.572	1	-0.653	0.106	1	0.0308	0.939	1
ENSG00000134602	STK26	chrX	+	132023302	132075943	0.0314	0.874	1	-0.0352	0.859	1	-0.0887	0.654	1
ENSG00000213468	FIRRE	chrX	-	131688779	131830862	-0.0622	0.755	1	-0.159	0.427	1	0.0525	0.793	1
ENSG00000286060		chrX	+	131578681	131611684	0.717	0.639	1	-0.159	0.92	1	-1.1	0.501	1
ENSG00000287806		chrX	+	131385453	131407083	-0.221	0.822	1	-0.402	0.684	1	-0.235	0.811	1
ENSG00000147256	ARHGAP36	chrX	+	131058346	131089885	0.113	0.929	1	-0.937	0.476	1	0.615	0.624	1
ENSG00000102078	SLC25A14	chrX	+	130339888	130373361	-0.00855	0.97	1	0.119	0.604	1	-0.0464	0.84	1
ENSG00000085185	BCORL1	chrX	+	129981107	130058071	-0.0586	0.708	1	-0.0341	0.828	1	-0.0719	0.646	1
ENSG00000235189		chrX	-	129869064	129957528	3.31	0.205	1	2.49	0.353		2.34	0.382	
ENSG00000188706	ZDHHC9	chrX	-	129803288	129843909	0.0953	0.491	1	-0.019	0.891	1	0.0572	0.679	1
ENSG00000123165	ACTRT1	chrX	-	128050962	128052403	0.825	0.905		0	1		0.788	0.909	
ENSG00000198354	DCAF12L2	chrX	-	126163499	126166289	-0.0141	0.975	1	0.0351	0.938	1	-0.0379	0.933	1
ENSG00000009694	TENM1	chrX	-	124375903	125204312	-0.271	0.645	1	-0.529	0.37	1	0.574	0.329	1
ENSG00000282419	TEX13D	chrX	+	124246249	124336863	-0.687	0.791		1.03	0.677	1	-0.834	0.749	1
ENSG00000101966	XIAP	chrX	+	123859712	123913972	-0.122	0.354	1	-0.214	0.104	1	-0.114	0.383	1
ENSG00000125676	THOC2	chrX	-	123600561	123733056	0.0123	0.913	1	0.0168	0.881	1	-0.0974	0.385	1
ENSG00000125675	GRIA3	chrX	+	123184153	123490915	0.0651	0.866	1	0.00214	0.996	1	-0.166	0.668	1
ENSG00000171155	C1GALT1C1	chrX	-	120625674	120630054	0.14	0.4	1	0.082	0.624	1	-0.0708	0.671	1
ENSG00000158290	CUL4B	chrX	-	120505920	120604074	-0.102	0.41	1	-0.153	0.218	1	-0.114	0.36	1
ENSG00000005893	LAMP2	chrX	-	120426148	120469365	-0.175	0.424	1	-0.333	0.128	1	-0.0488	0.823	1
ENSG00000125355	TMEM255A	chrX	-	120258650	120311556	-0.102	0.768	1	0.167	0.629	1	-0.419	0.227	1
ENSG00000258545	RHOXF1-AS1	chrX	+	120036236	120146855	0.144	0.906	1	-1.61	0.196	1	0.784	0.519	1
ENSG00000125352	RNF113A	chrX	-	119870475	119871733	-0.0896	0.689	1	0.00427	0.985	1	0.000402	0.999	1
ENSG00000286366		chrX	+	119791971	119810949	0.671	0.351	1	0.507	0.484	1	0.628	0.383	1
ENSG00000125354	SEPTIN6	chrX	-	119615724	119693370	0.0229	0.928	1	-0.176	0.489	1	0.123	0.628	1
ENSG00000018610	STEEP1	chrX	-	119538149	119565409	0.263	0.114	1	0.191	0.252	1	0.15	0.369	1
ENSG00000077721	UBE2A	chrX	+	119474802	119591083	0.012	0.935	1	0.0363	0.806	1	-0.101	0.492	1
ENSG00000005022	SLC25A5	chrX	+	119468422	119471396	-0.0275	0.856	1	-0.0945	0.534	1	0.0272	0.858	1
ENSG00000224281	SLC25A5-AS1	chrX	-	119465986	119469128	0.345	0.291	1	0.216	0.511	1	0.104	0.752	1
ENSG00000237903		chrX	+	119422917	119423547	2.35	0.447		1	0.754		2.88	0.347	1
ENSG00000077713	SLC25A43	chrX	+	119399336	119454478	-0.0311	0.901	1	-0.308	0.224	1	0.179	0.473	1
ENSG00000175556	LONRF3	chrX	+	118974614	119018355	-0.337	0.66	1	-0.669	0.388	1	-0.175	0.819	1
ENSG00000235244	DANT2	chrX	-	115694880	115969148	-0.37	0.234	1	0.178	0.564	1	0.00605	0.984	1
ENSG00000102024	PLS3	chrX	+	115561174	115650861	-0.151	0.47	1	-0.325	0.121	1	-0.0655	0.755	1
ENSG00000288595		chrX	+	114040388	114056276	-0.128	0.951	1	-1.57	0.451	1	-0.33	0.875	1
ENSG00000077279	DCX	chrX	-	111293779	111412429	-0.0768	0.89	1	0.0534	0.924	1	-0.25	0.653	1
ENSG00000224142	AMMECR1-IT1	chrX	-	110305420	110307221	1.77	0.64		1.87	0.622		-0.174	0.964	
ENSG00000157600	TMEM164	chrX	+	110002631	110182734	0.0777	0.678	1	0.193	0.302	1	-0.00834	0.965	1
ENSG00000289365		chrX	+	109733479	109734864	1.27	0.32	1	0.774	0.552	1	0.291	0.825	1
ENSG00000068366	ACSL4	chrX	-	109624244	109733403	-0.134	0.399	1	-0.117	0.462	1	-0.0505	0.75	1
ENSG00000101890	GUCY2F	chrX	-	109372906	109482086	0.694	0.684	1	0.426	0.805	1	1.39	0.409	1
ENSG00000237863	IRS4-AS1	chrX	+	108736011	108739223	0.102	0.771	1	0.33	0.345	1	0.0686	0.845	1
ENSG00000197565	COL4A6	chrX	-	108155607	108439497	0.0108	0.947	1	0.0919	0.57	1	0.05	0.757	1
ENSG00000101844	ATG4A	chrX	+	108091668	108154671	-0.0236	0.921	1	0.0688	0.773	1	0.039	0.869	1
ENSG00000080561	MID2	chrX	+	107825755	107931637	-0.0218	0.953	1	-0.307	0.415	1	0.126	0.734	1
ENSG00000198088	NUP62CL	chrX	-	107123427	107206433	-0.153	0.476	1	-0.233	0.28	1	-0.179	0.404	1
ENSG00000165376	CLDN2	chrX	+	106900164	106930861	-0.348	0.845	1	-0.0782	0.965	1	-1.53	0.406	1
ENSG00000147223	RIPPLY1	chrX	-	106900063	106903341	4.47	0.107	1	1.88	0.522	1	4.01	0.15	1
ENSG00000133131	MORC4	chrX	-	106813871	107000212	-0.0285	0.907	1	-0.26	0.292	1	-0.102	0.677	1
ENSG00000133138	TBC1D8B	chrX	+	106802673	106876150	-0.139	0.66	1	-0.389	0.221	1	0.0303	0.924	1
ENSG00000133135	RNF128	chrX	+	106693794	106797016	-0.144	0.819	1	-0.23	0.715	1	-0.0535	0.932	1
ENSG00000157502	PWWP3B	chrX	+	106168305	106208956	-0.242	0.262	1	-0.274	0.205	1	-0.272	0.206	1
ENSG00000166707	ZCCHC18	chrX	+	104112131	104115842	0.00765	0.979	1	0.0115	0.969	1	0.0366	0.902	1
ENSG00000269226	TMSB15C	chrX	-	104063871	104076236	0.168	0.653	1	0.184	0.623	1	-0.19	0.611	1
ENSG00000101812	H2BW2	chrX	+	104039956	104042454	1.85	0.357	1	1.26	0.536	1	1.99	0.321	1
ENSG00000231728	TMSB15B-AS1	chrX	-	103845151	103919548	-0.38	0.4	1	-0.406	0.371	1	-0.112	0.803	1
ENSG00000172476	RAB40A	chrX	-	103499130	103519489	-0.117	0.842	1	-0.29	0.625	1	-0.0312	0.958	1
ENSG00000234405		chrX	+	103486461	103517919	-0.267	0.488	1	-0.285	0.461	1	-0.535	0.166	1
ENSG00000185222	TCEAL9	chrX	+	103356489	103358462	-0.00672	0.97	1	0.0125	0.945	1	-0.0948	0.602	1
ENSG00000182916	TCEAL7	chrX	+	103330229	103332326	0.0342	0.873	1	0.0405	0.85	1	-0.0629	0.768	1
ENSG00000133134	BEX2	chrX	-	103309346	103311007	0.338	0.202	1	0.489	0.0648	1	0.239	0.367	1
ENSG00000286846		chrX	+	102945971	102952039	-1.15	0.0698	1	-0.212	0.729	1	-0.616	0.318	1
ENSG00000286237		chrX	+	102712495	102753530	-1.12	0.184	1	-1.02	0.223	1	-1.26	0.135	1
ENSG00000158301	GPRASP2	chrX	+	102712445	102717733	-0.066	0.718	1	0.0474	0.795	1	-0.174	0.341	1
ENSG00000125962	ARMCX5	chrX	+	102599168	102604159	-0.149	0.282	1	-0.0935	0.499	1	-0.027	0.845	1
ENSG00000290811		chrX	+	102549965	102571695	0.876	0.475	1	0.629	0.612	1	0.348	0.779	1
ENSG00000215029	TCP11X2	chrX	-	102456862	102471842	-0.249	0.802	1	-0.17	0.864	1	0.146	0.882	1
ENSG00000269405	NXF2	chrX	+	102247167	102326722	-0.737	0.764	1	0.307	0.9	1	-0.574	0.815	1
ENSG00000204071	TCEAL6	chrX	-	102140476	102142970	1.25	0.429	1	0.451	0.781	1	0.669	0.677	1
ENSG00000184905	TCEAL2	chrX	+	102125679	102140426	-0.174	0.568	1	-0.137	0.654	1	-0.276	0.366	1
ENSG00000184867	ARMCX2	chrX	-	101655281	101659850	-0.00216	0.987	1	-0.0596	0.651	1	-0.0908	0.49	1
ENSG00000102401	ARMCX3	chrX	+	101622797	101627843	-0.068	0.615	1	-0.205	0.131	1	-0.131	0.332	1
ENSG00000010671	BTK	chrX	-	101349338	101390796	-0.454	0.537	1	0.00625	0.993	1	-0.401	0.583	1
ENSG00000102384	CENPI	chrX	+	101098188	101166126	0.0501	0.797	1	0.0774	0.691	1	-0.217	0.264	1
ENSG00000204086	RPA4	chrX	+	96883908	96885467	0.973	0.441	1	0.768	0.548	1	-0.0342	0.979	1
ENSG00000147202	DIAPH2	chrX	+	96684712	97604997	-0.235	0.262	1	-0.477	0.0229	1	-0.0857	0.682	1
ENSG00000186310	NAP1L3	chrX	-	93670930	93673578	-0.103	0.441	1	-0.165	0.217	1	-0.233	0.0802	1
ENSG00000289479		chrX	-	92100276	92104768	-0.291	0.739	1	-1.73	0.0499	1	0.203	0.816	1
ENSG00000234161	PABPC5-AS1	chrX	-	91414878	91434999	-2.58	0.48		0.127	0.972		-1.65	0.651	
ENSG00000184788	SATL1	chrX	-	85092284	85243911	-0.204	0.868	1	0.527	0.665	1	0.127	0.917	1
ENSG00000072133	RPS6KA6	chrX	-	84058346	84206356	-0.116	0.573	1	-0.344	0.0961	1	-0.0886	0.667	1
ENSG00000196767	POU3F4	chrX	+	83508290	83512127	-0.592	0.253	1	-0.342	0.507	1	0.106	0.837	1
ENSG00000131171	SH3BGRL	chrX	+	81202102	81298547	-0.0543	0.737	1	-0.163	0.313	1	-0.138	0.395	1
ENSG00000147255	IGSF1	chrX	-	131273506	131578899	0.0732	0.68	1	0.216	0.225	1	0.194	0.274	1
ENSG00000198157	HMGN5	chrX	-	81113699	81201913	-0.0165	0.952	1	-0.00895	0.974	1	-0.411	0.132	1
ENSG00000165288	BRWD3	chrX	-	80669503	80809877	-0.178	0.418	1	-0.359	0.102	1	-0.0949	0.666	1
ENSG00000122145	TBX22	chrX	+	80014753	80031774	0.201	0.729	1	-0.114	0.846	1	-0.405	0.491	1
ENSG00000078596	ITM2A	chrX	-	79360384	79367667	-0.0362	0.907	1	-0.0615	0.843	1	-0.133	0.667	1
ENSG00000102158	MAGT1	chrX	-	77825747	77899271	0.0344	0.825	1	-0.0149	0.923	1	-0.0854	0.582	1
ENSG00000198934	MAGEE1	chrX	+	76427710	76431342	0.178	0.333	1	0.0302	0.87	1	0.132	0.474	1
ENSG00000102390	PBDC1	chrX	+	76173040	76178314	-0.0449	0.795	1	-0.0687	0.691	1	-0.233	0.177	1
ENSG00000226854		chrX	+	75903105	75904858	-0.137	0.962		1.01	0.727	1	0.788	0.784	1
ENSG00000094841	UPRT	chrX	+	75156388	75304885	0.0813	0.701	1	-0.0665	0.755	1	0.0826	0.697	1
ENSG00000147100	SLC16A2	chrX	+	74421493	74533917	0.0316	0.848	1	0.0155	0.925	1	-0.0204	0.901	1
ENSG00000225470	JPX	chrX	+	73944182	74070408	-0.114	0.556	1	-0.175	0.368	1	-0.102	0.599	1
ENSG00000229807	XIST	chrX	-	73820649	73852723	-0.415	0.647	1	-0.454	0.618	1	0.0307	0.973	1
ENSG00000131264	CDX4	chrX	+	73447053	73455171	-0.294	0.68	1	-0.487	0.501	1	-0.855	0.241	1
ENSG00000231963		chrX	+	73080167	73084635	-1.56	0.467	1	-1.72	0.426		-2.22	0.307	
ENSG00000186288	PABPC1L2A	chrX	-	73077276	73079512	-1.09	0.217	1	-1.5	0.0919	1	-0.825	0.345	1
ENSG00000269502	DMRTC1	chrX	-	72872025	72943837	4.27	0.326		2.99	0.495		5.35	0.217	
ENSG00000269911	FAM226B	chrX	+	72777608	72779097	-0.0365	0.902	1	-0.243	0.415	1	-0.193	0.515	1
ENSG00000147099	HDAC8	chrX	-	72329516	72573101	-0.156	0.36	1	-0.129	0.451	1	-0.156	0.36	1
ENSG00000198034	RPS4X	chrX	-	72255679	72277248	0.0718	0.589	1	0.111	0.406	1	0.0099	0.941	1
ENSG00000186871	ERCC6L	chrX	-	72204657	72239027	-0.0816	0.622	1	-0.0789	0.634	1	-0.163	0.325	1
ENSG00000102309	PIN4	chrX	+	72181353	72302926	-0.272	0.269	1	-0.204	0.406	1	-0.279	0.256	1
ENSG00000204131	NHSL2	chrX	+	71910845	72161750	-0.431	0.111	1	-0.427	0.114	1	-0.0927	0.732	1
ENSG00000281852	LINC00891	chrX	+	71697196	71706455	-0.211	0.595	1	-0.156	0.696	1	0.249	0.527	1
ENSG00000147133	TAF1	chrX	+	71366222	71532374	-0.112	0.524	1	-0.172	0.327	1	-0.0786	0.654	1
ENSG00000147140	NONO	chrX	+	71254814	71301522	0.024	0.815	1	-0.0153	0.882	1	-0.0246	0.81	1
ENSG00000196338	NLGN3	chrX	+	71144821	71175255	0.132	0.583	1	0.304	0.206	1	0.0538	0.823	1
ENSG00000184634	MED12	chrX	+	71118543	71144103	-0.221	0.196	1	-0.133	0.439	1	-0.0206	0.904	1
ENSG00000147168	IL2RG	chrX	-	71107404	71112108	3.31	0.363	1	1	0.79		2.56	0.485	
ENSG00000184481	FOXO4	chrX	+	71095851	71103532	0.134	0.408	1	0.209	0.199	1	0.106	0.512	1
ENSG00000165349	SLC7A3	chrX	-	70925579	70931125	0.204	0.315	1	0.37	0.0679	1	0.0852	0.675	1
ENSG00000120509	PDZD11	chrX	-	70281118	70290514	-0.0313	0.84	1	0.0769	0.62	1	-0.12	0.438	1
ENSG00000089289	IGBP1	chrX	+	70133447	70166324	0.152	0.367	1	-0.0549	0.744	1	0.103	0.541	1
ENSG00000158813	EDA	chrX	+	69616067	70039472	0.00537	0.971	1	-0.0857	0.568	1	0.0296	0.843	1
ENSG00000181704	YIPF6	chrX	+	68498562	68537282	-0.0388	0.79	1	-0.0775	0.596	1	-0.0056	0.969	1
ENSG00000289038		chrX	-	68498309	68498989	-0.148	0.916	1	0.683	0.619	1	1.06	0.435	1
ENSG00000089472	HEPH	chrX	+	66162671	66268867	-0.0586	0.71	1	-0.259	0.101	1	-0.00924	0.953	1
ENSG00000198881	ASB12	chrX	-	64224194	64230607	-0.71	0.639	1	-0.97	0.53	1	-0.184	0.901	1
ENSG00000184675	AMER1	chrX	-	64185117	64205708	-0.11	0.519	1	0.0133	0.938	1	0.104	0.542	1
ENSG00000186767	SPIN4	chrX	-	63347228	63351332	-0.00509	0.983	1	-0.172	0.464	1	-0.0422	0.858	1
ENSG00000235437	LINC01278	chrX	-	63222993	63561095	-0.147	0.508	1	-0.214	0.336	1	-0.0502	0.821	1
ENSG00000198205	ZXDA	chrX	-	57905430	57910458	0.00767	0.976	1	-0.145	0.571	1	-0.214	0.403	1
ENSG00000147059	SPIN2A	chrX	-	57134530	57137523	-0.115	0.679	1	0.122	0.66	1	-0.388	0.164	1
ENSG00000186787	SPIN2B	chrX	-	57118551	57121548	-0.0374	0.843	1	-0.105	0.58	1	-0.0121	0.949	1
ENSG00000102349	KLF8	chrX	+	56232356	56291531	-0.0702	0.71	1	-0.233	0.219	1	0.0203	0.914	1
ENSG00000227486		chrX	+	55908123	56209271	-0.338	0.34	1	-0.0141	0.968	1	-0.24	0.496	1
ENSG00000083750	RRAGB	chrX	+	55717749	55758774	0.0725	0.609	1	0.0167	0.907	1	0.0547	0.7	1
ENSG00000247746	USP51	chrX	-	55484616	55489848	0.0562	0.75	1	0.0588	0.739	1	-0.0173	0.922	1
ENSG00000182518	FAM104B	chrX	-	55143102	55161310	0.0142	0.935	1	-0.0132	0.94	1	-0.126	0.471	1
ENSG00000130119	GNL3L	chrX	+	54530183	54621521	0.137	0.292	1	0.0964	0.458	1	0.0498	0.701	1
ENSG00000196632	WNK3	chrX	-	54192823	54358642	0.00763	0.969	1	-0.00166	0.993	1	-0.0523	0.792	1
ENSG00000184083	FAM120C	chrX	-	54068324	54183281	-0.197	0.383	1	-0.124	0.583	1	-0.265	0.24	1
ENSG00000158423	RIBC1	chrX	+	53422690	53431120	-0.048	0.907	1	-0.151	0.714	1	-0.332	0.42	1
ENSG00000235262	KDM5C-IT1	chrX	-	53212408	53214679	-0.217	0.904	1	0.912	0.602	1	0.536	0.76	1
ENSG00000126012	KDM5C	chrX	-	53176283	53225422	0.00553	0.954	1	0.0378	0.692	1	0.0643	0.499	1
ENSG00000232593	KANTR	chrX	+	53094142	53170914	-0.0383	0.816	1	0.0319	0.847	1	0.0487	0.768	1
ENSG00000184205	TSPYL2	chrX	+	53082367	53088540	-0.0123	0.952	1	-0.113	0.577	1	-0.194	0.338	1
ENSG00000287215		chrX	-	52195836	52265919	0.103	0.934	1	-0.417	0.743	1	-0.237	0.85	1
ENSG00000179222	MAGED1	chrX	+	51803007	51902354	0.0167	0.904	1	-0.0746	0.589	1	0.0358	0.795	1
ENSG00000189369	GSPT2	chrX	+	51743442	51746232	0.0393	0.756	1	-0.0121	0.923	1	-0.0376	0.766	1
ENSG00000223591	CENPVL1	chrX	+	51710512	51712131	7.82	0.106	1	7.04	0.146		6.25	0.197	
ENSG00000283093	CENPVL2	chrX	-	51681212	51682831	-2.51	0.545	1	-0.663	0.873	1	-0.11	0.979	1
ENSG00000224109	CENPVL3	chrX	-	51617020	51618912	0.297	0.26	1	0.342	0.196	1	0.145	0.584	1
ENSG00000226530		chrX	+	51395915	51465839	-0.0786	0.741	1	0.0362	0.879	1	-0.0457	0.847	1
ENSG00000230317	LINC01284	chrX	-	51095836	51224432	-0.727	0.602	1	0.284	0.834	1	-0.178	0.896	1
ENSG00000158352	SHROOM4	chrX	-	50586796	50814302	-0.0261	0.926	1	-0.223	0.431	1	0.202	0.472	1
ENSG00000274588	DGKK	chrX	-	50365409	50470825	0.0168	0.95	1	0.0582	0.827	1	-0.0734	0.783	1
ENSG00000270012		chrX	+	49273054	49275768	-0.215	0.377	1	-0.0481	0.843	1	-0.0391	0.872	1
ENSG00000286181		chrX	-	49262866	49270521	-0.524	0.314	1	-0.368	0.48	1	-0.464	0.371	1
ENSG00000012211	PRICKLE3	chrX	-	49174802	49186528	0.363	0.171	1	0.21	0.433	1	0.479	0.0704	1
ENSG00000269313	MAGIX	chrX	+	49162564	49168774	-0.994	0.175	1	-0.0763	0.915	1	-0.981	0.18	1
ENSG00000243279	PRAF2	chrX	-	49071161	49074002	-0.0778	0.78	1	0.082	0.768	1	-0.0266	0.924	1
