gene_ID	hgnc_symbol	chr	strand	start	end	FEZF2_CE_log2FoldChange	FEZF2_CE_pvalue	FEZF2_CE_padj	FEZF2_KO_log2FoldChange	FEZF2_KO_pvalue	FEZF2_KO_padj	FEZF2_PTC_log2FoldChange	FEZF2_PTC_pvalue	FEZF2_PTC_padj
ENSG00000067842	ATP2B3	chrX	+	153517642	153582939	0.0399	0.948		0.264	0.663	1	0.424	0.483	1
ENSG00000183837	PNMA3	chrX	+	153056409	153060467	0.317	0.185		-0.0493	0.838	1	0.284	0.236	1
ENSG00000147383	NSDHL	chrX	+	152830967	152869729	0.103	0.547		0.00357	0.983	1	0.0366	0.831	1
ENSG00000147400	CETN2	chrX	-	152826994	152830757	0.443	0.025	0.273	0.0865	0.663	1	0.17	0.391	1
ENSG00000268916	CSAG3	chrX	+	152753921	152760222	-3.63	0.169		-2.65	0.315		-3.53	0.182	
ENSG00000160131	VMA21	chrX	+	151396515	151409364	-0.00463	0.977	0.992	0.0345	0.834	1	-0.0999	0.543	1
ENSG00000234696	GPR50-AS1	chrX	-	151175192	151177836	-0.452	0.771		-0.352	0.821	1	-0.899	0.571	1
ENSG00000029993	HMGB3	chrX	+	150980509	150990771	-0.127	0.32	0.644	-0.052	0.685	1	-0.188	0.143	1
ENSG00000102181	CD99L2	chrX	-	150766336	150898816	0.062	0.691	0.876	0.132	0.397	1	0.0388	0.804	1
ENSG00000063601	MTMR1	chrX	+	150692971	150765108	0.13	0.253	0.591	-0.000267	0.998	1	0.0189	0.868	1
ENSG00000013619	MAMLD1	chrX	+	150361422	150514178	-1.31	0.266		0.424	0.718	1	-0.374	0.75	1
ENSG00000269556	TMEM185A	chrX	-	149596556	149631912	-0.0899	0.602	0.828	0.0869	0.613	1	0.141	0.414	1
ENSG00000241769	EOLA1-DT	chrX	-	149527591	149540959	0.17	0.682		0.202	0.626	1	0.246	0.553	1
ENSG00000277215	SPANXA2-OT1	chrX	+	141177284	141649927	-0.539	0.372		0.401	0.489	1	0.0764	0.897	1
ENSG00000182195	LDOC1	chrX	-	141111605	141177129	-0.0536	0.757	0.906	0.0687	0.692	1	0.0962	0.579	1
ENSG00000134595	SOX3	chrX	-	140502985	140505069	0.386	0.177		0.24	0.402	1	0.373	0.193	1
ENSG00000129682	FGF13	chrX	-	138614727	139222777	-0.0338	0.86	0.949	0.0949	0.619	1	-0.0809	0.673	1
ENSG00000283692		chrX	+	137573752	137981780	-1.61	0.0982		-1.41	0.146	1	-0.947	0.326	1
ENSG00000291054		chrX	+	136909369	137069407	-0.172	0.651		0.374	0.321	1	0.146	0.7	1
ENSG00000165359	INTS6L	chrX	+	135520659	135582510	0.0644	0.728	0.893	0.115	0.534	1	0.17	0.359	1
ENSG00000178947	SMIM10L2A	chrX	+	135421944	135428075	-0.113	0.857	0.948	0.379	0.546	1	0.259	0.68	1
ENSG00000173275	ZNF449	chrX	+	135344796	135363413	-0.379	0.0584	0.357	-0.16	0.423	1	-0.211	0.292	1
ENSG00000169551	CT55	chrX	-	135156540	135171398	2.73	0.356		2.94	0.319	1	2.74	0.355	1
ENSG00000203950	RTL8A	chrX	-	135050932	135052196	0.224	0.314	0.638	0.0303	0.892	1	0.216	0.332	1
ENSG00000184785	SMIM10	chrX	+	134990991	134992473	-0.13	0.838		-0.643	0.318	1	-0.214	0.737	1
ENSG00000101928	MOSPD1	chrX	-	134887632	134915257	0.186	0.335	0.655	0.129	0.504	1	-0.0958	0.622	1
ENSG00000156504	PABIR2	chrX	-	134769566	134797232	-0.188	0.19	0.525	0.0169	0.906	1	-0.159	0.266	1
ENSG00000170965	PLAC1	chrX	-	134565838	134764322	0.158	0.833		-0.232	0.758	1	0.217	0.772	1
ENSG00000156531	PHF6	chrX	+	134373288	134428791	0.266	0.142	0.471	0.0531	0.769	1	0.0191	0.916	1
ENSG00000147257	GPC3	chrX	-	133535745	133987100	0.602	0.0337	0.303	0.108	0.704	1	0.249	0.379	1
ENSG00000076770	MBNL3	chrX	-	132369320	132489968	-0.407	0.314	0.638	0.131	0.745	1	-0.167	0.68	1
ENSG00000134602	STK26	chrX	+	132023302	132075943	0.316	0.112	0.436	0.095	0.633	1	0.042	0.833	1
ENSG00000213468	FIRRE	chrX	-	131688779	131830862	-0.238	0.235	0.57	0.0304	0.879	1	-0.179	0.37	1
ENSG00000286060		chrX	+	131578681	131611684	-0.264	0.852		-1.44	0.326	1	-2.24	0.146	1
ENSG00000287806		chrX	+	131385453	131407083	-0.987	0.307		-0.137	0.886	1	-0.458	0.634	1
ENSG00000147256	ARHGAP36	chrX	+	131058346	131089885	1.09	0.435		0.437	0.758	1	0.44	0.756	1
ENSG00000102078	SLC25A14	chrX	+	130339888	130373361	-0.0811	0.733		0.0299	0.9	1	-0.169	0.48	1
ENSG00000085185	BCORL1	chrX	+	129981107	130058071	-0.224	0.15	0.478	-0.205	0.188	1	-0.228	0.143	1
ENSG00000235189		chrX	-	129869064	129957528	2.26	0.399		2.69	0.309	1	2.78	0.292	1
ENSG00000188706	ZDHHC9	chrX	-	129803288	129843909	0.112	0.424	0.719	0.0885	0.527	1	0.0909	0.516	1
ENSG00000123165	ACTRT1	chrX	-	128050962	128052403	1.56	0.82		3.27	0.632		0	1	
ENSG00000198354	DCAF12L2	chrX	-	126163499	126166289	0.415	0.378		0.375	0.426	1	0.421	0.372	1
ENSG00000009694	TENM1	chrX	-	124375903	125204312	-0.637	0.279		0.0896	0.879	1	-0.0622	0.916	1
ENSG00000282419	TEX13D	chrX	+	124246249	124336863	2.62	0.363		-0.169	0.955		1.81	0.542	
ENSG00000101966	XIAP	chrX	+	123859712	123913972	-0.286	0.0309	0.295	-0.0299	0.821	1	-0.29	0.029	1
ENSG00000125676	THOC2	chrX	-	123600561	123733056	0.0405	0.72	0.89	0.0144	0.898	1	-0.00475	0.966	1
ENSG00000125675	GRIA3	chrX	+	123184153	123490915	0.456	0.254		0.0484	0.904	1	0.00352	0.993	1
ENSG00000171155	C1GALT1C1	chrX	-	120625674	120630054	0.528	0.00232	0.132	0.08	0.647	1	0.168	0.335	1
ENSG00000158290	CUL4B	chrX	-	120505920	120604074	0.0529	0.672	0.865	0.0259	0.836	1	-0.0616	0.622	1
ENSG00000005893	LAMP2	chrX	-	120426148	120469365	-0.336	0.125	0.453	0.0976	0.656	1	-0.14	0.522	1
ENSG00000125355	TMEM255A	chrX	-	120258650	120311556	0.322	0.361		0.0738	0.835	1	0.00487	0.989	1
ENSG00000258545	RHOXF1-AS1	chrX	+	120036236	120146855	-0.634	0.598		0.211	0.861	1	0.351	0.77	1
ENSG00000125352	RNF113A	chrX	-	119870475	119871733	-0.114	0.608		-0.158	0.479	1	-0.000355	0.999	1
ENSG00000286366		chrX	+	119791971	119810949	0.0739	0.919		0.0391	0.957	1	-0.282	0.702	1
ENSG00000125354	SEPTIN6	chrX	-	119615724	119693370	-0.275	0.279	0.613	0.0148	0.954	1	-0.0437	0.864	1
ENSG00000018610	STEEP1	chrX	-	119538149	119565409	0.303	0.0721	0.383	-0.0138	0.935	1	0.14	0.409	1
ENSG00000077721	UBE2A	chrX	+	119474802	119591083	0.226	0.132	0.461	0.0665	0.657	1	0.0479	0.749	1
ENSG00000005022	SLC25A5	chrX	+	119468422	119471396	0.2	0.189	0.525	0.0912	0.549	1	0.126	0.406	1
ENSG00000224281	SLC25A5-AS1	chrX	-	119465986	119469128	0.185	0.567		0.207	0.521	1	-0.0652	0.841	1
ENSG00000237903		chrX	+	119422917	119423547	0.183	0.946		-1.65	0.565		-1.56	0.585	
ENSG00000077713	SLC25A43	chrX	+	119399336	119454478	-0.038	0.883		0.123	0.634	1	-0.0609	0.815	1
ENSG00000175556	LONRF3	chrX	+	118974614	119018355	0.843	0.321		0.983	0.247	1	0.523	0.542	1
ENSG00000235244	DANT2	chrX	-	115694880	115969148	-1.16	0.000105		-0.132	0.653	1	-0.48	0.105	1
ENSG00000102024	PLS3	chrX	+	115561174	115650861	0.384	0.0678	0.377	0.216	0.303	1	0.329	0.118	1
ENSG00000288595		chrX	+	114040388	114056276	0.16	0.939		0.35	0.867	1	-1.17	0.574	1
ENSG00000077279	DCX	chrX	-	111293779	111412429	-0.185	0.739	0.898	-0.27	0.627	1	-0.555	0.319	1
ENSG00000224142	AMMECR1-IT1	chrX	-	110305420	110307221	-0.184	0.962		1.51	0.691		1.65	0.663	
ENSG00000157600	TMEM164	chrX	+	110002631	110182734	0.122	0.517	0.779	0.0694	0.712	1	0.0178	0.925	1
ENSG00000289365		chrX	+	109733479	109734864	5.52	0.0144		3.93	0.0858	1	5.03	0.0264	1
ENSG00000068366	ACSL4	chrX	-	109624244	109733403	0.0787	0.623	0.84	0.01	0.95	1	-0.0408	0.799	1
ENSG00000101890	GUCY2F	chrX	-	109372906	109482086	0.704	0.68		-3.61	0.0746	1	-0.102	0.954	1
ENSG00000237863	IRS4-AS1	chrX	+	108736011	108739223	0.498	0.174		0.306	0.405	1	0.209	0.572	1
ENSG00000197565	COL4A6	chrX	-	108155607	108439497	0.0664	0.682	0.87	-0.0242	0.881	1	0.0704	0.664	1
ENSG00000101844	ATG4A	chrX	+	108091668	108154671	-0.053	0.83		0.00452	0.985	1	-0.0833	0.737	1
ENSG00000080561	MID2	chrX	+	107825755	107931637	-0.119	0.752		0.202	0.588	1	0.0798	0.831	1
ENSG00000198088	NUP62CL	chrX	-	107123427	107206433	-0.346	0.117		-0.694	0.00185	1	-0.361	0.102	1
ENSG00000165376	CLDN2	chrX	+	106900164	106930861	3.95	0.13		3.53	0.179	1	4.6	0.0768	1
ENSG00000147223	RIPPLY1	chrX	-	106900063	106903341	-0.0434	0.983		-2.47	0.28		-0.203	0.922	1
ENSG00000133131	MORC4	chrX	-	106813871	107000212	0.269	0.316		0.19	0.48	1	0.279	0.299	1
ENSG00000133138	TBC1D8B	chrX	+	106802673	106876150	-0.676	0.0334		-0.0908	0.774	1	-0.505	0.112	1
ENSG00000133135	RNF128	chrX	+	106693794	106797016	0.968	0.219		0.629	0.429	1	1.26	0.107	1
ENSG00000157502	PWWP3B	chrX	+	106168305	106208956	-0.0678	0.761		-0.161	0.473	1	-0.403	0.0741	1
ENSG00000166707	ZCCHC18	chrX	+	104112131	104115842	0.203	0.502		0.0448	0.883	1	0.105	0.728	1
ENSG00000269226	TMSB15C	chrX	-	104063871	104076236	-0.828	0.0282		-0.649	0.0848	1	-0.783	0.0382	1
ENSG00000101812	H2BW2	chrX	+	104039956	104042454	1.01	0.62		0.277	0.895	1	0.84	0.683	1
ENSG00000231728	TMSB15B-AS1	chrX	-	103845151	103919548	-0.369	0.411		-0.204	0.648	1	-0.284	0.526	1
ENSG00000172476	RAB40A	chrX	-	103499130	103519489	-1.36	0.0242		-0.317	0.588	1	-0.553	0.348	1
ENSG00000234405		chrX	+	103486461	103517919	-0.107	0.803		0.335	0.428	1	-0.0371	0.931	1
ENSG00000185222	TCEAL9	chrX	+	103356489	103358462	0.212	0.247	0.584	-0.0523	0.776	1	0.107	0.558	1
ENSG00000182916	TCEAL7	chrX	+	103330229	103332326	0.512	0.0201		0.0517	0.815	1	0.322	0.145	1
ENSG00000133134	BEX2	chrX	-	103309346	103311007	0.406	0.128		0.117	0.661	1	0.361	0.176	1
ENSG00000286846		chrX	+	102945971	102952039	-0.814	0.191		0.0132	0.983	1	-0.471	0.445	1
ENSG00000286237		chrX	+	102712495	102753530	0.614	0.468		0.0578	0.946	1	0.102	0.904	1
ENSG00000158301	GPRASP2	chrX	+	102712445	102717733	0.161	0.383	0.695	-0.00637	0.972	1	0.0263	0.887	1
ENSG00000125962	ARMCX5	chrX	+	102599168	102604159	0.074	0.598	0.826	0.12	0.393	1	0.00902	0.949	1
ENSG00000290811		chrX	+	102549965	102571695	-1.19	0.302		-3.2	0.0191	1	-1.38	0.239	1
ENSG00000215029	TCP11X2	chrX	-	102456862	102471842	-1	0.307		-0.758	0.438	1	-0.733	0.453	1
ENSG00000269405	NXF2	chrX	+	102247167	102326722	0.0758	0.976		0.45	0.856	1	-0.569	0.819	1
ENSG00000204071	TCEAL6	chrX	-	102140476	102142970	1.01	0.488		-0.153	0.919	1	1.16	0.428	1
ENSG00000184905	TCEAL2	chrX	+	102125679	102140426	0.339	0.27		0.0645	0.834	1	0.205	0.506	1
ENSG00000184867	ARMCX2	chrX	-	101655281	101659850	0.146	0.269	0.605	0.0355	0.789	1	0.0537	0.686	1
ENSG00000102401	ARMCX3	chrX	+	101622797	101627843	-0.142	0.299	0.628	0.0439	0.748	1	-0.0159	0.908	1
ENSG00000010671	BTK	chrX	-	101349338	101390796	-0.352	0.688		0.695	0.408	1	0.729	0.386	1
ENSG00000102384	CENPI	chrX	+	101098188	101166126	-0.031	0.874	0.954	-0.0741	0.705	1	-0.175	0.371	1
ENSG00000204086	RPA4	chrX	+	96883908	96885467	-1.67	0.109		-1.06	0.297	1	-0.784	0.439	1
ENSG00000147202	DIAPH2	chrX	+	96684712	97604997	-0.0559	0.791	0.92	0.0749	0.722	1	-0.00135	0.995	1
ENSG00000186310	NAP1L3	chrX	-	93670930	93673578	0.259	0.0593	0.357	0.08	0.561	1	0.106	0.443	1
ENSG00000289479		chrX	-	92100276	92104768	-1.37	0.115		0.214	0.805	1	0.0465	0.957	1
ENSG00000234161	PABPC5-AS1	chrX	-	91414878	91434999	-0.184	0.963		1.51	0.699		1.65	0.672	
ENSG00000184788	SATL1	chrX	-	85092284	85243911	-1.18	0.334		0.539	0.644	1	-0.738	0.54	1
ENSG00000072133	RPS6KA6	chrX	-	84058346	84206356	-0.121	0.562	0.807	0.0884	0.671	1	-0.0827	0.691	1
ENSG00000196767	POU3F4	chrX	+	83508290	83512127	-0.445	0.384		-0.151	0.768	1	-0.334	0.514	1
ENSG00000131171	SH3BGRL	chrX	+	81202102	81298547	0.412	0.0117	0.215	0.183	0.263	1	0.223	0.173	1
ENSG00000147255	IGSF1	chrX	-	131273506	131578899	0.162	0.367	0.682	0.0616	0.731	1	0.143	0.426	1
ENSG00000198157	HMGN5	chrX	-	81113699	81201913	-0.0197	0.943	0.981	0.101	0.714	1	-0.0732	0.791	1
ENSG00000165288	BRWD3	chrX	-	80669503	80809877	-0.318	0.147	0.476	0.0112	0.959	1	-0.2	0.363	1
ENSG00000122145	TBX22	chrX	+	80014753	80031774	-0.662	0.342		-0.127	0.852	1	0.785	0.237	1
ENSG00000078596	ITM2A	chrX	-	79360384	79367667	0.106	0.746		-0.0397	0.904	1	0.0938	0.776	1
ENSG00000102158	MAGT1	chrX	-	77825747	77899271	-0.0611	0.696	0.88	-0.0305	0.845	1	-0.204	0.192	1
ENSG00000198934	MAGEE1	chrX	+	76427710	76431342	0.16	0.39		0.204	0.275	1	0.0134	0.943	1
ENSG00000102390	PBDC1	chrX	+	76173040	76178314	0.0906	0.605	0.83	-0.109	0.535	1	-0.0594	0.735	1
ENSG00000226854		chrX	+	75903105	75904858	0.26	0.91		-0.263	0.911	1	0.313	0.892	1
ENSG00000094841	UPRT	chrX	+	75156388	75304885	-0.236	0.271		0.0016	0.994	1	-0.0722	0.736	1
ENSG00000147100	SLC16A2	chrX	+	74421493	74533917	0.0182	0.912	0.967	-0.0416	0.801	1	-0.0742	0.653	1
ENSG00000225470	JPX	chrX	+	73944182	74070408	-0.449	0.0214	0.261	0.0196	0.92	1	-0.295	0.13	1
ENSG00000229807	XIST	chrX	-	73820649	73852723	-1.41	0.126		-0.157	0.862	1	-1.04	0.257	1
ENSG00000131264	CDX4	chrX	+	73447053	73455171	-1.05	0.11		-0.388	0.546	1	-0.595	0.358	1
ENSG00000231963		chrX	+	73080167	73084635	4.97	0.0872		4.25	0.145		4.92	0.0902	1
ENSG00000186288	PABPC1L2A	chrX	-	73077276	73079512	-0.761	0.383		-0.273	0.753	1	-0.494	0.571	1
ENSG00000269502	DMRTC1	chrX	-	72872025	72943837	-3.98	0.311		-2.26	0.559		-2.21	0.567	
ENSG00000269911	FAM226B	chrX	+	72777608	72779097	0.0213	0.944		0.144	0.633	1	0.103	0.732	1
ENSG00000147099	HDAC8	chrX	-	72329516	72573101	-0.453	0.00789	0.19	-0.141	0.408	1	-0.351	0.0392	1
ENSG00000198034	RPS4X	chrX	-	72255679	72277248	0.121	0.364	0.679	-0.0345	0.795	1	-0.00469	0.972	1
ENSG00000186871	ERCC6L	chrX	-	72204657	72239027	0.0657	0.695	0.879	-0.0268	0.873	1	-0.105	0.532	1
ENSG00000102309	PIN4	chrX	+	72181353	72302926	0.0189	0.939	0.979	-0.0537	0.829	1	-0.0725	0.77	1
ENSG00000204131	NHSL2	chrX	+	71910845	72161750	-0.54	0.0457	0.331	-0.0752	0.781	1	-0.232	0.39	1
ENSG00000281852	LINC00891	chrX	+	71697196	71706455	-0.292	0.468		0.144	0.718	1	-0.194	0.63	1
ENSG00000147133	TAF1	chrX	+	71366222	71532374	-0.455	0.00946	0.2	-0.157	0.372	1	-0.345	0.0493	1
ENSG00000147140	NONO	chrX	+	71254814	71301522	0.0669	0.514	0.778	-0.0261	0.799	1	0.0115	0.911	1
ENSG00000196338	NLGN3	chrX	+	71144821	71175255	-0.137	0.568	0.809	-0.228	0.342	1	-0.203	0.398	1
ENSG00000184634	MED12	chrX	+	71118543	71144103	-0.316	0.0643	0.368	-0.0882	0.606	1	-0.166	0.33	1
ENSG00000147168	IL2RG	chrX	-	71107404	71112108	-0.184	0.961		0.793	0.834		0.879	0.816	
ENSG00000184481	FOXO4	chrX	+	71095851	71103532	-0.0543	0.737	0.897	0.0157	0.923	1	-0.0889	0.583	1
ENSG00000165349	SLC7A3	chrX	-	70925579	70931125	0.225	0.272	0.607	-0.00229	0.991	1	0.148	0.469	1
ENSG00000120509	PDZD11	chrX	-	70281118	70290514	0.319	0.0447	0.33	-0.00235	0.988	1	0.1	0.53	1
ENSG00000089289	IGBP1	chrX	+	70133447	70166324	0.182	0.282	0.616	0.0642	0.704	1	0.124	0.462	1
ENSG00000158813	EDA	chrX	+	69616067	70039472	0.0613	0.69		-0.00738	0.962	1	0.00877	0.955	1
ENSG00000181704	YIPF6	chrX	+	68498562	68537282	-0.253	0.0863	0.396	-0.012	0.935	1	-0.178	0.228	1
ENSG00000289038		chrX	-	68498309	68498989	-0.429	0.747		0.675	0.601	1	0.917	0.476	1
ENSG00000089472	HEPH	chrX	+	66162671	66268867	0.0106	0.947	0.982	0.021	0.894	1	0.0432	0.785	1
ENSG00000198881	ASB12	chrX	-	64224194	64230607	-1.21	0.405		-0.215	0.879	1	-0.624	0.662	1
ENSG00000184675	AMER1	chrX	-	64185117	64205708	-0.417	0.0138	0.225	-0.133	0.43	1	-0.203	0.23	1
ENSG00000186767	SPIN4	chrX	-	63347228	63351332	-0.161	0.501	0.768	-0.00959	0.968	1	-0.189	0.43	1
ENSG00000235437	LINC01278	chrX	-	63222993	63561095	-0.0979	0.659	0.858	-0.0331	0.882	1	-0.000325	0.999	1
ENSG00000198205	ZXDA	chrX	-	57905430	57910458	-0.214	0.417		-0.0392	0.881	1	-0.377	0.154	1
ENSG00000147059	SPIN2A	chrX	-	57134530	57137523	0.388	0.185		0.0867	0.769	1	0.354	0.227	1
ENSG00000186787	SPIN2B	chrX	-	57118551	57121548	0.0307	0.874		-0.15	0.442	1	-0.0603	0.757	1
ENSG00000102349	KLF8	chrX	+	56232356	56291531	-0.195	0.306	0.631	0.095	0.618	1	-0.0321	0.866	1
ENSG00000227486		chrX	+	55908123	56209271	0.0267	0.939		0.386	0.267	1	0.0721	0.837	1
ENSG00000083750	RRAGB	chrX	+	55717749	55758774	0.0989	0.495	0.765	0.154	0.289	1	0.156	0.282	1
ENSG00000247746	USP51	chrX	-	55484616	55489848	0.047	0.796	0.922	0.114	0.53	1	-0.0057	0.975	1
ENSG00000182518	FAM104B	chrX	-	55143102	55161310	-0.124	0.486		-0.182	0.305	1	-0.236	0.185	1
ENSG00000130119	GNL3L	chrX	+	54530183	54621521	-0.0867	0.504	0.771	-0.0934	0.472	1	-0.0921	0.478	1
ENSG00000196632	WNK3	chrX	-	54192823	54358642	-0.256	0.198	0.533	-0.126	0.525	1	-0.255	0.2	1
ENSG00000184083	FAM120C	chrX	-	54068324	54183281	-0.429	0.0587		-0.148	0.514	1	-0.48	0.0349	1
ENSG00000158423	RIBC1	chrX	+	53422690	53431120	0.188	0.658		0.516	0.221	1	0.254	0.551	1
ENSG00000235262	KDM5C-IT1	chrX	-	53212408	53214679	-1.2	0.424		-0.288	0.845	1	-0.517	0.728	1
ENSG00000126012	KDM5C	chrX	-	53176283	53225422	-0.046	0.628	0.843	0.0169	0.858	1	0.0161	0.865	1
ENSG00000232593	KANTR	chrX	+	53094142	53170914	-0.506	0.00242	0.134	-0.0834	0.616	1	-0.356	0.0325	1
ENSG00000184205	TSPYL2	chrX	+	53082367	53088540	0.0171	0.933	0.976	0.00997	0.961	1	0.12	0.555	1
ENSG00000287215		chrX	-	52195836	52265919	1.83	0.212		1.43	0.33	1	1.27	0.39	1
ENSG00000179222	MAGED1	chrX	+	51803007	51902354	0.0303	0.826	0.937	-0.0377	0.785	1	-0.00961	0.945	1
ENSG00000189369	GSPT2	chrX	+	51743442	51746232	0.0951	0.457	0.741	0.0771	0.547	1	0.113	0.377	1
ENSG00000223591	CENPVL1	chrX	+	51710512	51712131	7	0.148		7.71	0.111	1	8.22	0.0892	1
ENSG00000283093	CENPVL2	chrX	-	51681212	51682831	-0.69	0.867		-8.37	0.0515		-8.28	0.0539	
ENSG00000224109	CENPVL3	chrX	-	51617020	51618912	0.325	0.223		0.161	0.548	1	0.126	0.639	1
ENSG00000226530		chrX	+	51395915	51465839	-0.163	0.498		0.0168	0.944	1	-0.145	0.546	1
ENSG00000230317	LINC01284	chrX	-	51095836	51224432	-1.08	0.425		-0.643	0.629	1	-0.302	0.819	1
ENSG00000158352	SHROOM4	chrX	-	50586796	50814302	-0.501	0.0723		-0.086	0.757	1	-0.094	0.735	1
ENSG00000274588	DGKK	chrX	-	50365409	50470825	-0.331	0.211		-0.403	0.129	1	-0.4	0.132	1
ENSG00000270012		chrX	+	49273054	49275768	-0.356	0.128		-0.203	0.385	1	-0.137	0.558	1
ENSG00000286181		chrX	-	49262866	49270521	-0.303	0.571		-0.496	0.358	1	-0.0607	0.909	1
ENSG00000012211	PRICKLE3	chrX	-	49174802	49186528	0.257	0.332		0.309	0.244	1	0.546	0.0387	1
ENSG00000269313	MAGIX	chrX	+	49162564	49168774	-0.22	0.757		0.0989	0.888	1	0.0809	0.909	1
ENSG00000243279	PRAF2	chrX	-	49071161	49074002	0.228	0.41		-0.0264	0.924	1	0.17	0.541	1
ENSG00000068400	GRIPAP1	chrX	-	48973720	49002265	-0.318	0.05	0.343	-0.0775	0.633	1	-0.159	0.328	1
ENSG00000102100	SLC35A2	chrX	-	48903180	48911958	0.297	0.155		0.183	0.382	1	0.296	0.157	1
