gene_ID	hgnc_symbol	chr	strand	start	end	MEF2C_CE_log2FoldChange	MEF2C_CE_pvalue	MEF2C_CE_padj	MEF2C_KO_log2FoldChange	MEF2C_KO_pvalue	MEF2C_KO_padj	MEF2C_PTC_log2FoldChange	MEF2C_PTC_pvalue	MEF2C_PTC_padj
ENSG00000130827	PLXNA3	chrX	+	154458281	154477779	-0.355	0.169	0.637	0.0899	0.727	1	-0.00167	0.995	1
ENSG00000071859	FAM50A	chrX	+	154444141	154450654	0.302	0.0702	0.589	0.0536	0.748	1	0.128	0.442	1
ENSG00000013563	DNASE1L1	chrX	-	154401236	154412112	-0.0173	0.89	0.976	-0.0803	0.517	1	-0.0749	0.543	1
ENSG00000280195		chrX	-	154396878	154398842	0.295	0.598	0.874	0.0777	0.889	1	0.404	0.458	1
ENSG00000169057	MECP2	chrX	-	154021573	154137103	-0.227	0.262	0.697	0.15	0.458	1	0.139	0.49	1
ENSG00000177854	TMEM187	chrX	+	153972754	153983194	0.192	0.521	0.837	0.0861	0.771	1	0.0922	0.754	1
ENSG00000102032	RENBP	chrX	-	153935269	153944687	-0.154	0.76	0.929	0.17	0.723	1	0.379	0.418	1
ENSG00000089820	ARHGAP4	chrX	-	153907367	153934999	-0.0576	0.872	0.968	0.0583	0.867	1	-0.29	0.414	1
ENSG00000198910	L1CAM	chrX	-	153861514	153886173	-0.732	0.222	0.669	0.347	0.562	1	0.0718	0.905	1
ENSG00000067840	PDZD4	chrX	-	153802166	153830565	-0.458	0.478	0.814	-0.297	0.641	1	0.228	0.716	1
ENSG00000180879	SSR4	chrX	+	153793516	153798499	0.328	0.149	0.627	0.0768	0.735	1	0.0883	0.697	1
ENSG00000067829	IDH3G	chrX	-	153785766	153794512	0.375	0.0521	0.589	0.101	0.6	1	0.0807	0.676	1
ENSG00000198753	PLXNB3	chrX	+	153764196	153779346	0.316	0.682	0.907	0.46	0.544	1	0.684	0.362	1
ENSG00000185825	BCAP31	chrX	-	153700492	153724565	0.511	0.0406	0.589	-0.00924	0.97	1	-0.033	0.895	1
ENSG00000130822	PNCK	chrX	-	153669733	153689010	1.03	0.019	0.589	0.168	0.713	1	0.0952	0.835	1
ENSG00000067842	ATP2B3	chrX	+	153517642	153582939	0.858	0.211	0.662	-0.469	0.495	1	-0.27	0.694	1
ENSG00000183837	PNMA3	chrX	+	153056409	153060467	-0.954	0.276	0.703	-0.649	0.44	1	-0.231	0.777	1
ENSG00000147383	NSDHL	chrX	+	152830967	152869729	0.122	0.353	0.746	0.16	0.217	1	0.0307	0.813	1
ENSG00000147400	CETN2	chrX	-	152826994	152830757	0.103	0.489	0.82	0.228	0.12	1	0.131	0.373	1
ENSG00000160131	VMA21	chrX	+	151396515	151409364	0.0512	0.784	0.937	0.152	0.415	1	0.0528	0.777	1
ENSG00000029993	HMGB3	chrX	+	150980509	150990771	0.523	0.0317	0.589	0.0486	0.842	1	0.111	0.647	1
ENSG00000102181	CD99L2	chrX	-	150766336	150898816	0.0916	0.597	0.874	-0.101	0.558	1	-0.00515	0.976	1
ENSG00000063601	MTMR1	chrX	+	150692971	150765108	-0.00706	0.938	0.993	0.0608	0.502	1	0.0243	0.787	1
ENSG00000013619	MAMLD1	chrX	+	150361422	150514178	-1.26	0.119	0.609	-0.562	0.455	1	-0.526	0.481	1
ENSG00000269556	TMEM185A	chrX	-	149596556	149631912	-0.4	0.0535	0.589	0.0638	0.756	1	-0.0923	0.653	1
ENSG00000241769	EOLA1-DT	chrX	-	149527591	149540959	-0.322	0.193	0.653	0.0424	0.858	1	0.028	0.906	1
ENSG00000277215	SPANXA2-OT1	chrX	+	141177284	141649927	-0.0648	0.926	0.989	0.518	0.428	1	0.366	0.576	1
ENSG00000182195	LDOC1	chrX	-	141111605	141177129	-0.122	0.614	0.882	0.243	0.313	1	0.256	0.289	1
ENSG00000134595	SOX3	chrX	-	140502985	140505069	-2.27	0.305	0.719	-1.5	0.479	1	-0.438	0.826	1
ENSG00000129682	FGF13	chrX	-	138614727	139222777	0.0254	0.894	0.977	0.0706	0.709	1	0.198	0.291	1
ENSG00000283692		chrX	+	137573752	137981780	0.0472	0.979	0.995	-0.129	0.942	1	1.08	0.492	1
ENSG00000291054		chrX	+	136909369	137069407	-0.398	0.285	0.707	0.336	0.321	1	-0.264	0.455	1
ENSG00000233093	LINC00892	chrX	+	136639535	136642433	0.956	0.566	0.86	-0.124	0.944	1	-1.62	0.402	
ENSG00000102243	VGLL1	chrX	+	136532215	136556807	0.694	0.153	0.628	-0.0212	0.965	1	0.0474	0.922	1
ENSG00000165359	INTS6L	chrX	+	135520659	135582510	-0.2	0.29	0.71	-0.0467	0.801	1	0.0118	0.949	1
ENSG00000178947	SMIM10L2A	chrX	+	135421944	135428075	0.537	0.208	0.66	0.4	0.345	1	0.202	0.636	1
ENSG00000173275	ZNF449	chrX	+	135344796	135363413	-0.182	0.29	0.71	-0.0854	0.617	1	-0.0211	0.901	1
ENSG00000169551	CT55	chrX	-	135156540	135171398	1.33	0.362	0.751	-0.559	0.738	1	-0.213	0.894	1
ENSG00000203950	RTL8A	chrX	-	135050932	135052196	-0.133	0.54	0.847	0.306	0.153	1	0.233	0.276	1
ENSG00000184785	SMIM10	chrX	+	134990991	134992473	-0.248	0.608	0.879	0.00865	0.985	1	0.132	0.774	1
ENSG00000101928	MOSPD1	chrX	-	134887632	134915257	0.0131	0.935	0.992	0.0291	0.856	1	-0.0559	0.728	1
ENSG00000156504	PABIR2	chrX	-	134769566	134797232	-0.181	0.0986	0.597	-0.168	0.121	1	-0.116	0.283	1
ENSG00000170965	PLAC1	chrX	-	134565838	134764322	0.605	0.535	0.845	0.777	0.414	1	0.618	0.517	1
ENSG00000156531	PHF6	chrX	+	134373288	134428791	-0.146	0.453	0.8	0.00312	0.987	1	0.0512	0.792	1
ENSG00000147257	GPC3	chrX	-	133535745	133987100	0.067	0.82	0.946	-0.149	0.613	1	0.0478	0.87	1
ENSG00000076770	MBNL3	chrX	-	132369320	132489968	0.893	0.13	0.613	-0.272	0.645	1	-0.0633	0.915	1
ENSG00000134602	STK26	chrX	+	132023302	132075943	0.142	0.269	0.701	0.108	0.398	1	0.0825	0.518	1
ENSG00000213468	FIRRE	chrX	-	131688779	131830862	0.372	0.181	0.645	-0.236	0.398	1	-0.0431	0.877	1
ENSG00000147256	ARHGAP36	chrX	+	131058346	131089885	2.04	0.428		1.78	0.492		0.748	0.778	
ENSG00000102078	SLC25A14	chrX	+	130339888	130373361	-0.15	0.392	0.77	-0.0107	0.95	1	0.0314	0.854	1
ENSG00000085185	BCORL1	chrX	+	129981107	130058071	0.734	0.105	0.6	-0.0995	0.826	1	0.0395	0.93	1
ENSG00000188706	ZDHHC9	chrX	-	129803288	129843909	-0.00655	0.956	0.993	0.0647	0.581	1	0.0331	0.777	1
ENSG00000198354	DCAF12L2	chrX	-	126163499	126166289	1.94	0.181	0.645	0.359	0.822	1	1.05	0.484	1
ENSG00000009694	TENM1	chrX	-	124375903	125204312	-0.751	0.117	0.607	-0.327	0.485	1	-0.0867	0.852	1
ENSG00000101966	XIAP	chrX	+	123859712	123913972	0.124	0.386	0.765	-0.1	0.485	1	-0.0853	0.551	1
ENSG00000125676	THOC2	chrX	-	123600561	123733056	0.00189	0.99	0.998	-0.202	0.169	1	-0.147	0.318	1
ENSG00000125675	GRIA3	chrX	+	123184153	123490915	-3.21	0.0247	0.589	0.183	0.838	1	0.163	0.855	1
ENSG00000171155	C1GALT1C1	chrX	-	120625674	120630054	0.017	0.921	0.987	-0.0386	0.822	1	-0.195	0.255	1
ENSG00000158290	CUL4B	chrX	-	120505920	120604074	-0.056	0.725	0.92	0.023	0.885	1	0.0168	0.916	1
ENSG00000005893	LAMP2	chrX	-	120426148	120469365	0.0213	0.839	0.953	0.0236	0.822	1	-0.0692	0.51	1
ENSG00000125355	TMEM255A	chrX	-	120258650	120311556	-0.514	0.409	0.779	0.127	0.832	1	0.26	0.661	1
ENSG00000258545	RHOXF1-AS1	chrX	+	120036236	120146855	0.374	0.507	0.829	0.272	0.625	1	-0.404	0.492	1
ENSG00000125352	RNF113A	chrX	-	119870475	119871733	0.571	0.00864	0.589	0.0736	0.737	1	0.0833	0.703	1
ENSG00000286366		chrX	+	119791971	119810949	-0.661	0.498	0.825	-0.407	0.659	1	-0.942	0.332	1
ENSG00000125354	SEPTIN6	chrX	-	119615724	119693370	0.0735	0.304	0.719	0.0882	0.213	1	0.107	0.129	1
ENSG00000018610	STEEP1	chrX	-	119538149	119565409	0.431	0.104	0.6	0.0574	0.829	1	0.152	0.566	1
ENSG00000077721	UBE2A	chrX	+	119474802	119591083	0.5	0.0527	0.589	0.0505	0.845	1	0.00877	0.973	1
ENSG00000005022	SLC25A5	chrX	+	119468422	119471396	0.527	0.00786	0.589	0.197	0.32	1	0.179	0.367	1
ENSG00000224281	SLC25A5-AS1	chrX	-	119465986	119469128	-0.00611	0.989	0.998	-0.638	0.176	1	-0.305	0.5	1
ENSG00000237903		chrX	+	119422917	119423547	-2.13	0.12	0.609	1.27	0.247	1	-0.104	0.927	1
ENSG00000077713	SLC25A43	chrX	+	119399336	119454478	-0.255	0.39	0.768	0.298	0.309	1	0.124	0.672	1
ENSG00000175556	LONRF3	chrX	+	118974614	119018355	0.21	0.791	0.938	-0.553	0.508	1	-0.0487	0.951	1
ENSG00000235244	DANT2	chrX	-	115694880	115969148	-0.506	0.0378	0.589	-0.122	0.606	1	-0.172	0.466	1
ENSG00000102024	PLS3	chrX	+	115561174	115650861	0.0887	0.469	0.809	0.122	0.319	1	-0.0108	0.929	1
ENSG00000288595		chrX	+	114040388	114056276	0.597	0.74	0.923	2.56	0.116	1	0.705	0.686	1
ENSG00000286767		chrX	+	113157873	113188018	-2.04	0.331	0.735	-1.47	0.468	1	-2.37	0.259	1
ENSG00000077279	DCX	chrX	-	111293779	111412429	-0.632	0.253	0.691	0.164	0.745	1	0.2	0.688	1
ENSG00000133136	GNG5B	chrX	-	110346103	110440372	2.02	0.414		2.84	0.23	1	0	1	
ENSG00000224142	AMMECR1-IT1	chrX	-	110305420	110307221	0.619	0.439	0.792	0.268	0.739	1	0.425	0.592	1
ENSG00000157600	TMEM164	chrX	+	110002631	110182734	0.0549	0.606	0.878	0.0636	0.547	1	0.0157	0.881	1
ENSG00000289365		chrX	+	109733479	109734864	-0.631	0.443	0.794	0.000258	1	1	0.239	0.753	1
ENSG00000068366	ACSL4	chrX	-	109624244	109733403	0.533	0.00805	0.589	0.118	0.557	1	0.0878	0.662	1
ENSG00000101890	GUCY2F	chrX	-	109372906	109482086	-0.834	0.417	0.782	-0.676	0.491	1	-0.929	0.352	1
ENSG00000237863	IRS4-AS1	chrX	+	108736011	108739223	-2.24	0.0409	0.589	-1.64	0.0963	1	-0.652	0.47	1
ENSG00000197565	COL4A6	chrX	-	108155607	108439497	-0.29	0.254	0.692	0.13	0.607	1	-0.0447	0.86	1
ENSG00000101844	ATG4A	chrX	+	108091668	108154671	0.159	0.298	0.716	-0.0356	0.815	1	0.103	0.494	1
ENSG00000080561	MID2	chrX	+	107825755	107931637	-0.313	0.451	0.799	0.085	0.837	1	0.243	0.554	1
ENSG00000198088	NUP62CL	chrX	-	107123427	107206433	0.187	0.641	0.891	0.135	0.735	1	0.0277	0.944	1
ENSG00000165376	CLDN2	chrX	+	106900164	106930861	0.842	0.579	0.865	-0.745	0.663	1	0.803	0.59	1
ENSG00000147223	RIPPLY1	chrX	-	106900063	106903341	0.115	0.972		-0.115	0.972		-0.214	0.948	
ENSG00000133131	MORC4	chrX	-	106813871	107000212	0.793	0.0466	0.589	0.121	0.762	1	0.07	0.86	1
ENSG00000133138	TBC1D8B	chrX	+	106802673	106876150	0.0882	0.59	0.872	0.0402	0.804	1	-0.0182	0.911	1
ENSG00000133135	RNF128	chrX	+	106693794	106797016	1.06	0.0539	0.589	-0.0436	0.937	1	-0.0268	0.961	1
ENSG00000157502	PWWP3B	chrX	+	106168305	106208956	0.816	0.0623	0.589	-0.163	0.71	1	-0.014	0.974	1
ENSG00000189108	IL1RAPL2	chrX	+	104566199	105767829	1.32	0.0844	0.591	-0.507	0.551	1	0.916	0.231	1
ENSG00000166707	ZCCHC18	chrX	+	104112131	104115842	-1.48	0.067	0.589	0.298	0.68	1	0.253	0.725	1
ENSG00000269226	TMSB15C	chrX	-	104063871	104076236	0.0107	0.981	0.996	0.334	0.458	1	0.182	0.685	1
ENSG00000231728	TMSB15B-AS1	chrX	-	103845151	103919548	-1.13	0.111	0.605	-0.318	0.637	1	-0.241	0.719	1
ENSG00000172476	RAB40A	chrX	-	103499130	103519489	0.151	0.826	0.949	-0.586	0.413	1	-0.27	0.696	1
ENSG00000234405		chrX	+	103486461	103517919	-0.517	0.169	0.637	-0.159	0.652	1	-0.00386	0.991	1
ENSG00000185222	TCEAL9	chrX	+	103356489	103358462	-0.374	0.119	0.608	0.02	0.933	1	0.0118	0.961	1
ENSG00000182916	TCEAL7	chrX	+	103330229	103332326	-0.43	0.206	0.66	0.123	0.715	1	0.0683	0.84	1
ENSG00000133134	BEX2	chrX	-	103309346	103311007	0.249	0.147	0.627	0.173	0.309	1	0.0621	0.715	1
ENSG00000286846		chrX	+	102945971	102952039	-0.254	0.43	0.788	-0.196	0.533	1	-0.0965	0.755	1
ENSG00000286237		chrX	+	102712495	102753530	-0.497	0.58	0.866	0.43	0.627	1	0.46	0.603	1
ENSG00000158301	GPRASP2	chrX	+	102712445	102717733	-0.21	0.433	0.79	0.202	0.443	1	0.0343	0.897	1
ENSG00000125962	ARMCX5	chrX	+	102599168	102604159	-0.00536	0.976	0.994	0.0281	0.872	1	0.1	0.563	1
ENSG00000184867	ARMCX2	chrX	-	101655281	101659850	0.0321	0.719	0.918	0.0318	0.719	1	0.121	0.169	1
ENSG00000228275	ARMCX3-AS1	chrX	-	101622983	101624164	0.167	0.933	0.991	-2.62	0.226		0.874	0.646	1
ENSG00000102401	ARMCX3	chrX	+	101622797	101627843	-0.0321	0.77	0.933	0.00489	0.964	1	-0.0213	0.846	1
ENSG00000290908		chrX	+	101598017	101598671	0.498	0.886	0.974	-1.63	0.641	1	-6.23	0.0889	
ENSG00000010671	BTK	chrX	-	101349338	101390796	0.72	0.202	0.657	-0.117	0.836	1	-0.112	0.842	1
ENSG00000102384	CENPI	chrX	+	101098188	101166126	-0.319	0.304	0.719	0.0363	0.907	1	-0.0374	0.904	1
ENSG00000204086	RPA4	chrX	+	96883908	96885467	-0.291	0.762	0.93	-0.599	0.536	1	-0.408	0.667	1
ENSG00000147202	DIAPH2	chrX	+	96684712	97604997	0.03	0.825	0.948	-0.0418	0.756	1	-0.00461	0.973	1
ENSG00000286523		chrX	-	96127747	96372889	-0.837	0.79	0.938	0.132	0.966	1	-2.13	0.498	
ENSG00000186310	NAP1L3	chrX	-	93670930	93673578	-0.632	0.249	0.688	-0.0594	0.913	1	0.00557	0.992	1
ENSG00000289479		chrX	-	92100276	92104768	0.000189	1	1	0.166	0.57	1	0.246	0.394	1
ENSG00000234161	PABPC5-AS1	chrX	-	91414878	91434999	0.00189	0.999	1	-0.167	0.939	1	-1.13	0.616	1
ENSG00000184788	SATL1	chrX	-	85092284	85243911	-0.538	0.328	0.733	-0.382	0.469	1	-0.244	0.637	1
ENSG00000072133	RPS6KA6	chrX	-	84058346	84206356	0.0815	0.536	0.845	0.081	0.534	1	-0.0327	0.802	1
ENSG00000196767	POU3F4	chrX	+	83508290	83512127	0.115	0.966		0.669	0.801	1	1.21	0.637	
ENSG00000131171	SH3BGRL	chrX	+	81202102	81298547	-0.218	0.319	0.729	0.124	0.567	1	0.0589	0.786	1
ENSG00000147255	IGSF1	chrX	-	131273506	131578899	-0.526	0.281	0.706	-0.178	0.7	1	0.191	0.667	1
ENSG00000198157	HMGN5	chrX	-	81113699	81201913	-0.214	0.479	0.815	0.0262	0.929	1	0.0609	0.835	1
ENSG00000165288	BRWD3	chrX	-	80669503	80809877	-0.0532	0.505	0.829	-0.0473	0.552	1	-0.0884	0.266	1
ENSG00000122145	TBX22	chrX	+	80014753	80031774	-2.56	0.1	0.597	0.48	0.666	1	-0.125	0.913	1
ENSG00000078596	ITM2A	chrX	-	79360384	79367667	-0.199	0.506	0.829	0.123	0.677	1	-0.00399	0.989	1
ENSG00000102158	MAGT1	chrX	-	77825747	77899271	0.313	0.105	0.6	-0.0958	0.62	1	-0.104	0.591	1
ENSG00000198934	MAGEE1	chrX	+	76427710	76431342	-0.306	0.325	0.731	-0.232	0.451	1	-0.0462	0.88	1
ENSG00000102390	PBDC1	chrX	+	76173040	76178314	0.013	0.93	0.99	0.115	0.433	1	0.123	0.398	1
ENSG00000094841	UPRT	chrX	+	75156388	75304885	-0.144	0.441	0.793	-0.0669	0.718	1	-0.00219	0.991	1
ENSG00000147100	SLC16A2	chrX	+	74421493	74533917	-0.138	0.536	0.845	0.0873	0.69	1	0.17	0.433	1
ENSG00000225470	JPX	chrX	+	73944182	74070408	-0.408	0.0221	0.589	-0.134	0.45	1	-0.137	0.441	1
ENSG00000229807	XIST	chrX	-	73820649	73852723	-0.636	0.565	0.86	-0.864	0.434	1	-0.175	0.866	1
ENSG00000186288	PABPC1L2A	chrX	-	73077276	73079512	-0.411	0.805	0.941	-0.348	0.83	1	0.0979	0.95	1
ENSG00000269502	DMRTC1	chrX	-	72872025	72943837	0.481	0.829	0.95	0.145	0.948	1	-0.661	0.77	
ENSG00000269911	FAM226B	chrX	+	72777608	72779097	-0.41	0.178	0.644	0.0472	0.868	1	-0.348	0.234	1
ENSG00000147099	HDAC8	chrX	-	72329516	72573101	-0.265	0.0791	0.589	-0.0697	0.641	1	-0.0259	0.862	1
ENSG00000198034	RPS4X	chrX	-	72255679	72277248	0.305	0.0446	0.589	0.158	0.299	1	0.152	0.316	1
ENSG00000186871	ERCC6L	chrX	-	72204657	72239027	0.122	0.515	0.834	-0.122	0.516	1	-0.0588	0.753	1
ENSG00000102309	PIN4	chrX	+	72181353	72302926	-0.0212	0.91	0.983	0.22	0.232	1	0.229	0.214	1
ENSG00000204131	NHSL2	chrX	+	71910845	72161750	-0.266	0.0786	0.589	-0.0689	0.648	1	0.018	0.905	1
ENSG00000215113	CXorf49B	chrX	+	71763349	71767204	-1.69	0.512		-0.173	0.945	1	0.808	0.737	1
ENSG00000281852	LINC00891	chrX	+	71697196	71706455	0.357	0.305	0.719	0.457	0.177	1	0.443	0.188	1
ENSG00000283599		chrX	+	71667542	71671527	0.23	0.915	0.985	-0.952	0.673	1	-1.05	0.641	1
ENSG00000147133	TAF1	chrX	+	71366222	71532374	-0.0941	0.43	0.788	-0.121	0.309	1	-0.0711	0.549	1
ENSG00000147140	NONO	chrX	+	71254814	71301522	0.0584	0.339	0.738	0.047	0.441	1	0.0957	0.115	1
ENSG00000196338	NLGN3	chrX	+	71144821	71175255	0.134	0.607	0.878	-0.192	0.461	1	-0.0189	0.942	1
ENSG00000184634	MED12	chrX	+	71118543	71144103	0.151	0.272	0.701	-0.0122	0.929	1	0.0325	0.813	1
ENSG00000147168	IL2RG	chrX	-	71107404	71112108	-2.32	0.357		-0.357	0.882	1	-0.137	0.954	1
ENSG00000184481	FOXO4	chrX	+	71095851	71103532	0.745	0.0544	0.589	0.14	0.717	1	0.166	0.668	1
ENSG00000165349	SLC7A3	chrX	-	70925579	70931125	0.678	0.101	0.598	-0.336	0.431	1	0.266	0.521	1
ENSG00000120509	PDZD11	chrX	-	70281118	70290514	-0.0422	0.85	0.958	0.229	0.303	1	0.229	0.303	1
ENSG00000089289	IGBP1	chrX	+	70133447	70166324	-0.00372	0.972	0.993	0.0388	0.71	1	0.0678	0.514	1
ENSG00000158813	EDA	chrX	+	69616067	70039472	-0.0195	0.966	0.993	-0.00549	0.99	1	0.0875	0.849	1
ENSG00000181704	YIPF6	chrX	+	68498562	68537282	0.299	0.137	0.62	-0.0404	0.841	1	-0.0489	0.808	1
ENSG00000289038		chrX	-	68498309	68498989	0.102	0.921	0.987	-0.444	0.671	1	-0.418	0.687	1
ENSG00000089472	HEPH	chrX	+	66162671	66268867	-0.303	0.0653	0.589	-0.0357	0.828	1	-0.0342	0.835	1
ENSG00000274536	MIR223HG	chrX	+	66015414	66020426	-3.33	0.0546	0.589	-1.19	0.436	1	-1.78	0.273	1
ENSG00000198881	ASB12	chrX	-	64224194	64230607	1.73	0.235	0.677	1.87	0.193	1	0.776	0.61	1
ENSG00000184675	AMER1	chrX	-	64185117	64205708	-0.161	0.365	0.753	0.137	0.427	1	0.0753	0.662	1
ENSG00000186767	SPIN4	chrX	-	63347228	63351332	-0.0434	0.768	0.932	0.0407	0.78	1	0.0385	0.792	1
ENSG00000235437	LINC01278	chrX	-	63222993	63561095	-0.271	0.044	0.589	-0.068	0.61	1	0.0256	0.847	1
ENSG00000198205	ZXDA	chrX	-	57905430	57910458	-0.269	0.259	0.696	0.209	0.363	1	0.243	0.289	1
ENSG00000147059	SPIN2A	chrX	-	57134530	57137523	-0.251	0.56	0.857	-0.443	0.301	1	0.0654	0.872	1
ENSG00000186787	SPIN2B	chrX	-	57118551	57121548	0.0311	0.885	0.973	-0.116	0.587	1	0.0548	0.795	1
ENSG00000102349	KLF8	chrX	+	56232356	56291531	-0.325	0.00225	0.589	-0.188	0.0756	1	-0.109	0.302	1
ENSG00000227486		chrX	+	55908123	56209271	-0.734	0.0214	0.589	-0.0466	0.882	1	-0.208	0.506	1
ENSG00000083750	RRAGB	chrX	+	55717749	55758774	-0.314	0.0603	0.589	0.0095	0.954	1	0.0603	0.71	1
ENSG00000247746	USP51	chrX	-	55484616	55489848	-0.284	0.191	0.651	-0.0353	0.866	1	-0.129	0.539	1
ENSG00000182518	FAM104B	chrX	-	55143102	55161310	-0.0231	0.921	0.987	0.225	0.313	1	0.277	0.211	1
ENSG00000130119	GNL3L	chrX	+	54530183	54621521	0.00438	0.96	0.993	-0.00335	0.969	1	-0.0384	0.655	1
ENSG00000196632	WNK3	chrX	-	54192823	54358642	-0.35	0.15	0.628	-0.012	0.96	1	0.0073	0.976	1
ENSG00000184083	FAM120C	chrX	-	54068324	54183281	-0.303	0.159	0.63	-0.119	0.574	1	-0.053	0.801	1
ENSG00000158423	RIBC1	chrX	+	53422690	53431120	0.109	0.879	0.971	0.185	0.791	1	-0.325	0.654	1
ENSG00000235262	KDM5C-IT1	chrX	-	53212408	53214679	0.21	0.765	0.931	-0.315	0.661	1	0.0424	0.951	1
ENSG00000126012	KDM5C	chrX	-	53176283	53225422	0.239	0.147	0.627	0.0211	0.898	1	0.00598	0.971	1
ENSG00000232593	KANTR	chrX	+	53094142	53170914	-0.156	0.361	0.75	-0.381	0.0255	1	-0.246	0.147	1
ENSG00000184205	TSPYL2	chrX	+	53082367	53088540	0.374	0.321	0.729	-0.264	0.485	1	0.0343	0.928	1
ENSG00000179222	MAGED1	chrX	+	51803007	51902354	0.223	0.032	0.589	0.132	0.206	1	0.0433	0.677	1
ENSG00000189369	GSPT2	chrX	+	51743442	51746232	-0.186	0.239	0.681	-0.114	0.463	1	0.0351	0.821	1
ENSG00000223591	CENPVL1	chrX	+	51710512	51712131	-1.37	0.457	0.802	0.256	0.872	1	-0.728	0.673	1
ENSG00000283093	CENPVL2	chrX	-	51681212	51682831	-1.37	0.533	0.844	-1.6	0.466	1	-0.294	0.885	1
ENSG00000224109	CENPVL3	chrX	-	51617020	51618912	-0.234	0.698	0.912	0.482	0.4	1	-0.0999	0.865	1
ENSG00000226530		chrX	+	51395915	51465839	0.633	0.395	0.771	0.981	0.17	1	0.863	0.228	1
ENSG00000230317	LINC01284	chrX	-	51095836	51224432	-1.66	0.147	0.627	-0.694	0.468	1	-1.22	0.226	1
ENSG00000158352	SHROOM4	chrX	-	50586796	50814302	-0.499	0.169	0.637	0.0735	0.839	1	-0.0267	0.941	1
ENSG00000274588	DGKK	chrX	-	50365409	50470825	-0.285	0.334	0.736	-0.0217	0.941	1	0.0766	0.793	1
ENSG00000270012		chrX	+	49273054	49275768	-0.16	0.474	0.812	0.0678	0.754	1	0.0127	0.953	1
