gene_ID	hgnc_symbol	chr	strand	start	end	NCOA3_CE_log2FoldChange	NCOA3_CE_pvalue	NCOA3_CE_padj	NCOA3_KO_log2FoldChange	NCOA3_KO_pvalue	NCOA3_KO_padj	NCOA3_PTC_log2FoldChange	NCOA3_PTC_pvalue	NCOA3_PTC_padj
ENSG00000130822	PNCK	chrX	-	153669733	153689010	0.467	0.367	0.865	0.946	0.0636	0.434	0.0705	0.891	1
ENSG00000067842	ATP2B3	chrX	+	153517642	153582939	0.168	0.413	0.882	0.342	0.0919	0.503	0.149	0.465	1
ENSG00000214897	PNMA6E	chrX	-	153395639	153401392	-0.0261	0.989		-0.898	0.657		-0.0216	0.991	
ENSG00000183837	PNMA3	chrX	+	153056409	153060467	1.38	0.178		1.02	0.32		2.17	0.0263	1
ENSG00000147383	NSDHL	chrX	+	152830967	152869729	-0.161	0.335	0.853	-0.222	0.18	0.633	-0.00949	0.954	1
ENSG00000147400	CETN2	chrX	-	152826994	152830757	-0.0911	0.36	0.863	-0.248	0.0138	0.228	-0.105	0.29	1
ENSG00000160131	VMA21	chrX	+	151396515	151409364	-0.13	0.404	0.88	-0.242	0.118	0.547	-0.0751	0.627	1
ENSG00000029993	HMGB3	chrX	+	150980509	150990771	0.0529	0.808	0.973	0.0592	0.784	0.954	-0.141	0.514	1
ENSG00000102181	CD99L2	chrX	-	150766336	150898816	0.0699	0.641	0.945	-0.0566	0.705	0.933	0.0583	0.696	1
ENSG00000063601	MTMR1	chrX	+	150692971	150765108	-0.0127	0.853	0.98	-0.146	0.0344	0.336	-0.0112	0.87	1
ENSG00000013619	MAMLD1	chrX	+	150361422	150514178	-1.69	0.39		-0.669	0.72		-0.534	0.772	
ENSG00000269556	TMEM185A	chrX	-	149596556	149631912	0.224	0.112	0.661	0.229	0.104	0.525	0.172	0.222	1
ENSG00000241769	EOLA1-DT	chrX	-	149527591	149540959	-0.2	0.589	0.932	-0.192	0.607	0.895	-0.324	0.388	1
ENSG00000287796		chrX	+	147879361	147885249	-1.61	0.389		-1.86	0.318		-1.79	0.334	
ENSG00000277215	SPANXA2-OT1	chrX	+	141177284	141649927	2.46	0.169		1.48	0.43		-0.0123	0.995	
ENSG00000182195	LDOC1	chrX	-	141111605	141177129	-0.0216	0.867	0.983	-0.182	0.159	0.605	0.0434	0.734	1
ENSG00000129682	FGF13	chrX	-	138614727	139222777	-0.0123	0.968	0.997	-0.395	0.198	0.651	-0.103	0.735	1
ENSG00000291054		chrX	+	136909369	137069407	-0.578	0.297		-0.454	0.41		0.371	0.461	1
ENSG00000233093	LINC00892	chrX	+	136639535	136642433	0.573	0.615		-1	0.475		0.798	0.472	
ENSG00000102243	VGLL1	chrX	+	136532215	136556807	-0.192	0.148	0.712	-0.126	0.334	0.762	-0.0607	0.644	1
ENSG00000165359	INTS6L	chrX	+	135520659	135582510	-0.0771	0.747	0.962	-0.306	0.202	0.655	-0.194	0.417	1
ENSG00000178947	SMIM10L2A	chrX	+	135421944	135428075	-0.664	0.178		-0.901	0.0794		-0.228	0.629	1
ENSG00000173275	ZNF449	chrX	+	135344796	135363413	0.364	0.11	0.657	0.0908	0.691	0.928	0.0695	0.761	1
ENSG00000169551	CT55	chrX	-	135156540	135171398	-1.32	0.596		0.99	0.678		1.91	0.404	
ENSG00000203950	RTL8A	chrX	-	135050932	135052196	-0.0463	0.755	0.964	-0.0486	0.742	0.944	0.0124	0.933	1
ENSG00000184785	SMIM10	chrX	+	134990991	134992473	0.0828	0.857		-0.227	0.632		0.152	0.74	1
ENSG00000101928	MOSPD1	chrX	-	134887632	134915257	-0.273	0.186	0.747	-0.067	0.743	0.944	-0.235	0.251	1
ENSG00000156504	PABIR2	chrX	-	134769566	134797232	-0.0411	0.69	0.954	-0.0742	0.471	0.839	-0.0276	0.788	1
ENSG00000170965	PLAC1	chrX	-	134565838	134764322	-0.552	0.423		0.0887	0.892		-0.681	0.331	1
ENSG00000156531	PHF6	chrX	+	134373288	134428791	-0.135	0.388	0.875	-0.375	0.0162	0.246	-0.0918	0.556	1
ENSG00000147257	GPC3	chrX	-	133535745	133987100	0.292	0.546	0.924	1.1	0.0189	0.26	0.313	0.515	1
ENSG00000076770	MBNL3	chrX	-	132369320	132489968	-0.148	0.2	0.758	-0.333	0.00354	0.113	-0.127	0.267	1
ENSG00000134602	STK26	chrX	+	132023302	132075943	-0.177	0.206	0.765	-0.178	0.199	0.652	-0.199	0.151	1
ENSG00000213468	FIRRE	chrX	-	131688779	131830862	0.163	0.345	0.857	0.163	0.342	0.769	0.000384	0.998	1
ENSG00000147256	ARHGAP36	chrX	+	131058346	131089885	1.4	0.289		0.356	0.796		0.59	0.664	1
ENSG00000102078	SLC25A14	chrX	+	130339888	130373361	0.392	0.0506	0.523	-0.177	0.39	0.795	0.00108	0.996	1
ENSG00000085185	BCORL1	chrX	+	129981107	130058071	-0.14	0.247	0.8	-0.0764	0.524	0.861	-0.0291	0.808	1
ENSG00000188706	ZDHHC9	chrX	-	129803288	129843909	-0.131	0.164	0.736	0.0226	0.808	0.961	0.0561	0.547	1
ENSG00000198354	DCAF12L2	chrX	-	126163499	126166289	0.863	0.679		-0.00664	0.998		1.47	0.46	1
ENSG00000009694	TENM1	chrX	-	124375903	125204312	-0.147	0.752		-0.23	0.629		0.279	0.539	1
ENSG00000282419	TEX13D	chrX	+	124246249	124336863	-1.95	0.434		-0.899	0.716		-0.922	0.709	
ENSG00000101966	XIAP	chrX	+	123859712	123913972	-0.00678	0.926	0.989	-0.0313	0.665	0.917	-0.081	0.265	1
ENSG00000125676	THOC2	chrX	-	123600561	123733056	-0.0264	0.781	0.97	-0.0146	0.877	0.976	-0.0861	0.361	1
ENSG00000171155	C1GALT1C1	chrX	-	120625674	120630054	-0.0585	0.72	0.959	-0.199	0.224	0.677	-0.0567	0.728	1
ENSG00000158290	CUL4B	chrX	-	120505920	120604074	0.0465	0.579	0.93	0.0807	0.331	0.759	-0.0135	0.871	1
ENSG00000005893	LAMP2	chrX	-	120426148	120469365	-0.0137	0.868	0.983	0.0223	0.784	0.955	0.0182	0.824	1
ENSG00000125355	TMEM255A	chrX	-	120258650	120311556	0.223	0.835		-1.42	0.304		0.362	0.734	1
ENSG00000258545	RHOXF1-AS1	chrX	+	120036236	120146855	-0.382	0.622		-0.265	0.73		-0.719	0.366	1
ENSG00000125352	RNF113A	chrX	-	119870475	119871733	0.299	0.21	0.772	0.357	0.13	0.564	0.299	0.206	1
ENSG00000286366		chrX	+	119791971	119810949	0.553	0.578		0.812	0.404		-0.354	0.749	1
ENSG00000125354	SEPTIN6	chrX	-	119615724	119693370	-0.0453	0.559	0.927	-0.182	0.0183	0.254	-0.0825	0.285	1
ENSG00000018610	STEEP1	chrX	-	119538149	119565409	-0.0812	0.444	0.894	0.0778	0.459	0.832	0.00819	0.938	1
ENSG00000077721	UBE2A	chrX	+	119474802	119591083	-0.193	0.111	0.66	-0.0831	0.487	0.845	-0.0516	0.666	1
ENSG00000005022	SLC25A5	chrX	+	119468422	119471396	-0.178	0.0826	0.604	-0.126	0.214	0.667	-0.0312	0.759	1
ENSG00000224281	SLC25A5-AS1	chrX	-	119465986	119469128	0.665	0.212		0.155	0.782		0.787	0.137	1
ENSG00000237903		chrX	+	119422917	119423547	-1.39	0.535		0.791	0.698		-0.257	0.904	
ENSG00000077713	SLC25A43	chrX	+	119399336	119454478	0.196	0.308	0.837	0.115	0.549	0.871	0.268	0.16	1
ENSG00000175556	LONRF3	chrX	+	118974614	119018355	-0.957	0.0176	0.367	-0.537	0.164	0.613	-0.465	0.222	1
ENSG00000235244	DANT2	chrX	-	115694880	115969148	0.651	0.0291	0.439	-0.172	0.588	0.886	0.341	0.261	1
ENSG00000102024	PLS3	chrX	+	115561174	115650861	-0.0243	0.772	0.968	0.122	0.141	0.582	0.0223	0.789	1
ENSG00000288595		chrX	+	114040388	114056276	-1.51	0.193		-3.52	0.0195		-0.746	0.49	1
ENSG00000077279	DCX	chrX	-	111293779	111412429	0.381	0.691		-0.201	0.841		-0.777	0.473	1
ENSG00000224142	AMMECR1-IT1	chrX	-	110305420	110307221	0.357	0.631		-0.27	0.731		-0.149	0.847	1
ENSG00000157600	TMEM164	chrX	+	110002631	110182734	-0.118	0.364	0.864	-0.271	0.0369	0.345	-0.0748	0.563	1
ENSG00000289365		chrX	+	109733479	109734864	-0.542	0.584		-0.899	0.382		-0.883	0.389	1
ENSG00000068366	ACSL4	chrX	-	109624244	109733403	-0.135	0.387	0.874	0.124	0.422	0.814	-0.0939	0.545	1
ENSG00000101890	GUCY2F	chrX	-	109372906	109482086	-0.975	0.5		0.797	0.49		0.595	0.613	1
ENSG00000237863	IRS4-AS1	chrX	+	108736011	108739223	1.46	0.419		2.47	0.144		1.89	0.278	
ENSG00000197565	COL4A6	chrX	-	108155607	108439497	0.112	0.411	0.881	0.0498	0.714	0.936	0.0911	0.503	1
ENSG00000101844	ATG4A	chrX	+	108091668	108154671	-0.251	0.0417	0.497	-0.17	0.165	0.615	-0.0894	0.463	1
ENSG00000080561	MID2	chrX	+	107825755	107931637	-0.0439	0.913	0.987	0.169	0.669		-0.204	0.616	1
ENSG00000198088	NUP62CL	chrX	-	107123427	107206433	-0.753	0.0637	0.564	-0.579	0.15		-0.174	0.654	1
ENSG00000165376	CLDN2	chrX	+	106900164	106930861	-1.32	0.497		1.07	0.525		-2.02	0.298	
ENSG00000147223	RIPPLY1	chrX	-	106900063	106903341	-0.975	0.372		-0.58	0.58		-0.598	0.568	1
ENSG00000133131	MORC4	chrX	-	106813871	107000212	0.0576	0.742	0.961	0.423	0.0145	0.234	0.117	0.498	1
ENSG00000133138	TBC1D8B	chrX	+	106802673	106876150	-0.0802	0.585	0.932	0.0943	0.516	0.858	0.00493	0.973	1
ENSG00000133135	RNF128	chrX	+	106693794	106797016	-0.0449	0.759	0.964	0.0791	0.585	0.886	-0.008	0.956	1
ENSG00000157502	PWWP3B	chrX	+	106168305	106208956	-0.157	0.183	0.747	-0.246	0.0358	0.34	-0.0512	0.661	1
ENSG00000189108	IL1RAPL2	chrX	+	104566199	105767829	-0.615	0.119	0.672	0.0969	0.793	0.958	-0.449	0.247	1
ENSG00000166707	ZCCHC18	chrX	+	104112131	104115842	1.44	0.311		0.654	0.657		1.37	0.334	
ENSG00000269226	TMSB15C	chrX	-	104063871	104076236	2.33	0.0136		2.85	0.00213		2.25	0.017	1
ENSG00000231728	TMSB15B-AS1	chrX	-	103845151	103919548	0.735	0.476		1.23	0.222		0.442	0.675	1
ENSG00000172476	RAB40A	chrX	-	103499130	103519489	1.38	0.33		0.821	0.573		1.41	0.317	
ENSG00000234405		chrX	+	103486461	103517919	-0.103	0.895		0.261	0.731		-0.419	0.603	1
ENSG00000185222	TCEAL9	chrX	+	103356489	103358462	-0.0102	0.955	0.995	-0.153	0.398	0.8	-0.136	0.452	1
ENSG00000182916	TCEAL7	chrX	+	103330229	103332326	0.291	0.53	0.92	-0.0402	0.931	0.988	0.291	0.528	1
ENSG00000133134	BEX2	chrX	-	103309346	103311007	-0.0294	0.834	0.977	-0.278	0.0513	0.399	-0.255	0.0732	1
ENSG00000147206	NXF3	chrX	-	103075810	103093143	0.0735	0.984		-0.956	0.786		0.0188	0.996	
ENSG00000286846		chrX	+	102945971	102952039	0.142	0.747	0.962	-0.215	0.634	0.905	-0.0344	0.938	1
ENSG00000286237		chrX	+	102712495	102753530	-0.957	0.444	0.894	-1.27	0.308		-1.59	0.204	1
ENSG00000158301	GPRASP2	chrX	+	102712445	102717733	0.117	0.468	0.898	-0.0366	0.822	0.965	-0.0783	0.63	1
ENSG00000125962	ARMCX5	chrX	+	102599168	102604159	0.113	0.472	0.9	-0.114	0.47	0.839	-0.00773	0.961	1
ENSG00000184867	ARMCX2	chrX	-	101655281	101659850	-0.0765	0.537	0.921	-0.12	0.329	0.758	-0.0251	0.838	1
ENSG00000228275	ARMCX3-AS1	chrX	-	101622983	101624164	-2.32	0.471		-1.04	0.745		-1.11	0.728	
ENSG00000102401	ARMCX3	chrX	+	101622797	101627843	-0.0953	0.214	0.773	-0.0704	0.356	0.777	-0.101	0.184	1
ENSG00000290908		chrX	+	101598017	101598671	-0.535	0.919		-11.5	0.0299		2.08	0.687	
ENSG00000010671	BTK	chrX	-	101349338	101390796	0.181	0.328	0.85	0.131	0.477	0.842	0.17	0.356	1
ENSG00000102384	CENPI	chrX	+	101098188	101166126	0.19	0.308	0.838	0.0491	0.792	0.958	0.169	0.363	1
ENSG00000204086	RPA4	chrX	+	96883908	96885467	-0.318	0.635		-0.634	0.36		-0.522	0.444	1
ENSG00000147202	DIAPH2	chrX	+	96684712	97604997	-0.208	0.273	0.814	-0.143	0.446	0.825	-0.227	0.227	1
ENSG00000286523		chrX	-	96127747	96372889	1.03	0.762		-0.946	0.782		0.0456	0.989	
ENSG00000186310	NAP1L3	chrX	-	93670930	93673578	0.0142	0.97	0.998	-0.165	0.665	0.917	-0.152	0.689	1
ENSG00000289479		chrX	-	92100276	92104768	-0.771	0.0547	0.537	-0.021	0.956	0.993	-0.794	0.0476	1
ENSG00000184788	SATL1	chrX	-	85092284	85243911	-0.0315	0.985		-0.598	0.735		-1.5	0.422	
ENSG00000072133	RPS6KA6	chrX	-	84058346	84206356	-0.122	0.372	0.867	-0.079	0.562	0.875	-0.152	0.267	1
ENSG00000131171	SH3BGRL	chrX	+	81202102	81298547	-0.121	0.356	0.861	-0.168	0.197	0.65	-0.152	0.243	1
ENSG00000147255	IGSF1	chrX	-	131273506	131578899	0.364	0.584		0.723	0.266		0.345	0.603	1
ENSG00000198157	HMGN5	chrX	-	81113699	81201913	0.118	0.62	0.941	-0.227	0.345	0.771	-0.0366	0.878	1
ENSG00000165288	BRWD3	chrX	-	80669503	80809877	-0.0814	0.454	0.897	-0.00609	0.955	0.993	-0.139	0.2	1
ENSG00000122145	TBX22	chrX	+	80014753	80031774	-1.47	0.725		-0.0072	0.999		-0.557	0.892	
ENSG00000078596	ITM2A	chrX	-	79360384	79367667	-0.175	0.391	0.876	0.103	0.606	0.895	-0.119	0.556	1
ENSG00000102158	MAGT1	chrX	-	77825747	77899271	-0.177	0.0291	0.439	-0.208	0.00969	0.195	-0.0798	0.321	1
ENSG00000198934	MAGEE1	chrX	+	76427710	76431342	-0.139	0.628	0.942	-0.304	0.295	0.736	-0.267	0.355	1
ENSG00000102390	PBDC1	chrX	+	76173040	76178314	-0.236	0.038	0.484	-0.263	0.0203	0.271	-0.0988	0.38	1
ENSG00000094841	UPRT	chrX	+	75156388	75304885	0.219	0.19	0.75	0.0573	0.734	0.942	-0.0869	0.609	1
ENSG00000147100	SLC16A2	chrX	+	74421493	74533917	0.0412	0.877	0.983	0.0536	0.839	0.968	-0.19	0.478	1
ENSG00000225470	JPX	chrX	+	73944182	74070408	0.17	0.324	0.848	0.0111	0.948	0.992	0.00498	0.977	1
ENSG00000229807	XIST	chrX	-	73820649	73852723	-1.44	0.343		-1.79	0.262		-3.75	0.0287	
ENSG00000186288	PABPC1L2A	chrX	-	73077276	73079512	-0.995	0.268		-0.442	0.61		-0.561	0.521	1
ENSG00000269502	DMRTC1	chrX	-	72872025	72943837	1.81	0.76		-0.0142	0.998		3.56	0.539	
ENSG00000269911	FAM226B	chrX	+	72777608	72779097	0.2	0.635		-0.464	0.305		0.0867	0.839	1
ENSG00000147099	HDAC8	chrX	-	72329516	72573101	0.0725	0.565	0.927	-0.0909	0.472	0.839	-0.0705	0.577	1
ENSG00000198034	RPS4X	chrX	-	72255679	72277248	-0.132	0.047	0.514	-0.126	0.0556	0.412	-0.0889	0.176	1
ENSG00000186871	ERCC6L	chrX	-	72204657	72239027	-0.0824	0.578	0.93	-0.195	0.19	0.646	-0.114	0.442	1
ENSG00000102309	PIN4	chrX	+	72181353	72302926	0.0175	0.905	0.987	-0.0432	0.768	0.951	-0.124	0.398	1
ENSG00000204131	NHSL2	chrX	+	71910845	72161750	-0.117	0.735	0.961	-0.293	0.398	0.8	-0.307	0.378	1
ENSG00000215113	CXorf49B	chrX	+	71763349	71767204	-0.00874	0.996		-1	0.582		-0.00421	0.998	
ENSG00000281852	LINC00891	chrX	+	71697196	71706455	0.576	0.318		0.449	0.445		1.24	0.0259	1
ENSG00000283599		chrX	+	71667542	71671527	-0.0512	0.982		2.85	0.158		1.82	0.399	
ENSG00000147133	TAF1	chrX	+	71366222	71532374	0.019	0.828	0.976	-0.0199	0.819	0.965	-0.0797	0.361	1
ENSG00000147140	NONO	chrX	+	71254814	71301522	-0.0325	0.556	0.927	-0.0747	0.172	0.624	-0.0292	0.593	1
ENSG00000196338	NLGN3	chrX	+	71144821	71175255	-0.245	0.363	0.864	-0.284	0.292	0.734	-0.572	0.0381	1
ENSG00000184634	MED12	chrX	+	71118543	71144103	-0.0875	0.222	0.779	-0.0789	0.267	0.714	-0.067	0.346	1
ENSG00000147168	IL2RG	chrX	-	71107404	71112108	1.33	0.731		0.918	0.812		-0.138	0.971	
ENSG00000184481	FOXO4	chrX	+	71095851	71103532	-0.384	0.000385	0.0538	-0.348	0.00116	0.061	-0.241	0.0245	1
ENSG00000165349	SLC7A3	chrX	-	70925579	70931125	-0.272	0.251	0.803	-0.168	0.473	0.84	-0.337	0.154	1
ENSG00000120509	PDZD11	chrX	-	70281118	70290514	-0.0303	0.828	0.976	-0.199	0.156	0.6	-0.0101	0.942	1
ENSG00000089289	IGBP1	chrX	+	70133447	70166324	-0.12	0.209	0.769	-0.00408	0.966	0.994	-0.127	0.18	1
ENSG00000158813	EDA	chrX	+	69616067	70039472	0.182	0.55	0.925	-0.14	0.655	0.913	0.328	0.277	1
ENSG00000181704	YIPF6	chrX	+	68498562	68537282	-0.0469	0.607	0.938	0.0105	0.908	0.983	0.00676	0.94	1
ENSG00000289038		chrX	-	68498309	68498989	0.492	0.511		0.79	0.28		0.777	0.288	1
ENSG00000089472	HEPH	chrX	+	66162671	66268867	0.176	0.273	0.815	0.0696	0.662	0.917	0.0103	0.948	1
ENSG00000274536	MIR223HG	chrX	+	66015414	66020426	0.756	0.484		-0.966	0.451		0.335	0.764	1
ENSG00000198881	ASB12	chrX	-	64224194	64230607	1.97	0.183		2.16	0.141		1.26	0.41	1
ENSG00000184675	AMER1	chrX	-	64185117	64205708	0.158	0.381	0.87	-0.159	0.383	0.792	0.0936	0.603	1
ENSG00000186767	SPIN4	chrX	-	63347228	63351332	0.0698	0.673	0.95	-0.00106	0.995	0.999	0.088	0.593	1
ENSG00000235437	LINC01278	chrX	-	63222993	63561095	-0.00569	0.968	0.997	0.0656	0.639	0.907	-0.0508	0.717	1
ENSG00000198205	ZXDA	chrX	-	57905430	57910458	0.0356	0.882	0.984	0.407	0.0832	0.482	0.0943	0.694	1
ENSG00000147059	SPIN2A	chrX	-	57134530	57137523	0.0107	0.984		-0.306	0.578		-0.844	0.143	1
ENSG00000186787	SPIN2B	chrX	-	57118551	57121548	-0.0641	0.77	0.967	-0.184	0.406	0.804	-0.21	0.344	1
ENSG00000102349	KLF8	chrX	+	56232356	56291531	0.135	0.29	0.824	0.102	0.422	0.814	-0.0797	0.532	1
ENSG00000227486		chrX	+	55908123	56209271	0.66	0.108	0.654	0.056	0.896	0.98	0.477	0.249	1
ENSG00000083750	RRAGB	chrX	+	55717749	55758774	0.18	0.366	0.865	0.073	0.715	0.936	0.0915	0.647	1
ENSG00000247746	USP51	chrX	-	55484616	55489848	0.364	0.136	0.696	-0.0502	0.841	0.968	0.236	0.336	1
ENSG00000182518	FAM104B	chrX	-	55143102	55161310	0.0475	0.82	0.974	0.112	0.588	0.886	-0.18	0.395	1
ENSG00000130119	GNL3L	chrX	+	54530183	54621521	-0.0523	0.639	0.944	-0.213	0.0542	0.408	-0.0161	0.885	1
ENSG00000196632	WNK3	chrX	-	54192823	54358642	-0.0241	0.872	0.983	-0.185	0.218	0.672	0.0134	0.928	1
ENSG00000184083	FAM120C	chrX	-	54068324	54183281	0.0181	0.927	0.989	0.303	0.118	0.548	0.16	0.414	1
ENSG00000158423	RIBC1	chrX	+	53422690	53431120	-0.822	0.383		0.265	0.76		0.396	0.643	1
ENSG00000235262	KDM5C-IT1	chrX	-	53212408	53214679	0.214	0.835		-2.25	0.123		-0.479	0.672	1
ENSG00000126012	KDM5C	chrX	-	53176283	53225422	-0.0523	0.58	0.931	-0.0159	0.865	0.974	0.0214	0.82	1
ENSG00000232593	KANTR	chrX	+	53094142	53170914	0.183	0.124	0.68	-0.0299	0.802	0.959	0.0309	0.796	1
ENSG00000184205	TSPYL2	chrX	+	53082367	53088540	-0.0551	0.752	0.963	0.0434	0.801	0.958	-0.136	0.432	1
ENSG00000179222	MAGED1	chrX	+	51803007	51902354	-0.191	0.0281	0.437	-0.166	0.0542	0.408	-0.0315	0.715	1
ENSG00000189369	GSPT2	chrX	+	51743442	51746232	-0.0855	0.632	0.942	0.00182	0.992	0.998	-0.203	0.256	1
ENSG00000223591	CENPVL1	chrX	+	51710512	51712131	-0.676	0.687		-2.89	0.118		0.177	0.911	1
ENSG00000283093	CENPVL2	chrX	-	51681212	51682831	0.04	0.983		-0.00471	0.998		-1.48	0.477	
ENSG00000224109	CENPVL3	chrX	-	51617020	51618912	-0.0853	0.877		-0.248	0.657		0.363	0.495	1
ENSG00000226530		chrX	+	51395915	51465839	-1.01	0.258		-0.757	0.389		0.116	0.887	1
ENSG00000230317	LINC01284	chrX	-	51095836	51224432	0.871	0.491		-0.023	0.987		-0.772	0.61	1
ENSG00000158352	SHROOM4	chrX	-	50586796	50814302	-0.107	0.447	0.894	0.114	0.409	0.805	-0.146	0.298	1
ENSG00000274588	DGKK	chrX	-	50365409	50470825	-0.589	0.202	0.761	-0.139	0.755	0.948	-0.292	0.517	1
ENSG00000147081	AKAP4	chrX	-	50190777	50201007	-1.15	0.704		-1.93	0.517		-1.02	0.734	
ENSG00000270012		chrX	+	49273054	49275768	0.482	0.176	0.739	-0.0788	0.831	0.967	-0.117	0.751	1
ENSG00000286181		chrX	-	49262866	49270521	-0.729	0.613		0.26	0.841		-0.000449	1	
ENSG00000012211	PRICKLE3	chrX	-	49174802	49186528	0.0436	0.791	0.971	-0.00324	0.984	0.997	-0.0694	0.675	1
ENSG00000269313	MAGIX	chrX	+	49162564	49168774	-0.196	0.462	0.898	0.0992	0.704	0.933	0.343	0.183	1
